layer,rank,feature_index,feature,five_seed_consensus_direct_attention,seed_standard_deviation
1,1,58,Init Fwd Win Byts,0.07730858347298736,0.05347906935483914
1,2,61,Fwd Seg Size Min,0.05663372750659148,0.03373660395961247
1,3,0,Dst Port,0.039743240089089596,0.023796973859231647
1,4,35,Fwd Pkts/s,0.03188052498662556,0.050600896507394987
1,5,10,Fwd Pkt Len Std,0.02815116306424575,0.009580686292923789
1,6,46,ACK Flag Cnt,0.02721000205556305,0.009901379609232144
1,7,36,Bwd Pkts/s,0.024426826087859045,0.0059542113093929054
1,8,7,Fwd Pkt Len Max,0.023899980648605084,0.01575184648401082
1,9,9,Fwd Pkt Len Mean,0.02287730532526874,0.016485322997620448
1,10,14,Bwd Pkt Len Std,0.02268214781698079,0.00880146117468939
1,11,12,Bwd Pkt Len Min,0.02252608935764674,0.01442818045962679
1,12,13,Bwd Pkt Len Mean,0.02090420344218786,0.027173727098816915
1,13,52,Fwd Seg Size Avg,0.020411637001254007,0.011869777252934977
1,14,44,RST Flag Cnt,0.018606798061591497,0.00673007629706847
1,15,45,PSH Flag Cnt,0.017064993569677733,0.013549954307733703
1,16,16,Flow Pkts/s,0.01622381091128221,0.012091664981904986
1,17,50,Down/Up Ratio,0.015685753221729756,0.010176968650768742
1,18,2,Flow Duration,0.015153993303557269,0.006847918243257842
1,19,59,Init Bwd Win Byts,0.014897037666184814,0.012620022552814738
1,20,38,Pkt Len Max,0.014620830014533206,0.011275298749836975
1,21,11,Bwd Pkt Len Max,0.013889038278019801,0.0060419359332191825
1,22,64,Active Max,0.013748503771922396,0.003531368489394985
1,23,37,Pkt Len Min,0.013061569546481896,0.008013643061853412
1,24,1,Protocol,0.01303328316649969,0.007540144138011653
1,25,18,Flow IAT Std,0.012540719287609546,0.006440687086819014
1,26,23,Fwd IAT Std,0.012320100788829978,0.0063126862167201874
1,27,49,ECE Flag Cnt,0.01229548743375672,0.010847370876650166
1,28,53,Bwd Seg Size Avg,0.01228879855783461,0.005844205269532919
1,29,31,Fwd PSH Flags,0.011902229925465689,0.0040230160429490175
1,30,51,Pkt Size Avg,0.011806233432427586,0.005197308629959334
1,31,65,Active Min,0.011767106849151254,0.0065502925144364475
1,32,54,Subflow Fwd Pkts,0.01129410692351279,0.003146548240948545
1,33,39,Pkt Len Mean,0.010741733880956648,0.010196155746850417
1,34,29,Bwd IAT Max,0.010670839659590522,0.004914871749113786
1,35,27,Bwd IAT Mean,0.01067042022500408,0.006247129648468245
1,36,22,Fwd IAT Mean,0.01057749596301009,0.0044363656513532294
1,37,55,Subflow Fwd Byts,0.010285703799406354,0.00448000684375465
