layer,head,mean_entropy,seed_sd,seed_min,seed_max
1,1,0.7452544866479002,0.2816287511301257,0.2965939987334423,0.9845066554844379
1,2,0.6038211881328607,0.2271550414051465,0.3885567339602858,0.952573649585247
1,3,0.7488631408894435,0.1393472664102701,0.5453733570175245,0.9369425717741251
1,4,0.8190368621842936,0.19264380323859195,0.48432268819306046,0.9782683607190847
1,5,0.41720127817461616,0.3239913020690599,0.14990943393786438,0.8596300967037678
1,6,0.6322351972235992,0.29749570660436264,0.21447949823050294,0.9641750864684582
1,7,0.5316520866792416,0.3243974195931852,0.13471652068255935,0.9812105372548103
1,8,0.33491038015916386,0.11096370000801473,0.20427963591501452,0.42670855176402256
2,1,0.744257571711205,0.12646411481343897,0.5752576139057055,0.910288505256176
2,2,0.7925179118871484,0.10606286128926931,0.6530843971116838,0.9027511551976204
2,3,0.6862940053445072,0.1755612250060784,0.4081965701536774,0.861913139000535
2,4,0.7065176055236406,0.14814393875696721,0.5557174894324817,0.9076874414458871
2,5,0.6805324568884317,0.07814311635349884,0.5821852578201288,0.7589086786101689
2,6,0.7245647133915554,0.14852050796586805,0.4996323458935876,0.8500413237779867
2,7,0.7458310239482671,0.04295730301137709,0.708151497412473,0.8085471428930759
2,8,0.7499921737384284,0.12287626128020508,0.5885150325193536,0.8856893749907613
3,1,0.8932675138057675,0.06512254380051942,0.8066648868843913,0.9590854244306684
3,2,0.8934395282529295,0.03939765498281527,0.8573504164814949,0.951574582606554
3,3,0.906729141867254,0.029572603288667756,0.8746685348451138,0.9518705485388637
3,4,0.8705962645239197,0.022729846107400378,0.8342119515873492,0.8928943080827594
3,5,0.8715141823515296,0.0639818310166407,0.8119503769557923,0.9610645873472095
3,6,0.8966633751988411,0.05694312088617249,0.8243236523121595,0.9608008125796914
3,7,0.878159204160329,0.0271228517984955,0.8382861765567213,0.9120694221928716
3,8,0.8960310847454821,0.04966365171686165,0.8286768006873899,0.9487707829102874
