seed,feature_index,feature,rollout_attention
7,0,Dst Port,0.028913406538777053
7,1,Protocol,0.01663971520611085
7,2,Flow Duration,0.013529268209822476
7,3,Tot Fwd Pkts,0.01123935314535629
7,4,Tot Bwd Pkts,0.015362448844825849
7,5,TotLen Fwd Pkts,0.01423356962914113
7,6,TotLen Bwd Pkts,0.009559618731145747
7,7,Fwd Pkt Len Max,0.01728067776275566
7,8,Fwd Pkt Len Min,0.010342474641220178
7,9,Fwd Pkt Len Mean,0.021703318692743778
7,10,Fwd Pkt Len Std,0.018865140693378635
7,11,Bwd Pkt Len Max,0.010923460460617207
7,12,Bwd Pkt Len Min,0.017639917525229976
7,13,Bwd Pkt Len Mean,0.011808339622803032
7,14,Bwd Pkt Len Std,0.01828819182992447
7,15,Flow Byts/s,0.012540733485366218
7,16,Flow Pkts/s,0.017157560781924985
7,17,Flow IAT Mean,0.014520144715788774
7,18,Flow IAT Std,0.013301294326083735
7,19,Flow IAT Max,0.012075020611518994
7,20,Flow IAT Min,0.011427353514591232
7,21,Fwd IAT Tot,0.010616115512675606
7,22,Fwd IAT Mean,0.012356000559520908
7,23,Fwd IAT Std,0.011960297182668
7,24,Fwd IAT Max,0.013183179995394312
7,25,Fwd IAT Min,0.012791003260645084
7,26,Bwd IAT Tot,0.013330704619875178
7,27,Bwd IAT Mean,0.012249962019268423
7,28,Bwd IAT Std,0.013284279892104678
7,29,Bwd IAT Max,0.011015550939191598
7,30,Bwd IAT Min,0.015598946047248319
7,31,Fwd PSH Flags,0.012196119561849628
7,32,Fwd URG Flags,0.010955112637020648
7,33,Fwd Header Len,0.010073272424051538
7,34,Bwd Header Len,0.011965907091507688
7,35,Fwd Pkts/s,0.01466296506987419
7,36,Bwd Pkts/s,0.015842575565329753
7,37,Pkt Len Min,0.01475144962023478
7,38,Pkt Len Max,0.013109432009514421
7,39,Pkt Len Mean,0.013865392815205269
7,40,Pkt Len Std,0.01784201514965389
7,41,Pkt Len Var,0.01134442159673199
7,42,FIN Flag Cnt,0.010539890339714475
7,43,SYN Flag Cnt,0.013999237286043353
7,44,RST Flag Cnt,0.01412365006399341
7,45,PSH Flag Cnt,0.014045472678844817
7,46,ACK Flag Cnt,0.019898402082617395
7,47,URG Flag Cnt,0.012657547442358918
7,48,CWE Flag Count,0.01231005892623216
7,49,ECE Flag Cnt,0.01821120295790024
7,50,Down/Up Ratio,0.018093543956638314
7,51,Pkt Size Avg,0.017375973708112724
7,52,Fwd Seg Size Avg,0.01665633801894728
7,53,Bwd Seg Size Avg,0.013488368291291408
7,54,Subflow Fwd Pkts,0.010728806053521112
7,55,Subflow Fwd Byts,0.01207301668182481
7,56,Subflow Bwd Pkts,0.01058838190510869
7,57,Subflow Bwd Byts,0.010898232168983668
7,58,Init Fwd Win Byts,0.030697690206579864
7,59,Init Bwd Win Byts,0.015584947395836934
7,60,Fwd Act Data Pkts,0.009590415458660573
7,61,Fwd Seg Size Min,0.028488996322266757
7,62,Active Mean,0.010544103817665018
7,63,Active Std,0.009075240457605105
7,64,Active Max,0.014607123637688346
7,65,Active Min,0.009774189282325096
7,66,Idle Mean,0.014830255197011866
7,67,Idle Std,0.01126442382519599
7,68,Idle Max,0.01239128818269819
7,69,Idle Min,0.017117491021053866
29,0,Dst Port,0.02173302706796676
29,1,Protocol,0.013900932637625374
29,2,Flow Duration,0.017164624339784496
29,3,Tot Fwd Pkts,0.010823654534760863
29,4,Tot Bwd Pkts,0.010849650367163122
29,5,TotLen Fwd Pkts,0.011347412277245894
29,6,TotLen Bwd Pkts,0.012395679063047282
29,7,Fwd Pkt Len Max,0.02194963424699381
29,8,Fwd Pkt Len Min,0.011656912349280901
29,9,Fwd Pkt Len Mean,0.016623510513454676
29,10,Fwd Pkt Len Std,0.016272446227958426
29,11,Bwd Pkt Len Max,0.016381967914639972
29,12,Bwd Pkt Len Min,0.012511895882198587
29,13,Bwd Pkt Len Mean,0.013968849918455817
29,14,Bwd Pkt Len Std,0.02341537832398899
29,15,Flow Byts/s,0.011276419798377901
29,16,Flow Pkts/s,0.013114683344610967
29,17,Flow IAT Mean,0.012048138218233362
29,18,Flow IAT Std,0.012227261322550476
29,19,Flow IAT Max,0.01289345471013803
29,20,Flow IAT Min,0.011703083233442158
29,21,Fwd IAT Tot,0.012704118082183413
29,22,Fwd IAT Mean,0.011102381729870103
29,23,Fwd IAT Std,0.012422962230630219
29,24,Fwd IAT Max,0.011897790551302023
29,25,Fwd IAT Min,0.01189579113270156
29,26,Bwd IAT Tot,0.014377110856003128
29,27,Bwd IAT Mean,0.01304121119028423
29,28,Bwd IAT Std,0.01284484367351979
29,29,Bwd IAT Max,0.013909212342696264
29,30,Bwd IAT Min,0.013459622394293547
29,31,Fwd PSH Flags,0.012274232547497377
29,32,Fwd URG Flags,0.013189366713049822
29,33,Fwd Header Len,0.012421556530171074
29,34,Bwd Header Len,0.011788906820584089
29,35,Fwd Pkts/s,0.0149044268327998
29,36,Bwd Pkts/s,0.01468397160351742
29,37,Pkt Len Min,0.015076488445629366
29,38,Pkt Len Max,0.013748328274232335
29,39,Pkt Len Mean,0.014414810095331632
29,40,Pkt Len Std,0.011991653314908035
29,41,Pkt Len Var,0.012036373431328684
29,42,FIN Flag Cnt,0.011459060464403592
29,43,SYN Flag Cnt,0.011197206811630167
29,44,RST Flag Cnt,0.013030540867475793
29,45,PSH Flag Cnt,0.01901278118020855
29,46,ACK Flag Cnt,0.016983562571112998
29,47,URG Flag Cnt,0.012513821144239046
29,48,CWE Flag Count,0.012260780349606648
29,49,ECE Flag Cnt,0.01173381406988483
29,50,Down/Up Ratio,0.019703426733030938
29,51,Pkt Size Avg,0.013584204236394726
29,52,Fwd Seg Size Avg,0.015561206309939735
29,53,Bwd Seg Size Avg,0.011978055932559073
29,54,Subflow Fwd Pkts,0.013915197036112659
29,55,Subflow Fwd Byts,0.012154870957601815
29,56,Subflow Bwd Pkts,0.012768168584443629
29,57,Subflow Bwd Byts,0.013216353952884674
29,58,Init Fwd Win Byts,0.04039287561317906
29,59,Init Bwd Win Byts,0.020127547104493715
29,60,Fwd Act Data Pkts,0.010721299389842898
29,61,Fwd Seg Size Min,0.031109876814298332
29,62,Active Mean,0.01275071753480006
29,63,Active Std,0.01486339133407455
29,64,Active Max,0.011931280270800926
29,65,Active Min,0.01062692359846551
29,66,Idle Mean,0.011441405222285539
29,67,Idle Std,0.011770598066505045
29,68,Idle Max,0.01170331631146837
29,69,Idle Min,0.01304394259932451
101,0,Dst Port,0.018492225877707824
101,1,Protocol,0.011233129938773345
101,2,Flow Duration,0.015856353944400325
101,3,Tot Fwd Pkts,0.00905448522826191
101,4,Tot Bwd Pkts,0.011398083341191523
101,5,TotLen Fwd Pkts,0.012128379225032404
101,6,TotLen Bwd Pkts,0.01317754573392449
101,7,Fwd Pkt Len Max,0.018412060133414343
101,8,Fwd Pkt Len Min,0.01404056245519314
101,9,Fwd Pkt Len Mean,0.015775924272020347
101,10,Fwd Pkt Len Std,0.01716977141040843
101,11,Bwd Pkt Len Max,0.013510411023162305
101,12,Bwd Pkt Len Min,0.015759503294248134
101,13,Bwd Pkt Len Mean,0.011174941719218623
101,14,Bwd Pkt Len Std,0.018377369095105678
101,15,Flow Byts/s,0.014741017846972682
101,16,Flow Pkts/s,0.017036945413565263
101,17,Flow IAT Mean,0.013060713034064975
101,18,Flow IAT Std,0.01520806371991057
101,19,Flow IAT Max,0.014525736311043147
101,20,Flow IAT Min,0.013579974307504017
101,21,Fwd IAT Tot,0.010033678714535199
101,22,Fwd IAT Mean,0.011736867410945706
101,23,Fwd IAT Std,0.014400729487533681
101,24,Fwd IAT Max,0.013213099358836189
101,25,Fwd IAT Min,0.010419691512652207
101,26,Bwd IAT Tot,0.01626228422537679
101,27,Bwd IAT Mean,0.010767168751044665
101,28,Bwd IAT Std,0.010276595705363434
101,29,Bwd IAT Max,0.013076748495223
101,30,Bwd IAT Min,0.009272423027141485
