search_term,file_path,line_number,context
payload,results/stage16_classical_benchmark_checkpoint/stage16_4b_confirmation_package/stage16_4b_repository_package_manifest.json,154,"    ""reason_for_nonredundant_packaging"": ""The combined probability archive and combined threshold-sweep table already preserve all 15 candidate-seed outputs. Individual run-result JSON records are retained for parameter/provenance audit without duplicating the same numerical probability and sweep payloads."","
image representation,results/stage18_representation_feasibility_checkpoint/stage18_0_representation_feasibility_protocol.json,172,"      ""Is a published or source-native traffic-image representation recoverable?"","
image representation,results/stage18_representation_feasibility_checkpoint/stage18_0_representation_feasibility_protocol.json,189,"      ""A traffic-image representation must have a documented mapping from network observations to image axes or spatial neighborhoods."","
vit,REPRODUCIBILITY.md,21,"Stage 9 assesses calibration on the frozen holdout probabilities without recalibration. It uses 15-bin equal-width and equal-frequency reliability summaries, sensitivity checks with 10, 15, and 20 bins, Brier decomposition, and 2,000 paired bootstrap replicates."
vit,docs/CALIBRATION_ASSESSMENT.md,56,"- Bin-sensitivity counts: [10, 15, 20]"
vit,docs/CALIBRATION_ASSESSMENT.md,68,and equal-frequency estimates and includes sensitivity analysis
vit,docs/EXPERIMENT_PROTOCOL.md,37,"Calibration is assessed post-selection on the holdout set without recalibration. The analysis includes Brier score, log loss, equal-width and equal-frequency calibration bins, bin-count sensitivity, Brier decomposition, and paired bootstrap intervals with 2,000 successful replicates."
vit,metadata/calibration/calibration_assessment_methodology.json,15,"  ""Bin Sensitivity Counts"": ["
vit,metadata/lime/stage13_7a_shap_lime_metadata.json,27,"  ""xgboost_shap_additivity"": {"
vit,metadata/lime/stage13_7a_shap_lime_metadata.json,31,"  ""lightgbm_shap_additivity"": {"
vit,metadata/lime/stage13_7b_full_panel_metadata.json,20,"  ""tree_shap_additivity"": {"
vit,metadata/lime/stage13_repository_package_manifest.json,299,"      ""source"": ""/kaggle/working/stage13_lime/publication_assets/tables/table_lime_configuration_sensitivity.csv"","
vit,metadata/lime/stage13_repository_package_manifest.json,300,"      ""repository_path"": ""tables/lime/table_lime_configuration_sensitivity.csv"","
vit,metadata/lime/stage13_repository_package_manifest.json,307,"      ""source"": ""/kaggle/working/stage13_lime/publication_assets/tables/table_lime_configuration_sensitivity.tex"","
vit,metadata/lime/stage13_repository_package_manifest.json,308,"      ""repository_path"": ""tables/lime/table_lime_configuration_sensitivity.tex"","
vit,notebooks/original_kaggle_working_notebook.ipynb,1,"{""metadata"":{""kernelspec"":{""language"":""python"",""display_name"":""Python 3"",""name"":""python3""},""language_info"":{""name"":""python"",""version"":""3.12.13"",""mimetype"":""text/x-python"",""codemirror_mode"":{""name"":""ipython"",""version"":3},""pygments_lexer"":""ipython3"",""nbconvert_exporter"":""python"",""file_extension"":"".py""},""kaggle"":{""accelerator"":""none"",""dataSources"":[],""dockerImageVersionId"":28755,""isInternetEnabled"":false,""language"":""python"",""sourceType"":""notebook"",""isGpuEnabled"":false}},""nbformat_minor"":4,""nbformat"
vit,results/lime/README.md,32,  sensitivity analysis.
vit,results/stage14_integrated_gradients/README.md,78,- Moderately stable cases require an explicit sensitivity caveat.
vit,results/stage14_integrated_gradients/README.md,87,Integrated Gradients measures sensitivity to those feature positions but
vit,results/stage14_integrated_gradients/checksums.sha256,3,64ec56c957e7abc5e3ec333ef880b8d742e34dfdde117cc591c626901fcd9ea2  publication_assets/figures/ig_disagreement_baseline_sensitivity.png
vit,results/stage14_integrated_gradients/checksums.sha256,6,eb66ca302e74bda5b4002d3adf2a21fd8a62d68cbe9311be3b071cada3f0a77a  publication_assets/figures/ig_reference_sensitivity_by_outcome.png
vit,results/stage14_integrated_gradients/checksums.sha256,15,46794b4e95ad13e1fa96b90dca7d898e536e547a3cf8be2c74f3558cf9b7628d  publication_assets/tables/table_ig_baseline_sensitivity.csv
vit,results/stage14_integrated_gradients/checksums.sha256,16,618473244375de00682919fae94dc63ad108dc5e4e198884653dc13f3fac96a3  publication_assets/tables/table_ig_baseline_sensitivity.tex
vit,results/stage14_integrated_gradients/checksums.sha256,62,67195f321d131e080895323f1f205db213f2144702f2c697a56cfacea82aa2a6  stage14_4b_disagreement_baseline_sensitivity.csv
vit,results/stage14_integrated_gradients/checksums.sha256,63,6322a4fd57f234f9b3e21dfa62cffb9a908710599c3879a0ca98452a0c283f05  stage14_4b_disagreement_baseline_sensitivity_summary.csv
vit,results/stage14_integrated_gradients/publication_assets/stage14_publication_asset_manifest.json,40,"      ""relative_path"": ""figures/ig_disagreement_baseline_sensitivity.png"","
vit,results/stage14_integrated_gradients/publication_assets/stage14_publication_asset_manifest.json,55,"      ""relative_path"": ""figures/ig_reference_sensitivity_by_outcome.png"","
vit,results/stage14_integrated_gradients/publication_assets/stage14_publication_asset_manifest.json,95,"      ""relative_path"": ""tables/table_ig_baseline_sensitivity.csv"","
vit,results/stage14_integrated_gradients/publication_assets/stage14_publication_asset_manifest.json,100,"      ""relative_path"": ""tables/table_ig_baseline_sensitivity.tex"","
vit,results/stage14_integrated_gradients/publication_assets/tables/table_ig_baseline_sensitivity.tex,2,\caption{Baseline sensitivity on the neural cross-model disagreement panel.}
vit,results/stage14_integrated_gradients/publication_assets/tables/table_ig_baseline_sensitivity.tex,3,\label{tab:ig_baseline_sensitivity}
vit,results/stage14_integrated_gradients/publication_assets/text/stage14_formal_findings.md,60,## Baseline sensitivity
vit,results/stage14_integrated_gradients/publication_assets/text/stage14_formal_findings.md,62,The scaled-zero vector was retained only as a sensitivity control because
vit,results/stage14_integrated_gradients/publication_assets/text/stage14_formal_findings.md,75,"explicit sensitivity caveat, and reference-sensitive cases should remain"
vit,results/stage14_integrated_gradients/publication_assets/text/stage14_formal_findings.md,79,"feature-position sensitivity, not validated spatial locality between"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,2,"mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.814853668212891,Trapezoidal rule,16,-5.547888472268204,0.26696519594468704,0.26696519594468704,0.045910905274205265,False,40.22249030297421,10.680666768962853"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,3,"mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.814853668212891,Trapezoidal rule,32,-5.670857730991567,0.14399593722132398,0.14399593722132398,0.024763467051369326,False,40.708932224913006,10.80755295697465"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,4,"mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.814853668212891,Trapezoidal rule,64,-5.752409960346245,0.062443707866645326,0.062443707866645326,0.010738655077082358,False,40.48789534805774,10.780180160530268"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,5,"mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.814853668212891,Trapezoidal rule,128,-5.80647657013389,0.008377098079000334,0.008377098079000334,0.001440637814291707,True,40.534962565721784,10.800668782538857"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,6,"mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,-0.005685329437255859,Trapezoidal rule,16,0.027375220136109935,0.033060549573365794,0.033060549573365794,0.033060549573365794,False,20.537677886989147,6.072031716504874"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,7,"mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,-0.005685329437255859,Trapezoidal rule,32,0.05534904461434742,0.06103437405160328,0.06103437405160328,0.06103437405160328,False,20.433613792752368,5.98593607873138"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,8,"mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,-0.005685329437255859,Trapezoidal rule,64,-0.00012746011296638216,0.005557869324289477,0.005557869324289477,0.005557869324289477,True,20.434931865269334,5.97915522890202"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,9,"mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,-0.005685329437255859,Trapezoidal rule,128,0.011464557189394764,0.017149886626650623,0.017149886626650623,0.017149886626650623,False,20.35733857786471,5.9566591649070775"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,14,"mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.075210809707642,Trapezoidal rule,16,-5.039707859959046,0.03550294974859547,0.03550294974859547,0.00699536454341699,True,42.363030698335514,13.562709546919754"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,15,"mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.075210809707642,Trapezoidal rule,32,-5.135673676429698,-0.06046286672205614,0.06046286672205614,0.011913370496138881,False,42.122111548873185,13.517058533326182"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,16,"mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.075210809707642,Trapezoidal rule,64,-4.971029025262342,0.10418178444529946,0.10418178444529946,0.020527577740421167,False,41.741692677686366,13.35119576389658"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,17,"mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.075210809707642,Trapezoidal rule,128,-5.0249685878418395,0.05024222186580207,0.05024222186580207,0.009899533979889259,False,41.92176360778819,13.417624299361396"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,18,"mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7339575290679932,Trapezoidal rule,16,0.26583356581206646,-0.4681239632559267,0.4681239632559267,0.4681239632559267,False,15.865242617732912,7.923754742907638"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,19,"mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7339575290679932,Trapezoidal rule,32,0.6009183282943222,-0.13303920077367093,0.13303920077367093,0.13303920077367093,False,15.683031988709129,7.737619861327805"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,20,"mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7339575290679932,Trapezoidal rule,64,0.6859270278278033,-0.048030501240189816,0.048030501240189816,0.048030501240189816,False,15.7258723658956,7.728842797637369"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,21,"mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7339575290679932,Trapezoidal rule,128,0.7208519199129662,-0.01310560915502701,0.01310560915502701,0.01310560915502701,False,15.667878168145467,7.700159610376729"
