feature_hash_uint64,authorized_split,raw_0220_occurrence_count,appears_more_than_once,first_valid_timestamp,last_valid_timestamp,multiple_temporal_bins_observed
12241259035978567,train,1,False,2018-02-20T02:49:16,2018-02-20T02:49:16,False
43061876630188019,train,5,True,2018-02-20T08:50:31,2018-02-20T11:17:04,True
87093208955255578,train,5,True,2018-02-20T03:01:40,2018-02-20T11:45:41,True
134166004254214133,validation,4,True,2018-02-20T01:17:48,2018-02-20T11:05:18,True
204841691414071706,train,1,False,2018-02-20T04:41:14,2018-02-20T04:41:14,False
284555160250643027,train,8,True,2018-02-20T01:17:44,2018-02-20T12:05:14,True
315489238231440644,train,37,True,2018-02-20T01:05:43,2018-02-20T12:34:54,True
397605718367624007,train,1,False,2018-02-20T04:30:26,2018-02-20T04:30:26,False
412570517755920171,train,1,False,2018-02-20T04:09:04,2018-02-20T04:09:04,False
437465582072988680,train,3,True,2018-02-20T09:44:33,2018-02-20T11:17:38,True
510263791025342773,validation,2,True,2018-02-20T01:22:32,2018-02-20T02:49:34,True
514571145414766068,train,2,True,2018-02-20T01:24:15,2018-02-20T10:13:28,True
556199826979044939,train,1,False,2018-02-20T08:37:22,2018-02-20T08:37:22,False
611446004587104642,train,12,True,2018-02-20T02:50:22,2018-02-20T11:34:23,True
629662208722436247,train,9,True,2018-02-20T02:05:02,2018-02-20T11:01:14,True
649334978742311787,train,1,False,2018-02-20T10:02:51,2018-02-20T10:02:51,False
663184006661130460,validation,1,False,2018-02-20T02:49:35,2018-02-20T02:49:35,False
682668415185371538,train,2,True,2018-02-20T08:32:09,2018-02-20T08:32:33,True
687728383374337807,validation,2,True,2018-02-20T02:51:08,2018-02-20T03:00:40,True
693702564611338621,train,1,False,2018-02-20T05:23:34,2018-02-20T05:23:34,False
715346346535826827,train,1,False,2018-02-20T09:48:05,2018-02-20T09:48:05,False
737899141625081769,train,19,True,2018-02-20T01:17:09,2018-02-20T12:08:31,True
747061318637017870,train,3,True,2018-02-20T05:27:55,2018-02-20T10:58:52,True
802712817063462086,train,20,True,2018-02-20T01:09:48,2018-02-20T12:16:46,True
810084998721140738,train,1,False,2018-02-20T10:31:10,2018-02-20T10:31:10,False
826002403311823735,train,2,True,2018-02-20T09:12:28,2018-02-20T09:39:43,True
893612983677586669,validation,1,False,2018-02-20T11:35:58,2018-02-20T11:35:58,False
953922774877248843,train,2,True,2018-02-20T10:04:13,2018-02-20T11:29:58,True
956488934536498441,train,1,False,2018-02-20T11:36:31,2018-02-20T11:36:31,False
988645533389139650,train,11,True,2018-02-20T08:38:13,2018-02-20T08:59:32,True
1073757200224112079,train,12,True,2018-02-20T01:12:19,2018-02-20T11:17:24,True
1092998516536211093,train,1,False,2018-02-20T01:05:57,2018-02-20T01:05:57,False
1104212591742691736,validation,1,False,2018-02-20T02:37:33,2018-02-20T02:37:33,False
1106882392272620784,train,1,False,2018-02-20T11:08:53,2018-02-20T11:08:53,False
1130470448645516299,train,2,True,2018-02-20T10:43:47,2018-02-20T11:25:36,True
1145548620183351547,train,1,False,2018-02-20T09:32:25,2018-02-20T09:32:25,False
1154582709990654361,train,1,False,2018-02-20T12:40:19,2018-02-20T12:40:19,False
1161040106059023870,train,1,False,2018-02-20T05:03:54,2018-02-20T05:03:54,False
1215295493705430889,train,1,False,2018-02-20T10:21:30,2018-02-20T10:21:30,False
1330507294009847202,train,1,False,2018-02-20T08:37:22,2018-02-20T08:37:22,False
1334717479363337704,train,1,False,2018-02-20T01:47:24,2018-02-20T01:47:24,False
1410808575427525165,train,1,False,2018-02-20T09:13:56,2018-02-20T09:13:56,False
1441825352449615524,train,119,True,2018-02-20T01:06:07,2018-02-20T12:58:49,True
1455782035091780226,train,1,False,2018-02-20T09:43:55,2018-02-20T09:43:55,False
1515059901377557296,validation,1,False,2018-02-20T10:11:24,2018-02-20T10:11:24,False
1516079597349397805,train,2,True,2018-02-20T08:32:22,2018-02-20T10:19:01,True
1517622727040601184,validation,1,False,2018-02-20T12:49:52,2018-02-20T12:49:52,False
1581954510487496899,train,4,True,2018-02-20T01:35:20,2018-02-20T12:34:13,True
1599566328475766758,train,2,True,2018-02-20T09:18:13,2018-02-20T09:38:14,True
1613184346528476953,train,3,True,2018-02-20T02:50:52,2018-02-20T04:18:12,True
1669804667232654417,validation,90,True,2018-02-20T01:03:28,2018-02-20T12:28:32,True
1690194692563664930,train,54,True,2018-02-20T01:25:08,2018-02-20T12:35:59,True
1696308998832872279,train,126,True,2018-02-20T01:02:43,2018-02-20T12:58:10,True
1702923388949430085,train,1,False,2018-02-20T08:32:23,2018-02-20T08:32:23,False
1742717815224704050,train,2,True,2018-02-20T09:40:15,2018-02-20T10:37:27,True
1778445691542840577,train,4,True,2018-02-20T01:00:12,2018-02-20T03:50:10,True
1838168698407123112,train,3,True,2018-02-20T10:16:23,2018-02-20T12:39:13,True
1893236962942720218,train,1,False,2018-02-20T12:10:45,2018-02-20T12:10:45,False
1898464664055370794,train,1,False,2018-02-20T08:37:22,2018-02-20T08:37:22,False
1899040743253389813,train,2,True,2018-02-20T02:13:33,2018-02-20T11:18:06,True
1900674228382729023,train,2,True,2018-02-20T01:47:58,2018-02-20T03:51:36,True
1953296278609833973,train,1,False,2018-02-20T09:08:54,2018-02-20T09:08:54,False
1956987472890346545,train,1,False,2018-02-20T12:50:23,2018-02-20T12:50:23,False
2086345668923560266,train,1,False,2018-02-20T01:35:17,2018-02-20T01:35:17,False
2158751614694259794,train,6,True,2018-02-20T09:43:11,2018-02-20T11:31:49,True
2168535962017481875,train,4,True,2018-02-20T11:45:46,2018-02-20T12:54:56,True
2195778272986763356,validation,1,False,2018-02-20T10:45:44,2018-02-20T10:45:44,False
2207154788461544153,train,3,True,2018-02-20T10:08:36,2018-02-20T11:35:42,True
2228084639897327823,train,1,False,2018-02-20T04:15:02,2018-02-20T04:15:02,False
2305994465752572274,train,1,False,2018-02-20T10:45:58,2018-02-20T10:45:58,False
2366744908466244057,train,1,False,2018-02-20T08:30:01,2018-02-20T08:30:01,False
2419279139158670351,train,1,False,2018-02-20T11:43:30,2018-02-20T11:43:30,False
2455359999805004946,train,9,True,2018-02-20T01:50:42,2018-02-20T12:11:58,True
2469134928748439186,validation,1,False,2018-02-20T09:16:29,2018-02-20T09:16:29,False
2488438599914835653,validation,5,True,2018-02-20T08:56:14,2018-02-20T11:38:00,True
2540105132494979863,train,4,True,2018-02-20T09:03:14,2018-02-20T11:26:32,True
2581321811766030969,train,1,False,2018-02-20T08:31:20,2018-02-20T08:31:20,False
2591411887031815503,train,3,True,2018-02-20T11:15:35,2018-02-20T12:40:04,True
2637334984230205817,train,287,True,2018-02-20T01:05:48,2018-02-20T12:59:45,True
2713516318047610143,train,1,False,2018-02-20T09:46:16,2018-02-20T09:46:16,False
2716477996430211979,train,1,False,2018-02-20T10:36:42,2018-02-20T10:36:42,False
2723168646200845349,train,1,False,2018-02-20T12:05:06,2018-02-20T12:05:06,False
2736356748325059153,train,29,True,2018-02-20T01:01:20,2018-02-20T12:46:51,True
2746180339150384706,validation,1,False,2018-02-20T09:51:28,2018-02-20T09:51:28,False
2803031205103069855,train,1,False,2018-02-20T10:35:57,2018-02-20T10:35:57,False
2809899182496180378,train,1,False,2018-02-20T04:46:01,2018-02-20T04:46:01,False
2830231449288035719,train,2,True,2018-02-20T12:24:03,2018-02-20T12:46:05,True
2884029372975418996,train,7,True,2018-02-20T01:03:44,2018-02-20T12:21:43,True
2918055530839169502,validation,7,True,2018-02-20T01:31:20,2018-02-20T10:55:53,True
3009863084081052644,train,2,True,2018-02-20T01:49:00,2018-02-20T02:04:20,True
3073296620705068393,train,3,True,2018-02-20T09:32:22,2018-02-20T10:21:51,True
3143412315456551157,train,1,False,2018-02-20T12:10:53,2018-02-20T12:10:53,False
3156661011956549241,train,3,True,2018-02-20T09:02:31,2018-02-20T09:32:33,True
3194684019975994730,validation,1,False,2018-02-20T11:46:46,2018-02-20T11:46:46,False
3200110910655058263,validation,2,True,2018-02-20T02:27:51,2018-02-20T11:29:16,True
3200492028216341493,train,1,False,2018-02-20T10:46:38,2018-02-20T10:46:38,False
3200843490349291103,validation,25,True,2018-02-20T01:01:16,2018-02-20T12:54:26,True
3229237747419877062,train,1,False,2018-02-20T10:55:18,2018-02-20T10:55:18,False
3242785478241853574,train,1,False,2018-02-20T01:17:39,2018-02-20T01:17:39,False
3260896498994228521,train,1,False,2018-02-20T09:07:42,2018-02-20T09:07:42,False
3310771181712294449,train,1,False,2018-02-20T04:08:38,2018-02-20T04:08:38,False
3407843653230189932,train,1,False,2018-02-20T10:06:14,2018-02-20T10:06:14,False
3427616048599782689,train,7,True,2018-02-20T01:51:50,2018-02-20T12:19:13,True
3471663153388408823,validation,7,True,2018-02-20T02:00:25,2018-02-20T11:54:50,True
3505039441268303475,train,1,False,2018-02-20T09:23:00,2018-02-20T09:23:00,False
3535227615543373712,train,4,True,2018-02-20T04:45:22,2018-02-20T11:31:32,True
3632731672947056780,validation,3,True,2018-02-20T09:01:46,2018-02-20T09:05:34,True
3777270041153071050,train,40,True,2018-02-20T01:08:50,2018-02-20T12:57:45,True
3782799370218285502,validation,3,True,2018-02-20T10:05:51,2018-02-20T11:29:46,True
3851322448862699071,train,37,True,2018-02-20T01:09:13,2018-02-20T12:39:14,True
3868753220428339024,train,26,True,2018-02-20T01:28:38,2018-02-20T12:28:01,True
3873162239507434828,train,2,True,2018-02-20T02:48:32,2018-02-20T12:01:20,True
3894542004430261337,train,2,True,2018-02-20T01:48:35,2018-02-20T04:11:44,True
3988148818266464042,train,2,True,2018-02-20T11:26:49,2018-02-20T12:12:35,True
4044641529828257732,train,1,False,2018-02-20T10:56:26,2018-02-20T10:56:26,False
4052476631578488814,train,1,False,2018-02-20T12:32:35,2018-02-20T12:32:35,False
4054106115044635261,validation,4,True,2018-02-20T10:02:37,2018-02-20T10:28:48,True
4124159901050222587,train,3,True,2018-02-20T01:49:11,2018-02-20T04:04:28,True
4124602931244985444,train,1,False,2018-02-20T09:30:26,2018-02-20T09:30:26,False
4164892206751983364,train,1,False,2018-02-20T11:10:53,2018-02-20T11:10:53,False
4199979290724682727,train,2,True,2018-02-20T04:48:20,2018-02-20T10:23:23,True
4207171229089982096,validation,4,True,2018-02-20T09:20:15,2018-02-20T11:42:12,True
4264268849340888996,train,1,False,2018-02-20T02:07:32,2018-02-20T02:07:32,False
4301055176045765515,train,35,True,2018-02-20T01:27:57,2018-02-20T12:43:50,True
4317392501674512507,train,1,False,2018-02-20T01:02:16,2018-02-20T01:02:16,False
4322983867633411913,train,2,True,2018-02-20T10:37:46,2018-02-20T11:01:19,True
4426232569806627889,train,1,False,2018-02-20T09:11:09,2018-02-20T09:11:09,False
4525680844993083746,train,2,True,2018-02-20T02:06:50,2018-02-20T10:34:29,True
4552213001462719829,train,18,True,2018-02-20T01:15:19,2018-02-20T12:36:16,True
4602369368381531957,train,3,True,2018-02-20T02:30:11,2018-02-20T12:16:49,True
4603088150512621365,validation,2,True,2018-02-20T12:07:27,2018-02-20T12:25:26,True
4640193886868613395,train,2,True,2018-02-20T02:48:38,2018-02-20T11:20:04,True
4657380966900166512,train,1,False,2018-02-20T02:20:17,2018-02-20T02:20:17,False
4695075323356460980,validation,14,True,2018-02-20T02:38:12,2018-02-20T11:15:07,True
4699724409120094168,train,4,True,2018-02-20T01:24:04,2018-02-20T09:44:49,True
4717627465874421818,train,1,False,2018-02-20T02:43:49,2018-02-20T02:43:49,False
4728794572655989737,validation,2,True,2018-02-20T03:24:52,2018-02-20T11:50:30,True
4750691664793696634,train,2,True,2018-02-20T10:01:21,2018-02-20T10:14:11,True
4763850350963779525,train,2,True,2018-02-20T11:33:12,2018-02-20T12:14:12,True
4884626945308095076,train,28,True,2018-02-20T01:00:04,2018-02-20T12:26:07,True
4914756287510123349,train,9,True,2018-02-20T01:20:49,2018-02-20T11:46:49,True
5034299490428519281,train,1,False,2018-02-20T04:11:34,2018-02-20T04:11:34,False
5049411503193132421,train,4,True,2018-02-20T08:31:52,2018-02-20T08:32:42,True
5099319655226018144,train,3,True,2018-02-20T10:08:45,2018-02-20T11:58:31,True
5105244431192572321,train,1,False,2018-02-20T01:26:46,2018-02-20T01:26:46,False
5128495998830291390,train,2,True,2018-02-20T08:31:50,2018-02-20T11:31:29,True
5202846699750641701,train,1,False,2018-02-20T10:09:27,2018-02-20T10:09:27,False
5221120886484847821,train,664,True,2018-02-20T01:00:50,2018-02-20T12:59:54,True
5222402010356788818,train,2,True,2018-02-20T01:01:04,2018-02-20T11:25:36,True
5231425438368348297,train,1,False,2018-02-20T11:33:22,2018-02-20T11:33:22,False
5331262020465264649,train,2,True,2018-02-20T11:47:51,2018-02-20T12:29:22,True
5355848016705128410,train,1,False,2018-02-20T02:17:39,2018-02-20T02:17:39,False
5372601134059412683,train,1,False,2018-02-20T10:36:58,2018-02-20T10:36:58,False
