snapshot_id,partition,snapshot_start,snapshot_end_exclusive,flow_edges,unique_nodes,unique_directed_host_pairs,parallel_edge_excess,max_parallel_flow_multiplicity,benign_edges,attack_edges,invalid_label_edges,finite_70_feature_edges,validation_flows_with_both_hosts_seen_in_train,validation_flows_with_seen_directed_edge,isolated_nodes
0,train,2018-02-20T01:00:00,2018-02-20T01:01:00,11337,1618,4874,6463,287,11337,0,0,11263,,,0
1,train,2018-02-20T01:01:00,2018-02-20T01:02:00,9504,1548,4420,5084,241,9504,0,0,9408,,,0
2,train,2018-02-20T01:02:00,2018-02-20T01:03:00,9965,1561,4472,5493,298,9965,0,0,9905,,,0
3,train,2018-02-20T01:03:00,2018-02-20T01:04:00,9534,1466,4373,5161,178,9534,0,0,9473,,,0
4,train,2018-02-20T01:04:00,2018-02-20T01:05:00,10428,1529,4402,6026,315,10428,0,0,10368,,,0
5,train,2018-02-20T01:05:00,2018-02-20T01:06:00,13331,1512,4613,8718,292,13331,0,0,13256,,,0
6,train,2018-02-20T01:06:00,2018-02-20T01:07:00,10922,1521,4112,6810,330,10922,0,0,10849,,,0
7,train,2018-02-20T01:07:00,2018-02-20T01:08:00,10279,1551,4292,5987,279,10279,0,0,10201,,,0
8,train,2018-02-20T01:08:00,2018-02-20T01:09:00,15300,1712,5274,10026,278,15300,0,0,15202,,,0
9,train,2018-02-20T01:09:00,2018-02-20T01:10:00,13156,1711,4962,8194,290,13156,0,0,13071,,,0
10,train,2018-02-20T01:10:00,2018-02-20T01:11:00,12422,1646,5461,6961,235,12422,0,0,12335,,,0
11,train,2018-02-20T01:11:00,2018-02-20T01:12:00,13587,1756,5148,8439,376,13587,0,0,13459,,,0
12,train,2018-02-20T01:12:00,2018-02-20T01:13:00,11472,1606,4900,6572,277,11472,0,0,11384,,,0
13,train,2018-02-20T01:13:00,2018-02-20T01:14:00,10489,1487,4504,5985,332,10489,0,0,10426,,,0
14,train,2018-02-20T01:14:00,2018-02-20T01:15:00,10940,1372,5050,5890,313,10875,65,0,10897,,,0
15,train,2018-02-20T01:15:00,2018-02-20T01:16:00,10700,1526,4813,5887,285,10665,35,0,10636,,,0
16,train,2018-02-20T01:16:00,2018-02-20T01:17:00,13385,1666,5728,7657,335,13321,64,0,13293,,,0
17,train,2018-02-20T01:17:00,2018-02-20T01:18:00,14500,1643,5886,8614,233,14464,36,0,14382,,,0
18,train,2018-02-20T01:18:00,2018-02-20T01:19:00,12078,1616,4828,7250,330,12014,64,0,12004,,,0
19,train,2018-02-20T01:19:00,2018-02-20T01:20:00,14231,1698,5565,8666,470,14195,36,0,14130,,,0
20,train,2018-02-20T01:20:00,2018-02-20T01:21:00,13968,1571,5286,8682,263,13904,64,0,13815,,,0
21,train,2018-02-20T01:21:00,2018-02-20T01:22:00,17085,1798,5512,11573,417,17049,36,0,16995,,,0
22,train,2018-02-20T01:22:00,2018-02-20T01:23:00,12025,1613,4780,7245,241,11961,64,0,11959,,,0
23,train,2018-02-20T01:23:00,2018-02-20T01:24:00,11694,1573,5468,6226,262,11658,36,0,11586,,,0
24,train,2018-02-20T01:24:00,2018-02-20T01:25:00,13028,1685,5617,7411,403,12964,64,0,12912,,,0
25,train,2018-02-20T01:25:00,2018-02-20T01:26:00,14090,1627,6025,8065,228,14054,36,0,14000,,,0
26,train,2018-02-20T01:26:00,2018-02-20T01:27:00,12378,1642,5702,6676,298,12314,64,0,12268,,,0
27,train,2018-02-20T01:27:00,2018-02-20T01:28:00,14561,1720,6125,8436,252,14525,36,0,14423,,,0
28,train,2018-02-20T01:28:00,2018-02-20T01:29:00,16480,1612,7214,9266,226,16416,64,0,16369,,,0
29,train,2018-02-20T01:29:00,2018-02-20T01:30:00,14838,1631,6646,8192,232,14805,33,0,14710,,,0
30,train,2018-02-20T01:30:00,2018-02-20T01:31:00,14903,1756,6097,8806,265,14903,0,0,14754,,,0
31,train,2018-02-20T01:31:00,2018-02-20T01:32:00,15533,1840,5978,9555,315,15533,0,0,15367,,,0
32,train,2018-02-20T01:32:00,2018-02-20T01:33:00,11416,1626,5131,6285,277,11416,0,0,11319,,,0
33,train,2018-02-20T01:33:00,2018-02-20T01:34:00,11844,1680,5178,6666,369,11844,0,0,11735,,,0
34,train,2018-02-20T01:34:00,2018-02-20T01:35:00,14672,1811,6277,8395,354,14672,0,0,14524,,,0
35,train,2018-02-20T01:35:00,2018-02-20T01:36:00,14722,1804,5425,9297,407,14722,0,0,14603,,,0
36,train,2018-02-20T01:36:00,2018-02-20T01:37:00,16634,1766,5885,10749,493,16634,0,0,16532,,,0
37,train,2018-02-20T01:37:00,2018-02-20T01:38:00,14130,1871,5378,8752,278,14130,0,0,14008,,,0
38,train,2018-02-20T01:38:00,2018-02-20T01:39:00,12955,1769,5169,7786,311,12955,0,0,12844,,,0
39,train,2018-02-20T01:39:00,2018-02-20T01:40:00,17950,1968,6137,11813,404,17950,0,0,17813,,,0
40,train,2018-02-20T01:40:00,2018-02-20T01:41:00,14459,1940,5810,8649,273,14459,0,0,14332,,,0
41,train,2018-02-20T01:41:00,2018-02-20T01:42:00,11402,1569,4808,6594,278,11402,0,0,11315,,,0
42,train,2018-02-20T01:42:00,2018-02-20T01:43:00,11492,1516,4829,6663,259,11492,0,0,11417,,,0
43,train,2018-02-20T01:43:00,2018-02-20T01:44:00,13258,1641,5268,7990,264,13258,0,0,13153,,,0
44,train,2018-02-20T01:44:00,2018-02-20T01:45:00,14099,1711,5672,8427,283,14099,0,0,14022,,,0
45,train,2018-02-20T01:45:00,2018-02-20T01:46:00,14468,1588,6132,8336,208,14468,0,0,14394,,,0
46,train,2018-02-20T01:46:00,2018-02-20T01:47:00,14718,1632,6095,8623,320,14718,0,0,14603,,,0
47,train,2018-02-20T01:47:00,2018-02-20T01:48:00,14118,1697,5910,8208,294,14118,0,0,13981,,,0
48,train,2018-02-20T01:48:00,2018-02-20T01:49:00,19166,1894,7121,12045,365,19166,0,0,18973,,,0
49,train,2018-02-20T01:49:00,2018-02-20T01:50:00,15164,1743,6089,9075,228,15164,0,0,15013,,,0
50,train,2018-02-20T01:50:00,2018-02-20T01:51:00,14465,1649,5683,8782,220,14465,0,0,14333,,,0
51,train,2018-02-20T01:51:00,2018-02-20T01:52:00,16087,1708,5458,10629,323,16087,0,0,15938,,,0
52,train,2018-02-20T01:52:00,2018-02-20T01:53:00,19427,1939,6405,13022,381,19427,0,0,19286,,,0
53,train,2018-02-20T01:53:00,2018-02-20T01:54:00,15283,1873,6616,8667,320,15283,0,0,15155,,,0
54,train,2018-02-20T01:54:00,2018-02-20T01:55:00,12647,1793,5886,6761,333,12647,0,0,12514,,,0
55,train,2018-02-20T01:55:00,2018-02-20T01:56:00,15435,1895,6395,9040,402,15435,0,0,15253,,,0
56,train,2018-02-20T01:56:00,2018-02-20T01:57:00,11304,1762,5114,6190,269,11304,0,0,11174,,,0
57,train,2018-02-20T01:57:00,2018-02-20T01:58:00,16135,2012,6234,9901,492,16135,0,0,15976,,,0
58,train,2018-02-20T01:58:00,2018-02-20T01:59:00,19899,2111,7831,12068,298,19899,0,0,19727,,,0
59,train,2018-02-20T01:59:00,2018-02-20T02:00:00,15003,1860,6135,8868,245,15003,0,0,14878,,,0
60,train,2018-02-20T02:00:00,2018-02-20T02:01:00,13452,1807,6504,6948,230,13452,0,0,13302,,,0
61,train,2018-02-20T02:01:00,2018-02-20T02:02:00,15389,1830,7198,8191,204,15389,0,0,15239,,,0
62,train,2018-02-20T02:02:00,2018-02-20T02:03:00,12865,1795,5566,7299,331,12865,0,0,12739,,,0
63,train,2018-02-20T02:03:00,2018-02-20T02:04:00,12203,1719,5736,6467,225,12203,0,0,12074,,,0
64,train,2018-02-20T02:04:00,2018-02-20T02:05:00,14132,1832,6312,7820,295,14132,0,0,14016,,,0
65,train,2018-02-20T02:05:00,2018-02-20T02:06:00,14249,1871,6293,7956,323,14249,0,0,14117,,,0
66,train,2018-02-20T02:06:00,2018-02-20T02:07:00,13772,1662,5812,7960,294,13772,0,0,13656,,,0
67,train,2018-02-20T02:07:00,2018-02-20T02:08:00,17881,1824,6063,11818,321,17881,0,0,17741,,,0
68,train,2018-02-20T02:08:00,2018-02-20T02:09:00,13935,1810,5881,8054,413,13935,0,0,13831,,,0
69,train,2018-02-20T02:09:00,2018-02-20T02:10:00,12254,1610,5082,7172,237,12254,0,0,12164,,,0
70,train,2018-02-20T02:10:00,2018-02-20T02:11:00,12240,1560,4973,7267,336,12240,0,0,12158,,,0
71,train,2018-02-20T02:11:00,2018-02-20T02:12:00,10506,1520,4413,6093,390,10506,0,0,10413,,,0
72,train,2018-02-20T02:12:00,2018-02-20T02:13:00,11786,1548,4869,6917,269,11786,0,0,11700,,,0
73,train,2018-02-20T02:13:00,2018-02-20T02:14:00,12284,1508,5453,6831,267,12284,0,0,12177,,,0
74,train,2018-02-20T02:14:00,2018-02-20T02:15:00,13101,1558,5541,7560,303,13101,0,0,13002,,,0
75,train,2018-02-20T02:15:00,2018-02-20T02:16:00,13830,1589,5448,8382,259,13830,0,0,13710,,,0
76,train,2018-02-20T02:16:00,2018-02-20T02:17:00,13408,1548,5378,8030,223,13408,0,0,13300,,,0
77,train,2018-02-20T02:17:00,2018-02-20T02:18:00,13305,1553,5198,8107,224,13305,0,0,13184,,,0
78,train,2018-02-20T02:18:00,2018-02-20T02:19:00,13081,1482,5108,7973,291,13081,0,0,12978,,,0
79,train,2018-02-20T02:19:00,2018-02-20T02:20:00,14044,1623,5540,8504,275,14044,0,0,13940,,,0
80,train,2018-02-20T02:20:00,2018-02-20T02:21:00,13335,1536,5157,8178,300,13335,0,0,13207,,,0
81,train,2018-02-20T02:21:00,2018-02-20T02:22:00,13822,1677,5135,8687,303,13822,0,0,13684,,,0
82,train,2018-02-20T02:22:00,2018-02-20T02:23:00,16495,1734,6092,10403,197,16495,0,0,16369,,,0
83,train,2018-02-20T02:23:00,2018-02-20T02:24:00,16128,1691,5929,10199,381,16128,0,0,15997,,,0
84,train,2018-02-20T02:24:00,2018-02-20T02:25:00,12966,1662,5396,7570,345,12966,0,0,12861,,,0
85,train,2018-02-20T02:25:00,2018-02-20T02:26:00,13161,1612,5486,7675,247,13161,0,0,13023,,,0
86,train,2018-02-20T02:26:00,2018-02-20T02:27:00,12443,1517,5294,7149,190,12443,0,0,12330,,,0
87,train,2018-02-20T02:27:00,2018-02-20T02:28:00,15471,1643,5523,9948,296,15471,0,0,15332,,,0
