original_common_position,feature_name,retained,final_feature_position,exclusion_reason,train_nonnumeric_tokens,validation_nonnumeric_tokens,train_numeric_observations,validation_numeric_observations,train_finite_observations,validation_finite_observations,train_positive_infinity,train_negative_infinity,validation_positive_infinity,validation_negative_infinity,development_files_with_numeric_observation
0,Dst Port,True,0,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
1,Protocol,True,1,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
2,Flow Duration,True,2,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
3,Tot Fwd Pkts,True,3,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
4,Tot Bwd Pkts,True,4,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
5,TotLen Fwd Pkts,True,5,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
6,TotLen Bwd Pkts,True,6,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
7,Fwd Pkt Len Max,True,7,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
8,Fwd Pkt Len Min,True,8,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
9,Fwd Pkt Len Mean,True,9,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
10,Fwd Pkt Len Std,True,10,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
11,Bwd Pkt Len Max,True,11,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
12,Bwd Pkt Len Min,True,12,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
13,Bwd Pkt Len Mean,True,13,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
14,Bwd Pkt Len Std,True,14,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
15,Flow Byts/s,True,15,,0,0,14188909,609030,14157575,606902,31334,0,2128,0,8
16,Flow Pkts/s,True,16,,0,0,14240197,613071,14157575,606902,82622,0,6169,0,8
17,Flow IAT Mean,True,17,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
18,Flow IAT Std,True,18,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
19,Flow IAT Max,True,19,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
20,Flow IAT Min,True,20,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
21,Fwd IAT Tot,True,21,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
22,Fwd IAT Mean,True,22,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
23,Fwd IAT Std,True,23,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
24,Fwd IAT Max,True,24,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
25,Fwd IAT Min,True,25,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
26,Bwd IAT Tot,True,26,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
27,Bwd IAT Mean,True,27,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
28,Bwd IAT Std,True,28,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
29,Bwd IAT Max,True,29,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
30,Bwd IAT Min,True,30,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
31,Fwd PSH Flags,True,31,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
32,Bwd PSH Flags,True,32,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
33,Fwd URG Flags,True,33,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
34,Bwd URG Flags,True,34,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
35,Fwd Header Len,True,35,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
36,Bwd Header Len,True,36,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
37,Fwd Pkts/s,True,37,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
38,Bwd Pkts/s,True,38,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
39,Pkt Len Min,True,39,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
40,Pkt Len Max,True,40,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
41,Pkt Len Mean,True,41,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
42,Pkt Len Std,True,42,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
43,Pkt Len Var,True,43,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
44,FIN Flag Cnt,True,44,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
45,SYN Flag Cnt,True,45,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
46,RST Flag Cnt,True,46,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
47,PSH Flag Cnt,True,47,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
48,ACK Flag Cnt,True,48,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
49,URG Flag Cnt,True,49,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
50,CWE Flag Count,True,50,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
51,ECE Flag Cnt,True,51,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
52,Down/Up Ratio,True,52,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
53,Pkt Size Avg,True,53,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
54,Fwd Seg Size Avg,True,54,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
55,Bwd Seg Size Avg,True,55,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
56,Fwd Byts/b Avg,True,56,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
57,Fwd Pkts/b Avg,True,57,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
58,Fwd Blk Rate Avg,True,58,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
59,Bwd Byts/b Avg,True,59,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
60,Bwd Pkts/b Avg,True,60,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
61,Bwd Blk Rate Avg,True,61,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
62,Subflow Fwd Pkts,True,62,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
63,Subflow Fwd Byts,True,63,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
64,Subflow Bwd Pkts,True,64,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
65,Subflow Bwd Byts,True,65,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
66,Init Fwd Win Byts,True,66,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
67,Init Bwd Win Byts,True,67,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
68,Fwd Act Data Pkts,True,68,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
69,Fwd Seg Size Min,True,69,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
70,Active Mean,True,70,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
71,Active Std,True,71,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
72,Active Max,True,72,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
73,Active Min,True,73,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
74,Idle Mean,True,74,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
75,Idle Std,True,75,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
76,Idle Max,True,76,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
77,Idle Min,True,77,,0,0,14240197,613071,14240197,613071,0,0,0,0,8
