file,partition,source_row_index_0based,original_timestamp,corrected_timestamp,correction_rule
02-14-2018.csv,TRAIN,410956,05/01/1970 03:01:17,14/02/2018 03:01:17,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-14-2018.csv,TRAIN,410957,08/01/1970 07:32:33,14/02/2018 07:32:33,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-14-2018.csv,TRAIN,410958,12/01/1970 07:17:56,14/02/2018 07:17:56,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-14-2018.csv,TRAIN,410959,12/01/1970 09:15:10,14/02/2018 09:15:10,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-14-2018.csv,TRAIN,412184,12/01/1970 09:44:12,14/02/2018 09:44:12,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-22-2018.csv,TRAIN,246433,10/01/1970 03:04:26,22/02/2018 03:04:26,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-22-2018.csv,TRAIN,246434,11/01/1970 12:05:36,22/02/2018 12:05:36,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-22-2018.csv,TRAIN,246435,11/01/1970 05:12:30,22/02/2018 05:12:30,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-22-2018.csv,TRAIN,246436,11/01/1970 03:51:32,22/02/2018 03:51:32,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-22-2018.csv,TRAIN,246437,12/01/1970 06:40:49,22/02/2018 06:40:49,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-22-2018.csv,TRAIN,246438,12/01/1970 01:09:53,22/02/2018 01:09:53,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-22-2018.csv,TRAIN,246439,12/01/1970 09:18:52,22/02/2018 09:18:52,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-22-2018.csv,TRAIN,246715,12/01/1970 09:30:03,22/02/2018 09:30:03,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
02-22-2018.csv,TRAIN,248314,12/01/1970 09:30:26,22/02/2018 09:30:26,REPLACE_1970_CALENDAR_DATE_WITH_SOURCE_FILE_DATE_PRESERVE_TIME_OF_DAY
