feature_position,feature_name,positive_infinity_to_nan,negative_infinity_to_nan,output_nan_values
0,Dst Port,0,0,0
1,Protocol,0,0,0
2,Flow Duration,0,0,0
3,Tot Fwd Pkts,0,0,0
4,Tot Bwd Pkts,0,0,0
5,TotLen Fwd Pkts,0,0,0
6,TotLen Bwd Pkts,0,0,0
7,Fwd Pkt Len Max,0,0,0
8,Fwd Pkt Len Min,0,0,0
9,Fwd Pkt Len Mean,0,0,0
10,Fwd Pkt Len Std,0,0,0
11,Bwd Pkt Len Max,0,0,0
12,Bwd Pkt Len Min,0,0,0
13,Bwd Pkt Len Mean,0,0,0
14,Bwd Pkt Len Std,0,0,0
15,Flow Byts/s,33385,0,86517
16,Flow Pkts/s,86517,0,86517
17,Flow IAT Mean,0,0,0
18,Flow IAT Std,0,0,0
19,Flow IAT Max,0,0,0
20,Flow IAT Min,0,0,0
21,Fwd IAT Tot,0,0,0
22,Fwd IAT Mean,0,0,0
23,Fwd IAT Std,0,0,0
24,Fwd IAT Max,0,0,0
25,Fwd IAT Min,0,0,0
26,Bwd IAT Tot,0,0,0
27,Bwd IAT Mean,0,0,0
28,Bwd IAT Std,0,0,0
29,Bwd IAT Max,0,0,0
30,Bwd IAT Min,0,0,0
31,Fwd PSH Flags,0,0,0
32,Fwd URG Flags,0,0,0
33,Fwd Header Len,0,0,0
34,Bwd Header Len,0,0,0
35,Fwd Pkts/s,0,0,0
36,Bwd Pkts/s,0,0,0
37,Pkt Len Min,0,0,0
38,Pkt Len Max,0,0,0
39,Pkt Len Mean,0,0,0
40,Pkt Len Std,0,0,0
41,Pkt Len Var,0,0,0
42,FIN Flag Cnt,0,0,0
43,SYN Flag Cnt,0,0,0
44,RST Flag Cnt,0,0,0
45,PSH Flag Cnt,0,0,0
46,ACK Flag Cnt,0,0,0
47,URG Flag Cnt,0,0,0
48,CWE Flag Count,0,0,0
49,ECE Flag Cnt,0,0,0
50,Down/Up Ratio,0,0,0
51,Pkt Size Avg,0,0,0
52,Fwd Seg Size Avg,0,0,0
53,Bwd Seg Size Avg,0,0,0
54,Subflow Fwd Pkts,0,0,0
55,Subflow Fwd Byts,0,0,0
56,Subflow Bwd Pkts,0,0,0
57,Subflow Bwd Byts,0,0,0
58,Init Fwd Win Byts,0,0,0
59,Init Bwd Win Byts,0,0,0
60,Fwd Act Data Pkts,0,0,0
61,Fwd Seg Size Min,0,0,0
62,Active Mean,0,0,0
63,Active Std,0,0,0
64,Active Max,0,0,0
65,Active Min,0,0,0
66,Idle Mean,0,0,0
67,Idle Std,0,0,0
68,Idle Max,0,0,0
69,Idle Min,0,0,0
