comparison,family,point_delta_random_pr_auc,point_delta_chrono_pr_auc,point_pr_auc_interaction,pr_auc_interaction_ci_low,pr_auc_interaction_ci_high,point_delta_random_roc_auc,point_delta_chrono_roc_auc,point_roc_auc_interaction,roc_auc_interaction_ci_low,roc_auc_interaction_ci_high
NO_DST_PORT,PRIMARY,0.00032984314887396504,0.003741468725332764,-0.003411625576458799,-0.005267564063870375,-0.0015165995640013267,0.00015135426066292812,0.026054035633011174,-0.025902681372348246,-0.03139288726970821,-0.02148060714233315
NO_PORTS,PRIMARY,0.00032260425386065883,0.00374166774618212,-0.0034190634923214613,-0.005286186787670953,-0.0015476733267593347,0.0001489096677723678,0.026054489040292284,-0.025905579372519916,-0.031383798992310086,-0.021501918940749622
NO_INIT_FWD_WIN_BYTS,PRIMARY,0.002172593067909845,0.00018347052991359025,0.0019891225379962546,0.0006494786706753828,0.004066168610987353,0.00043255073462489246,0.0057067436027592455,-0.005274192868134353,-0.010978204403835934,0.0004392081922844664
NO_FWD_SEG_SIZE_MIN,PRIMARY,1.3905805968161822e-05,0.0007603990709362518,-0.00074649326496809,-0.0014991129068541297,-0.00017537466024770032,1.5777363760904883e-05,0.0032363161882604796,-0.0032205388244995747,-0.007461092543399267,-0.0018735338020635245
NO_SUSPICIOUS_GROUP,PRIMARY,0.005988796457972456,0.0015482290455561126,0.0044405674124163436,0.00221174786153164,0.00810378345684727,0.001216045643223418,0.02552591873259652,-0.024309873089373102,-0.02932549128948949,-0.017802274418892497
BEHAVIOR_ONLY,PRIMARY,0.014002038041909803,0.010675347268799262,0.003326690773110541,-2.9204045875997815e-05,0.005382771146658513,0.002483324721613167,0.038436647924315004,-0.03595332320270184,-0.04039986869427763,-0.028058423480978055
PLACEBO_COUNTS,PLACEBO,3.525562945361216e-06,-0.00035135068279314174,0.00035487624573850296,-0.0001924894692649639,0.000571249406087932,7.145327649893396e-06,-0.0018669410389258179,0.0018740863665757113,-0.0015045810504098478,0.0023173767162522805
PLACEBO_VOLUME_DIRECTION,PLACEBO,8.889789239741042e-06,0.000455778645810645,-0.00044688885657090394,-0.0008029240210030011,-0.00016677853841592672,7.6162873373641915e-06,0.0010673401562556473,-0.001059723868918283,-0.003417464355822769,-0.00034597310439506986
PLACEBO_IAT,PLACEBO,9.598227291185424e-06,0.0009173719466153973,-0.0009077737193242119,-0.0018540846072779144,-0.0008261270535512137,6.511822135291112e-06,0.0024242786008898953,-0.0024177667787546042,-0.006673876448393251,-0.0026836557358009133
PLACEBO_PACKET_SIZE,PLACEBO,0.003888283056364017,0.00019790280297961316,0.003690380253384404,0.0021383081363080298,0.0041602942421931745,0.0018221458956579895,-0.0008012489811932699,0.0026233948768512594,0.0006710463151678337,0.0036695768170522556
PLACEBO_ACTIVITY,PLACEBO,6.019856801375845e-06,-0.00033936113633246945,0.0003453809931338453,-0.00022491172034197344,0.0006005405414335411,7.580835817311282e-06,-0.0016005855437528638,0.001608166379570175,-0.0015803759837757253,0.0023125463317466787
