split,family,subset,feature,consensus_normalized_importance_share,consensus_rank
RANDOM_NATURAL,FULL,FULL,Dst Port,0.19310688854468555,1
RANDOM_NATURAL,FULL,FULL,Protocol,0.0005964193030574408,55
RANDOM_NATURAL,FULL,FULL,Flow Duration,0.005523180412152673,31
RANDOM_NATURAL,FULL,FULL,Tot Fwd Pkts,0.0033066812798217583,39
RANDOM_NATURAL,FULL,FULL,Tot Bwd Pkts,0.0022143805347973836,45
RANDOM_NATURAL,FULL,FULL,TotLen Fwd Pkts,0.0706758250749083,3
RANDOM_NATURAL,FULL,FULL,TotLen Bwd Pkts,0.005627237905258096,29
RANDOM_NATURAL,FULL,FULL,Fwd Pkt Len Max,0.06466994929886674,4
RANDOM_NATURAL,FULL,FULL,Fwd Pkt Len Min,0.0006387071341946899,54
RANDOM_NATURAL,FULL,FULL,Fwd Pkt Len Mean,0.02652194294791326,9
RANDOM_NATURAL,FULL,FULL,Fwd Pkt Len Std,0.008335362868205042,23
RANDOM_NATURAL,FULL,FULL,Bwd Pkt Len Max,0.006669669502963857,26
RANDOM_NATURAL,FULL,FULL,Bwd Pkt Len Min,0.001961312623841438,49
RANDOM_NATURAL,FULL,FULL,Bwd Pkt Len Mean,0.006663254315812602,27
RANDOM_NATURAL,FULL,FULL,Bwd Pkt Len Std,0.013255972297859546,13
RANDOM_NATURAL,FULL,FULL,Flow Byts/s,0.0028560917113194906,42
RANDOM_NATURAL,FULL,FULL,Flow Pkts/s,0.0048824081187915334,33
RANDOM_NATURAL,FULL,FULL,Flow IAT Mean,0.007011751112453333,24
RANDOM_NATURAL,FULL,FULL,Flow IAT Std,0.0068308212424450215,25
RANDOM_NATURAL,FULL,FULL,Flow IAT Max,0.012662929727344167,14
RANDOM_NATURAL,FULL,FULL,Flow IAT Min,0.022060019661204352,10
RANDOM_NATURAL,FULL,FULL,Fwd IAT Tot,0.040932172548679306,7
RANDOM_NATURAL,FULL,FULL,Fwd IAT Mean,0.004358002811552379,36
RANDOM_NATURAL,FULL,FULL,Fwd IAT Std,0.012005613894686025,15
RANDOM_NATURAL,FULL,FULL,Fwd IAT Max,0.009129144584782731,22
RANDOM_NATURAL,FULL,FULL,Fwd IAT Min,0.00965031556734676,20
RANDOM_NATURAL,FULL,FULL,Bwd IAT Tot,0.0032712727777663045,40
RANDOM_NATURAL,FULL,FULL,Bwd IAT Mean,0.0020978818737456364,47
RANDOM_NATURAL,FULL,FULL,Bwd IAT Std,0.0016176340309174016,50
RANDOM_NATURAL,FULL,FULL,Bwd IAT Max,0.00458399970053126,35
RANDOM_NATURAL,FULL,FULL,Bwd IAT Min,0.003950735812518529,38
RANDOM_NATURAL,FULL,FULL,Fwd PSH Flags,0.00034071942628377354,57
RANDOM_NATURAL,FULL,FULL,Fwd URG Flags,3.349700323024542e-05,62
RANDOM_NATURAL,FULL,FULL,Fwd Header Len,0.04220299987018181,6
RANDOM_NATURAL,FULL,FULL,Bwd Header Len,0.0024930256066382404,43
RANDOM_NATURAL,FULL,FULL,Fwd Pkts/s,0.01123853225272347,16
RANDOM_NATURAL,FULL,FULL,Bwd Pkts/s,0.0047229925583308656,34
RANDOM_NATURAL,FULL,FULL,Pkt Len Min,0.0010493183556321267,52
RANDOM_NATURAL,FULL,FULL,Pkt Len Max,0.009686802091421972,19
RANDOM_NATURAL,FULL,FULL,Pkt Len Mean,0.005679984743502699,28
RANDOM_NATURAL,FULL,FULL,Pkt Len Std,0.031067812061352798,8
RANDOM_NATURAL,FULL,FULL,Pkt Len Var,0.014836763208082337,12
RANDOM_NATURAL,FULL,FULL,FIN Flag Cnt,0.0004242109711310814,56
RANDOM_NATURAL,FULL,FULL,SYN Flag Cnt,0.0,64
RANDOM_NATURAL,FULL,FULL,RST Flag Cnt,0.010042902129566385,18
RANDOM_NATURAL,FULL,FULL,PSH Flag Cnt,0.002274339060565832,44
RANDOM_NATURAL,FULL,FULL,ACK Flag Cnt,0.005570660566179532,30
RANDOM_NATURAL,FULL,FULL,URG Flag Cnt,0.002010389288815931,48
RANDOM_NATURAL,FULL,FULL,CWE Flag Count,0.0,65
RANDOM_NATURAL,FULL,FULL,ECE Flag Cnt,0.01998208266527908,11
RANDOM_NATURAL,FULL,FULL,Down/Up Ratio,0.0011796273657449204,51
RANDOM_NATURAL,FULL,FULL,Pkt Size Avg,0.0043130762850313985,37
RANDOM_NATURAL,FULL,FULL,Fwd Seg Size Avg,1.2965896987638763e-05,63
RANDOM_NATURAL,FULL,FULL,Bwd Seg Size Avg,0.0,66
RANDOM_NATURAL,FULL,FULL,Subflow Fwd Pkts,0.0,67
RANDOM_NATURAL,FULL,FULL,Subflow Fwd Byts,0.0,68
RANDOM_NATURAL,FULL,FULL,Subflow Bwd Pkts,0.0,69
RANDOM_NATURAL,FULL,FULL,Subflow Bwd Byts,0.0,70
RANDOM_NATURAL,FULL,FULL,Init Fwd Win Byts,0.18122237620855522,2
RANDOM_NATURAL,FULL,FULL,Init Bwd Win Byts,0.01006068560494952,17
RANDOM_NATURAL,FULL,FULL,Fwd Act Data Pkts,0.0021867443497405117,46
RANDOM_NATURAL,FULL,FULL,Fwd Seg Size Min,0.06031873795921984,5
RANDOM_NATURAL,FULL,FULL,Active Mean,0.00022258379581957928,60
RANDOM_NATURAL,FULL,FULL,Active Std,0.0001587677275678546,61
RANDOM_NATURAL,FULL,FULL,Active Max,0.00023228288969029338,59
RANDOM_NATURAL,FULL,FULL,Active Min,0.0007019581337794623,53
RANDOM_NATURAL,FULL,FULL,Idle Mean,0.005110862481763777,32
RANDOM_NATURAL,FULL,FULL,Idle Std,0.00029956596358274686,58
RANDOM_NATURAL,FULL,FULL,Idle Max,0.009443025655468874,21
RANDOM_NATURAL,FULL,FULL,Idle Min,0.003212128602757463,41
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Protocol,0.00026557398044331016,58
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Flow Duration,0.02226567677417559,11
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Tot Fwd Pkts,0.005390025554284271,32
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Tot Bwd Pkts,0.0038216839570766087,38
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,TotLen Fwd Pkts,0.0695415913211012,4
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,TotLen Bwd Pkts,0.0047743008439900545,33
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd Pkt Len Max,0.09663456185148227,2
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd Pkt Len Min,0.0008236815065065905,52
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd Pkt Len Mean,0.046189126319011495,6
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd Pkt Len Std,0.01452874136152,17
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd Pkt Len Max,0.00612983401026939,30
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd Pkt Len Min,0.0020535227697866818,48
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd Pkt Len Mean,0.008207298084237875,24
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd Pkt Len Std,0.02128452972277771,12
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Flow Byts/s,0.003312566595218564,40
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Flow Pkts/s,0.004773674423301523,34
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Flow IAT Mean,0.01887067653268909,14
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Flow IAT Std,0.003079171028349356,43
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Flow IAT Max,0.00984847418075838,22
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Flow IAT Min,0.021240971281476215,13
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd IAT Tot,0.05071506388295835,5
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd IAT Mean,0.007921650853693757,26
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd IAT Std,0.0126820257930116,18
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd IAT Max,0.041633134657730345,8
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd IAT Min,0.007406468481832098,27
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd IAT Tot,0.004378421852202517,35
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd IAT Mean,0.0011535623684078718,50
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd IAT Std,0.0021492915894995666,47
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd IAT Max,0.00377978007591594,39
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd IAT Min,0.0108864755808466,20
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd PSH Flags,0.00035480097656996905,57
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd URG Flags,0.00010315903669015443,62
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd Header Len,0.02511454757177676,10
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Bwd Header Len,0.0038465406687781464,37
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,Fwd Pkts/s,0.012365788837048617,19
