split,family,subset,reporting,jaccard_at_10_vs_full,jaccard_at_20_vs_full,spearman_common_retained,new_top10_entrants,new_top20_entrants,features_leaving_top10,features_leaving_top20,number_positive_share_gainers
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,LightGBM,0.5384615384615384,0.8181818181818182,0.9565217391304348,Init Bwd Win Byts|Fwd IAT Max|Flow Duration,Flow Duration|Bwd IAT Min,Dst Port|Flow IAT Min|ECE Flag Cnt,Dst Port|Fwd IAT Min,42
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,XGBoost,0.42857142857142855,0.5384615384615384,0.9021191085129706,Fwd IAT Max|Init Bwd Win Byts|Flow IAT Mean|Fwd Pkt Len Mean,Init Bwd Win Byts|Fwd Pkt Len Mean|Flow Duration|Fwd Pkt Len Std|Bwd IAT Min|PSH Flag Cnt,Dst Port|ECE Flag Cnt|Flow IAT Max|Fwd Pkts/s,Dst Port|RST Flag Cnt|Idle Max|Fwd IAT Min|TotLen Fwd Pkts|Flow IAT Std,35
RANDOM_NATURAL,PRIMARY,NO_DST_PORT,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.6666666666666666,0.6,0.94855681402996,Init Bwd Win Byts|Fwd IAT Max,Fwd IAT Max|Flow Duration|Flow IAT Mean|Fwd Pkt Len Std|Bwd IAT Min,Dst Port|Flow IAT Min,Dst Port|Flow IAT Max|RST Flag Cnt|Pkt Len Max|Fwd IAT Min,39
RANDOM_NATURAL,PRIMARY,NO_PORTS,LightGBM,0.5384615384615384,0.7391304347826086,0.9567889452990799,Init Bwd Win Byts|Fwd IAT Max|Flow Duration,Flow Duration|Bwd IAT Min|Flow IAT Mean,Dst Port|Flow IAT Min|ECE Flag Cnt,Dst Port|Bwd Pkt Len Mean|Fwd IAT Min,43
RANDOM_NATURAL,PRIMARY,NO_PORTS,XGBoost,0.42857142857142855,0.5384615384615384,0.9051418101309309,Fwd IAT Max|Init Bwd Win Byts|Flow IAT Mean|Fwd Pkt Len Mean,Init Bwd Win Byts|Fwd Pkt Len Mean|Flow Duration|Bwd IAT Min|Fwd Pkt Len Std|PSH Flag Cnt,Dst Port|ECE Flag Cnt|Flow IAT Max|Fwd Pkts/s,Dst Port|RST Flag Cnt|Fwd IAT Std|Fwd IAT Min|TotLen Fwd Pkts|Flow IAT Std,30
RANDOM_NATURAL,PRIMARY,NO_PORTS,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.6666666666666666,0.6666666666666666,0.9490017940985609,Init Bwd Win Byts|Fwd IAT Max,Fwd IAT Max|Flow Duration|Flow IAT Mean|Fwd Pkt Len Std,Dst Port|Flow IAT Min,Dst Port|RST Flag Cnt|Pkt Len Max|Fwd IAT Min,38
RANDOM_NATURAL,PRIMARY,NO_INIT_FWD_WIN_BYTS,LightGBM,0.5384615384615384,0.6,0.9225063938618928,Fwd Header Len|Bwd Pkt Len Std|TotLen Bwd Pkts,TotLen Bwd Pkts|Fwd Pkts/s|Flow IAT Max|Idle Min|RST Flag Cnt,Init Fwd Win Byts|Flow IAT Min|ECE Flag Cnt,Init Fwd Win Byts|Fwd IAT Std|Init Bwd Win Byts|Pkt Len Mean|Fwd IAT Max,38
RANDOM_NATURAL,PRIMARY,NO_INIT_FWD_WIN_BYTS,XGBoost,0.8181818181818182,0.5384615384615384,0.9546583850931677,Bwd Pkt Len Std,Idle Min|TotLen Bwd Pkts|PSH Flag Cnt|Init Bwd Win Byts|Flow Duration|ACK Flag Cnt,Init Fwd Win Byts,Init Fwd Win Byts|RST Flag Cnt|Fwd IAT Std|Pkt Len Max|TotLen Fwd Pkts|Flow IAT Mean,35
RANDOM_NATURAL,PRIMARY,NO_INIT_FWD_WIN_BYTS,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.8181818181818182,0.6,0.954621848739496,Bwd Pkt Len Std,TotLen Bwd Pkts|Idle Min|Flow IAT Std|Fwd IAT Max|Bwd Pkt Len Mean,Init Fwd Win Byts,Init Fwd Win Byts|Fwd IAT Std|Init Bwd Win Byts|RST Flag Cnt|Pkt Len Max,39
RANDOM_NATURAL,PRIMARY,NO_FWD_SEG_SIZE_MIN,LightGBM,0.6666666666666666,0.7391304347826086,0.9838874680306907,Fwd Header Len|Fwd Pkt Len Max,Bwd Pkts/s|Pkt Len Max|Flow IAT Max,Fwd Seg Size Min|ECE Flag Cnt,Fwd Seg Size Min|Pkt Len Mean|Fwd IAT Max,34
