split,subset,jaccard_at_10_vs_full,jaccard_at_20_vs_full,spearman_common_retained,new_top10_entrants,features_leaving_top10,number_positive_share_gainers,top_retained_consensus_share_gainer,top_retained_consensus_share_gain
RANDOM_NATURAL,NO_DST_PORT,0.6666666666666666,0.6,0.94855681402996,Init Bwd Win Byts|Fwd IAT Max,Dst Port|Flow IAT Min,39,Init Bwd Win Byts,0.0348288969107062
RANDOM_NATURAL,NO_PORTS,0.6666666666666666,0.6666666666666666,0.9490017940985608,Init Bwd Win Byts|Fwd IAT Max,Dst Port|Flow IAT Min,38,Init Bwd Win Byts,0.0346813465288704
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,0.8181818181818182,0.6,0.954621848739496,Bwd Pkt Len Std,Init Fwd Win Byts,39,Bwd Pkt Len Std,0.0423220474476762
RANDOM_NATURAL,NO_FWD_SEG_SIZE_MIN,0.8181818181818182,0.6666666666666666,0.9854950675922544,ECE Flag Cnt,Fwd Seg Size Min,32,Fwd Header Len,0.031880329481431206
RANDOM_NATURAL,NO_SUSPICIOUS_GROUP,0.4285714285714285,0.4814814814814814,0.917431558783622,Bwd Pkt Len Std|Init Bwd Win Byts|Pkt Len Max|Flow Duration,Dst Port|Init Fwd Win Byts|Fwd Seg Size Min|Pkt Len Std,48,Fwd Header Len,0.051634127554959504
RANDOM_NATURAL,BEHAVIOR_ONLY,0.4285714285714285,0.3333333333333333,0.8954493087557605,Bwd Pkt Len Std|Pkt Len Max|ACK Flag Cnt|Fwd Pkt Len Std,Dst Port|Init Fwd Win Byts|Fwd Seg Size Min|Fwd Header Len,47,Bwd Pkt Len Std,0.059288543199692297
CHRONOLOGICAL_NATURAL,NO_DST_PORT,0.5384615384615384,0.5384615384615384,0.8582754841066862,Fwd IAT Tot|Pkt Len Std|Fwd Pkt Len Std,Dst Port|Bwd Pkt Len Min|Fwd IAT Min,36,Fwd Pkt Len Max,0.0655146583058347
CHRONOLOGICAL_NATURAL,NO_PORTS,0.5384615384615384,0.5384615384615384,0.852769401076459,Fwd IAT Tot|Pkt Len Std|Fwd Pkt Len Std,Dst Port|Bwd Pkt Len Min|Fwd IAT Min,37,Fwd Pkt Len Max,0.0655155073031574
CHRONOLOGICAL_NATURAL,NO_INIT_FWD_WIN_BYTS,0.5384615384615384,0.4814814814814814,0.9195104128607966,Pkt Len Std|Tot Bwd Pkts|Bwd Pkts/s,Init Fwd Win Byts|Fwd Pkt Len Max|Fwd IAT Min,28,Dst Port,0.03982813374930971
CHRONOLOGICAL_NATURAL,NO_FWD_SEG_SIZE_MIN,0.8181818181818182,0.7391304347826086,0.978078187796858,Flow IAT Std,Fwd Seg Size Min,28,Fwd Header Len,0.022609199366516397
CHRONOLOGICAL_NATURAL,NO_SUSPICIOUS_GROUP,0.4285714285714285,0.4285714285714285,0.8391731183653924,Fwd Pkt Len Std|Bwd Pkt Len Std|Pkt Len Std|Fwd IAT Tot,Dst Port|Init Fwd Win Byts|Fwd IAT Min|Fwd Seg Size Min,38,TotLen Fwd Pkts,0.0559955047679824
CHRONOLOGICAL_NATURAL,BEHAVIOR_ONLY,0.25,0.3333333333333333,0.8182603686635945,ACK Flag Cnt|Pkt Len Max|Fwd Pkt Len Mean|Bwd Pkt Len Std|Tot Bwd Pkts|Bwd Pkts/s,Dst Port|Fwd Header Len|Init Fwd Win Byts|Init Bwd Win Byts|Fwd IAT Min|Fwd Seg Size Min,37,Fwd Pkt Len Max,0.1026858721132591
