split,attack_family,interpretation_status,support_attack,support_benign,PR_AUC,ROC_AUC,precision_at_0_50,recall_at_0_50,f1_at_0_50,fpr_at_0_50,fnr_at_0_50
RANDOM_NATURAL,Brute Force -Web,INTERPRETABLE,117,2488021,0.6770840948884425,0.9755589394965428,0.5057471264367817,0.7521367521367521,0.6048109965635738,3.456562464705885e-05,0.2478632478632478
RANDOM_NATURAL,Brute Force -XSS,DESCRIPTIVE_ONLY,42,2488021,0.8652955342087698,0.9992711265777288,0.3174603174603174,0.9523809523809524,0.4761904761904761,3.456562464705885e-05,0.0476190476190476
RANDOM_NATURAL,DDOS attack-HOIC,INTERPRETABLE,133767,2488021,0.9999999998323424,0.999999999990986,0.9993575041276624,1.0,0.9996786488304312,3.456562464705885e-05,0.0
RANDOM_NATURAL,DDOS attack-LOIC-UDP,INTERPRETABLE,354,2488021,0.9999840628243912,0.9999999977292324,0.8045454545454546,1.0,0.8916876574307304,3.456562464705885e-05,0.0
RANDOM_NATURAL,DDoS attacks-LOIC-HTTP,INTERPRETABLE,115273,2488021,0.9999997303711868,0.9999999874930984,0.9992544429995666,0.999921924474942,0.999588072308486,3.456562464705885e-05,7.807552505790601e-05
RANDOM_NATURAL,DoS attacks-GoldenEye,INTERPRETABLE,8240,2488021,0.9999747282022752,0.9999998943481274,0.9896696696696696,0.9998786407766992,0.9947479625716872,3.456562464705885e-05,0.0001213592233009
RANDOM_NATURAL,DoS attacks-Hulk,INTERPRETABLE,86933,2488021,0.9999999973533416,0.999999999907532,0.999011710086303,1.0,0.9995056107431936,3.456562464705885e-05,0.0
RANDOM_NATURAL,DoS attacks-SlowHTTPTest,INTERPRETABLE,3877,2488021,1.0,1.0,0.978299268231138,1.0,0.989030612244898,3.456562464705885e-05,0.0
RANDOM_NATURAL,DoS attacks-Slowloris,INTERPRETABLE,2105,2488021,0.9999666799862954,0.9999999717410792,0.9607485166590598,1.0,0.9799813780260708,3.456562464705885e-05,0.0
RANDOM_NATURAL,FTP-BruteForce,INTERPRETABLE,7914,2488021,1.0000000000000002,1.0,0.98925,1.0,0.994595953248712,3.456562464705885e-05,0.0
RANDOM_NATURAL,Infilteration,INTERPRETABLE,12507,2488021,0.2318400073967516,0.9568672666195362,0.5634517766497462,0.0088750299832094,0.0174748110831234,3.456562464705885e-05,0.9911249700167906
RANDOM_NATURAL,SQL Injection,DESCRIPTIVE_ONLY,14,2488021,0.2593395994424491,0.9856797688949226,0.0947368421052631,0.6428571428571429,0.1651376146788991,3.456562464705885e-05,0.3571428571428571
RANDOM_NATURAL,SSH-Bruteforce,INTERPRETABLE,23317,2488021,0.9999999944820736,0.9999999999482876,0.9963252574456266,1.0,0.9981592465753424,3.456562464705885e-05,0.0
CHRONOLOGICAL_NATURAL,Brute Force -Web,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,Brute Force -XSS,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,DDOS attack-HOIC,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,DDOS attack-LOIC-UDP,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,DDoS attacks-LOIC-HTTP,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,DoS attacks-GoldenEye,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,DoS attacks-Hulk,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,DoS attacks-SlowHTTPTest,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,DoS attacks-Slowloris,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,FTP-BruteForce,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,Infilteration,INTERPRETABLE,62256,531524,0.1062151551339722,0.5149184263937691,0.0606060606060606,3.21254176304292e-05,6.421679590296842e-05,5.8322860303579896e-05,0.9999678745823696
CHRONOLOGICAL_NATURAL,SQL Injection,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
CHRONOLOGICAL_NATURAL,SSH-Bruteforce,DESCRIPTIVE_ONLY,0,531524,,,,,,5.8322860303579896e-05,
