split,subset,family,source_schema,feature_count,validation_rows,support_attack,support_benign,attack_prevalence,pr_auc,pr_auc_minus_attack_prevalence,roc_auc,f1_at_0_50,recall_at_0_50,fpr_at_0_50,fnr_at_0_50
RANDOM_NATURAL,PLACEBO_COUNTS,PLACEBO,DATA_VALIDATION_ONLY,67,2882481,394460,2488021,0.13684738945373795,0.9955865163363365,0.8587391268825986,0.9986174194459495,0.9838623275746619,0.9684581453125792,3.617332811901507e-05,0.03154185468742078
RANDOM_NATURAL,PLACEBO_VOLUME_DIRECTION,PLACEBO,RANKING_PREVALENCE_ONLY,67,2882481,394460,2488021,0.13684738945373795,0.9955811521100422,0.8587337626563042,0.998616948486262,0.9838570104048625,0.9684429346448309,3.536947638303696e-05,0.03155706535516909
RANDOM_NATURAL,PLACEBO_IAT,PLACEBO,RANKING_PREVALENCE_ONLY,67,2882481,394460,2488021,0.13684738945373795,0.9955804436719907,0.8587330542182527,0.9986180529514641,0.9838700538780892,0.9684657506464533,3.49675505150479e-05,0.03153424935354662
RANDOM_NATURAL,PLACEBO_PACKET_SIZE,PLACEBO,RANKING_PREVALENCE_ONLY,67,2882481,394460,2488021,0.13684738945373795,0.9917017588429179,0.8548543693891799,0.9968024188779414,0.9838725462421642,0.968463215535162,3.3761772911080736e-05,0.03153678446483801
RANDOM_NATURAL,PLACEBO_ACTIVITY,PLACEBO,RANKING_PREVALENCE_ONLY,67,2882481,394460,2488021,0.13684738945373795,0.9955840220424805,0.8587366325887426,0.9986169839377821,0.983858485208655,0.9684556102012878,3.6977179854993185e-05,0.031544389798712165
CHRONOLOGICAL_NATURAL,PLACEBO_COUNTS,PLACEBO,RANKING_PREVALENCE_ONLY,67,593780,62256,531524,0.10484691299808009,0.10656650581676541,0.0017195928186853199,0.516785367432695,0.0,0.0,4.327179958007541e-05,1.0
CHRONOLOGICAL_NATURAL,PLACEBO_VOLUME_DIRECTION,PLACEBO,RANKING_PREVALENCE_ONLY,67,593780,62256,531524,0.10484691299808009,0.10575937648816162,0.0009124634900815332,0.5138510862375135,6.421679590296842e-05,3.2125417630429196e-05,5.8322860303579896e-05,0.9999678745823696
CHRONOLOGICAL_NATURAL,PLACEBO_IAT,PLACEBO,RANKING_PREVALENCE_ONLY,67,593780,62256,531524,0.10484691299808009,0.10529778318735687,0.0004508701892767808,0.5124941477928793,6.420958006934635e-05,3.2125417630429196e-05,7.149253843664633e-05,0.9999678745823696
CHRONOLOGICAL_NATURAL,PLACEBO_PACKET_SIZE,PLACEBO,RANKING_PREVALENCE_ONLY,67,593780,62256,531524,0.10484691299808009,0.10601725233099266,0.001170339332912565,0.5157196753749624,6.421679590296842e-05,3.2125417630429196e-05,5.8322860303579896e-05,0.9999678745823696
CHRONOLOGICAL_NATURAL,PLACEBO_ACTIVITY,PLACEBO,RANKING_PREVALENCE_ONLY,67,593780,62256,531524,0.10484691299808009,0.10655451627030474,0.0017076032722246476,0.516519011937522,3.21099444497961e-05,1.6062708815214598e-05,5.4560095122703774e-05,0.9999839372911847
