cell_id,source_stage,family,direction,bridge,variant,identity_duplicate_of,operating_point,threshold,tpr,fpr,C_FP,C_FN,cost_break_even_prevalence,cost_break_even_percent,status,model_minus_ignore_per_B_at_break_even,verification_attack_flows_per_day,verification_fp_per_day,verification_tp_per_day,verification_fn_per_day,verification_model_cost,verification_ignore_cost,neighbor_relative_epsilon,prevalence_immediately_below,model_minus_ignore_per_B_below,preferred_below,prevalence_immediately_above,model_minus_ignore_per_B_above,preferred_above
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,1,100,0.07757369164447991,7.757369164447992,INTERIOR_FINITE,0.0,84097.44056712397,675.416349967264,6.754163499672639,84090.68640362429,8409744.056712396,8409744.056712396,1e-06,0.07757361407078826,7.32217074841425e-10,IGNORE_LOWER_RELATIVE_COST,0.07757376921817155,-7.322171977899514e-10,MODEL_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,1,100,0.07757369164447991,7.757369164447992,INTERIOR_FINITE,0.0,84097.44056712397,675.416349967264,6.754163499672639,84090.68640362429,8409744.056712396,8409744.056712396,1e-06,0.07757361407078826,7.32217074841425e-10,IGNORE_LOWER_RELATIVE_COST,0.07757376921817155,-7.322171977899514e-10,MODEL_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,1,100,0.017831022380837145,1.7831022380837145,INTERIOR_FINITE,0.0,18154.739955298348,58.322860303579894,0.5832286030357989,18154.156726695313,1815473.9955298349,1815473.9955298349,1e-06,0.017831004549814764,5.938169559207857e-11,IGNORE_LOWER_RELATIVE_COST,0.017831040211859526,-5.938169774693039e-11,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,1,100,6.182573058719209e-07,6.182573058719209e-05,INTERIOR_FINITE,0.0,0.6182576881142534,59.8869543303694,0.5988695433036939,0.01938814481055951,61.82576881142535,61.82576881142534,1e-06,6.18256687614615e-07,5.988699135526339e-11,IGNORE_LOWER_RELATIVE_COST,6.182579241292268e-07,-5.988699134848712e-11,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,SECURITY,0.1,0.9847006033564873,0.006817064646962385,1,100,6.922502852372038e-05,0.006922502852372037,INTERIOR_FINITE,8.673617379884035e-19,69.22982096005101,6817.064646962385,68.17064646962383,1.0591744904271865,6922.982096005104,6922.982096005101,1e-06,6.922495929869185e-05,6.81753659168699e-09,IGNORE_LOWER_RELATIVE_COST,6.922509774874889e-05,-6.817536589952267e-09,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,1,100,3.569138478251155e-07,3.569138478251155e-05,INTERIOR_FINITE,6.776263578034403e-21,0.3569139752126557,34.56562464705885,0.34565624647058846,0.011257728742067284,35.69139752126558,35.69139752126557,1e-06,3.569134909112677e-07,3.4565636987328625e-11,IGNORE_LOWER_RELATIVE_COST,3.569142047389633e-07,-3.456563698055236e-11,MODEL_LOWER_RELATIVE_COST
STAGE24_2017_TO_2018_BRIDGE62,Stage24-5A,STAGE24_2017_TO_2018,CICIDS2017_TO_IDS2018,bridge62,FLAG_CORRECTED_SOURCE_SEMANTICS,,BALANCED,0.17000000178813934,0.0006103829349781547,0.0020055538414069734,1,100,0.031812047107715576,3.1812047107715578,INTERIOR_FINITE,0.0,32857.30525016646,2005.5538414069733,20.055538414069733,32837.24971175239,3285730.525016646,3285730.525016646,1e-06,0.03181201529566847,2.0714508676064614e-09,IGNORE_LOWER_RELATIVE_COST,0.03181207891976268,-2.071451004649616e-09,MODEL_LOWER_RELATIVE_COST
STAGE24_2017_TO_2018_BRIDGE62,Stage24-5A,STAGE24_2017_TO_2018,CICIDS2017_TO_IDS2018,bridge62,FLAG_CORRECTED_SOURCE_SEMANTICS,,SECURITY,0.05000000074505806,0.0013492675404780262,0.0030290259706052783,1,100,0.021956499178222948,2.1956499178222946,INTERIOR_FINITE,-4.336808689942018e-19,22449.409622143125,3029.0259706052784,30.29025970605279,22419.11936243707,2244940.9622143125,2244940.9622143125,1e-06,0.02195647722172377,3.0970257456665318e-09,IGNORE_LOWER_RELATIVE_COST,0.021956521134722125,-3.0970258848780907e-09,MODEL_LOWER_RELATIVE_COST
STAGE24_2017_TO_2018_BRIDGE62,Stage24-5A,STAGE24_2017_TO_2018,CICIDS2017_TO_IDS2018,bridge62,FLAG_CORRECTED_SOURCE_SEMANTICS,,STANDARD,0.5,0.00038550501156515033,0.0014975805419886966,1,100,0.037394563696284334,3.7394563696284333,INTERIOR_FINITE,0.0,38847.23925918679,1497.5805419886967,14.975805419886965,38832.2634537669,3884723.9259186788,3884723.925918679,1e-06,0.03739452630172064,1.555757351071052e-09,IGNORE_LOWER_RELATIVE_COST,0.03739460109084803,-1.5557574720680145e-09,MODEL_LOWER_RELATIVE_COST
STAGE24_2017_TO_2018_BRIDGE70,Stage24-5B,STAGE24_2017_TO_2018,CICIDS2017_TO_IDS2018,bridge70,FLAG_CORRECTED_SOURCE_SEMANTICS,,BALANCED,0.18000000715255737,0.0006103829349781547,0.001962282041826898,1,100,0.031147049451828505,3.1147049451828503,INTERIOR_FINITE,-4.336808689942018e-19,32148.376525256677,1962.282041826898,19.622820418268983,32128.753704838407,3214837.6525256676,3214837.6525256676,1e-06,0.03114701830477905,2.025366158640851e-09,IGNORE_LOWER_RELATIVE_COST,0.031147080598877955,-2.025366288745112e-09,MODEL_LOWER_RELATIVE_COST
STAGE24_2017_TO_2018_BRIDGE70,Stage24-5B,STAGE24_2017_TO_2018,CICIDS2017_TO_IDS2018,bridge70,FLAG_CORRECTED_SOURCE_SEMANTICS,,SECURITY,0.05000000074505806,0.0008191981495759444,0.002502238845282621,1,100,0.029639634817760687,2.9639634817760685,INTERIOR_FINITE,0.0,30544.97677488527,2502.2388452826212,25.02238845282621,30519.95438643244,3054497.677488527,3054497.677488527,1e-06,0.029639605178125868,2.578669593827909e-09,IGNORE_LOWER_RELATIVE_COST,0.029639664457395503,-2.5786697512540646e-09,MODEL_LOWER_RELATIVE_COST
