evaluation_cell,operating_point,cost_break_even_prevalence,cost_break_even_percent
Stage22 Random,STANDARD,3.569138478251155e-07,3.569138478251155e-05
Stage22 Random,BALANCED,6.182573058719209e-07,6.182573058719209e-05
Stage22 Random,SECURITY,6.922502852372038e-05,0.006922502852372037
Stage22 Chronological,STANDARD,0.017831022380837145,1.7831022380837145
Stage22 Chronological,BALANCED,0.07757369164447991,7.757369164447992
Stage22 Chronological,SECURITY,0.07757369164447991,7.757369164447992
IDS2018→CICIDS2017 B62 Published,STANDARD,0.0001928156398963324,0.019281563989633238
IDS2018→CICIDS2017 B62 Published,BALANCED,0.00029231023271050505,0.029231023271050507
IDS2018→CICIDS2017 B62 Published,SECURITY,0.00029231023271050505,0.029231023271050507
IDS2018→CICIDS2017 B62 Corrected,STANDARD,0.0001928156398963324,0.019281563989633238
IDS2018→CICIDS2017 B62 Corrected,BALANCED,0.00029231023271050505,0.029231023271050507
IDS2018→CICIDS2017 B62 Corrected,SECURITY,0.00029231023271050505,0.029231023271050507
IDS2018→CICIDS2017 B70 Published,STANDARD,0.00015593300746196,0.015593300746196
IDS2018→CICIDS2017 B70 Published,BALANCED,0.0002807511419680212,0.02807511419680212
IDS2018→CICIDS2017 B70 Published,SECURITY,0.0002807511419680212,0.02807511419680212
IDS2018→CICIDS2017 B70 Corrected,STANDARD,0.00024507317123303573,0.024507317123303573
IDS2018→CICIDS2017 B70 Corrected,BALANCED,0.00035143797215241143,0.03514379721524114
IDS2018→CICIDS2017 B70 Corrected,SECURITY,0.00035143797215241143,0.03514379721524114
CICIDS2017→IDS2018 B62,STANDARD,0.037394563696284334,3.7394563696284333
CICIDS2017→IDS2018 B62,BALANCED,0.031812047107715576,3.1812047107715578
CICIDS2017→IDS2018 B62,SECURITY,0.021956499178222948,2.1956499178222946
CICIDS2017→IDS2018 B70,STANDARD,0.033580919388687805,3.3580919388687804
CICIDS2017→IDS2018 B70,BALANCED,0.031147049451828505,3.1147049451828503
CICIDS2017→IDS2018 B70,SECURITY,0.029639634817760687,2.9639634817760685
