family,projection_prevalence,operating_points,model_lower_count,ignore_lower_count,equal_count
STAGE22_RANDOM,0.1,3,3,0,0
STAGE22_RANDOM,0.03,3,3,0,0
STAGE22_RANDOM,0.01,3,3,0,0
STAGE22_RANDOM,0.003,3,3,0,0
STAGE22_RANDOM,0.001,3,3,0,0
STAGE22_RANDOM,0.0001,3,3,0,0
STAGE22_CHRONOLOGICAL,0.1,3,3,0,0
STAGE22_CHRONOLOGICAL,0.03,3,1,2,0
STAGE22_CHRONOLOGICAL,0.01,3,0,3,0
STAGE22_CHRONOLOGICAL,0.003,3,0,3,0
STAGE22_CHRONOLOGICAL,0.001,3,0,3,0
STAGE22_CHRONOLOGICAL,0.0001,3,0,3,0
STAGE24_2018_TO_2017,0.1,12,12,0,0
STAGE24_2018_TO_2017,0.03,12,12,0,0
STAGE24_2018_TO_2017,0.01,12,12,0,0
STAGE24_2018_TO_2017,0.003,12,12,0,0
STAGE24_2018_TO_2017,0.001,12,12,0,0
STAGE24_2018_TO_2017,0.0001,12,0,12,0
STAGE24_2017_TO_2018,0.1,6,6,0,0
STAGE24_2017_TO_2018,0.03,6,2,4,0
STAGE24_2017_TO_2018,0.01,6,0,6,0
STAGE24_2017_TO_2018,0.003,6,0,6,0
STAGE24_2017_TO_2018,0.001,6,0,6,0
STAGE24_2017_TO_2018,0.0001,6,0,6,0
