artifact_id,family,role,comparison_group,representation,repo_relative_path,absolute_path,size_bytes,sha256,expected_sha256,sha256_match,expected_size_bytes,size_match,notes,validation_pr_auc,validation_f1,selected_threshold,winning_configuration_id,training_backend_recorded
STAGE16_XGBOOST_TUNED,xgboost,PRIMARY_ARCHITECTURE_PROFILE,GROUP_A_DUPSAFE70,70_FEATURE_RAW_NUMERIC,results/stage16_classical_benchmark_checkpoint/stage16_3_tuned_models/XGBOOST_tuned.joblib,/kaggle/working/ids2018-validation-safe-ablation/results/stage16_classical_benchmark_checkpoint/stage16_3_tuned_models/XGBOOST_tuned.joblib,864264,4f02e06fc6d855adc1e33ce47befda2bedb6c2a5b528338cc88f24e4184b705f,4f02e06fc6d855adc1e33ce47befda2bedb6c2a5b528338cc88f24e4184b705f,True,864264.0,True,Stage16 winning configuration XGB_11; fit on duplicate-safe training only; selected on duplicate-safe validation only.,0.9453847557659393,0.8799631128643886,0.465,XGB_11,"{'objective': 'binary:logistic', 'n_estimators': 400, 'learning_rate': 0.06, 'max_depth': 7, 'subsample': 0.9, 'colsample_bytree': 1.0, 'tree_method': 'hist', 'device': 'cuda', 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1, 'min_child_weight': 1, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 3.0}"
STAGE16_LIGHTGBM_TUNED,lightgbm,PRIMARY_ARCHITECTURE_PROFILE,GROUP_A_DUPSAFE70,70_FEATURE_RAW_NUMERIC,results/stage16_classical_benchmark_checkpoint/stage16_3_tuned_models/LIGHTGBM_tuned.joblib,/kaggle/working/ids2018-validation-safe-ablation/results/stage16_classical_benchmark_checkpoint/stage16_3_tuned_models/LIGHTGBM_tuned.joblib,2420416,0e13bc2386e30a31aba765501011bd5b274714f77d3a8df481e374a461db55e2,0e13bc2386e30a31aba765501011bd5b274714f77d3a8df481e374a461db55e2,True,2420416.0,True,Stage16 winning configuration LGBM_11; fit on duplicate-safe training only; selected on duplicate-safe validation only.,0.9466063189077636,0.8815233440252532,0.47,LGBM_11,"{'boosting_type': 'gbdt', 'objective': 'binary', 'n_estimators': 400, 'learning_rate': 0.06, 'num_leaves': 127, 'max_depth': 12, 'subsample': 0.9, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 3.0, 'device_type': 'gpu', 'verbosity': -1, 'random_state': 42, 'n_jobs': -1, 'min_child_samples': 20, 'subsample_freq': 1}"
STAGE16_CATBOOST_TUNED,catboost,PRIMARY_ARCHITECTURE_PROFILE,GROUP_A_DUPSAFE70,70_FEATURE_RAW_NUMERIC,results/stage16_classical_benchmark_checkpoint/stage16_3_tuned_models/CATBOOST_tuned.joblib,/kaggle/working/ids2018-validation-safe-ablation/results/stage16_classical_benchmark_checkpoint/stage16_3_tuned_models/CATBOOST_tuned.joblib,458589,85b2305676280fee6e620d94eb28a58ba9b607aff247b65ad462ab16f89c0cd6,85b2305676280fee6e620d94eb28a58ba9b607aff247b65ad462ab16f89c0cd6,True,458589.0,True,Stage16 winning configuration CAT_04; fit on duplicate-safe training only; selected on duplicate-safe validation only.,0.9430447292850749,0.8775635767022149,0.435,CAT_04,"{'iterations': 500, 'learning_rate': 0.05, 'depth': 8, 'loss_function': 'Logloss', 'eval_metric': 'F1', 'random_seed': 42, 'task_type': 'GPU', 'devices': '0', 'verbose': False, 'allow_writing_files': False, 'l2_leaf_reg': 8.0, 'random_strength': 0.5, 'bagging_temperature': 1.0, 'border_count': 128}"
FT_BALANCED_seed_7,ft_transformer,FROZEN_ENSEMBLE_MEMBER,GROUP_A_DUPSAFE70,70_FEATURE_SCALED_NUMERIC_TOKENIZER,results/stage15_transformer_checkpoint/stage15_4b_models/FT_BALANCED_seed_7_best_extended.pt,/kaggle/working/ids2018-validation-safe-ablation/results/stage15_transformer_checkpoint/stage15_4b_models/FT_BALANCED_seed_7_best_extended.pt,1968137,07ab2289b41ae933ce28f3d19a92cf44bb863439209c607254e400c6b0732c31,07ab2289b41ae933ce28f3d19a92cf44bb863439209c607254e400c6b0732c31,True,1968137.0,True,Member of frozen Stage15 five-checkpoint soft-voting ensemble.,,,,,
FT_BALANCED_seed_29,ft_transformer,FROZEN_ENSEMBLE_MEMBER,GROUP_A_DUPSAFE70,70_FEATURE_SCALED_NUMERIC_TOKENIZER,results/stage15_transformer_checkpoint/stage15_4a_models/FT_BALANCED_seed_29_best.pt,/kaggle/working/ids2018-validation-safe-ablation/results/stage15_transformer_checkpoint/stage15_4a_models/FT_BALANCED_seed_29_best.pt,1966137,b4f8fd466133fd519273bffd9a9db0fa486e77aadf1b3037887491de4415610c,b4f8fd466133fd519273bffd9a9db0fa486e77aadf1b3037887491de4415610c,True,1966137.0,True,Member of frozen Stage15 five-checkpoint soft-voting ensemble.,,,,,
FT_BALANCED_seed_101,ft_transformer,FROZEN_ENSEMBLE_MEMBER,GROUP_A_DUPSAFE70,70_FEATURE_SCALED_NUMERIC_TOKENIZER,results/stage15_transformer_checkpoint/stage15_4a_models/FT_BALANCED_seed_101_best.pt,/kaggle/working/ids2018-validation-safe-ablation/results/stage15_transformer_checkpoint/stage15_4a_models/FT_BALANCED_seed_101_best.pt,1966315,0b93392ad23440818dd9f10ad4005f452331e3b52ff119fced4cf126e2f2a552,0b93392ad23440818dd9f10ad4005f452331e3b52ff119fced4cf126e2f2a552,True,1966315.0,True,Member of frozen Stage15 five-checkpoint soft-voting ensemble.,,,,,
FT_BALANCED_seed_313,ft_transformer,FROZEN_ENSEMBLE_MEMBER,GROUP_A_DUPSAFE70,70_FEATURE_SCALED_NUMERIC_TOKENIZER,results/stage15_transformer_checkpoint/stage15_4c_models/FT_BALANCED_seed_313_best.pt,/kaggle/working/ids2018-validation-safe-ablation/results/stage15_transformer_checkpoint/stage15_4c_models/FT_BALANCED_seed_313_best.pt,1966315,51bc59b0d894ce4395a0c6cf0e54090daec4d132c358092263ba4f408c59a739,51bc59b0d894ce4395a0c6cf0e54090daec4d132c358092263ba4f408c59a739,True,1966315.0,True,Member of frozen Stage15 five-checkpoint soft-voting ensemble.,,,,,
FT_BALANCED_seed_997,ft_transformer,FROZEN_ENSEMBLE_MEMBER,GROUP_A_DUPSAFE70,70_FEATURE_SCALED_NUMERIC_TOKENIZER,results/stage15_transformer_checkpoint/stage15_4c_models/FT_BALANCED_seed_997_best.pt,/kaggle/working/ids2018-validation-safe-ablation/results/stage15_transformer_checkpoint/stage15_4c_models/FT_BALANCED_seed_997_best.pt,1966315,c0564a47ad4d1f7bd6ce91b06086c41043646b31aa3d751c24d8f44083114b66,c0564a47ad4d1f7bd6ce91b06086c41043646b31aa3d751c24d8f44083114b66,True,1966315.0,True,Member of frozen Stage15 five-checkpoint soft-voting ensemble.,,,,,
STAGE20_MASKED_CNN_V1,cnn,PRIMARY_ARCHITECTURE_PROFILE,GROUP_B_PACKET_IMAGE,64x256x1_FROZEN_STAGE20_PACKET_IMAGE,results/stage20_1e_training/stage20_1e2_epoch10_model_state_dict.pt,/kaggle/working/ids2018-validation-safe-ablation/results/stage20_1e_training/stage20_1e2_epoch10_model_state_dict.pt,376879,3ebc71e579dc8e0e545981b2d60eea643148fe53e0902f8df8e47556243ad30b,,,,,Immutable Stage20 CNN comparator reused by Stage21; no retraining permitted in Stage21.,,,,,
STAGE21_MASKED_VIT_V1,vit,PRIMARY_ARCHITECTURE_PROFILE,GROUP_B_PACKET_IMAGE,64x256x1_FROZEN_STAGE20_PACKET_IMAGE,results/stage21_architecture/stage21_2_epoch10_model_state_dict.pt,/kaggle/working/ids2018-validation-safe-ablation/results/stage21_architecture/stage21_2_epoch10_model_state_dict.pt,378999,221e9c805fb663acacf2f0f2ca95dba7cb4b2ec4c4de5a3650cf4adeb99b5ef8,,,,,Single frozen Stage21MaskedViTv1 candidate; trained for exactly 10 epochs under preregistered protocol.,,,,,
