relative_path,size_bytes,size_human,suffix,family_guess,artifact_type
datasets/jmmubasshirrahman/ai-ids-research-kaggle/data/processed/merged_balanced_ids2018_safe.csv,114122375,108.836 MiB,.csv,unknown,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/models/final_xgboost_ids_model.pkl,773138,755.018 KiB,.pkl,xgboost,model
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/additional_baseline_model_results.csv,530,530.000 B,.csv,unknown,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/all_csv_label_summary.csv,1169,1.142 KiB,.csv,unknown,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/cnn_baseline_result.csv,243,243.000 B,.csv,cnn,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/final_model_comparison_with_threshold.csv,918,918.000 B,.csv,unknown,preprocessing
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/final_multi_file_xgboost_threshold_results.csv,1106,1.080 KiB,.csv,xgboost,preprocessing
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/final_multifile_xgboost_shap_top_20_features.csv,536,536.000 B,.csv,xgboost,preprocessing
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/final_selected_xgboost_threshold_030.csv,314,314.000 B,.csv,xgboost,preprocessing
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/full_baseline_model_comparison.csv,755,755.000 B,.csv,unknown,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/lstm_baseline_result.csv,241,241.000 B,.csv,unknown,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/mlp_baseline_result.csv,242,242.000 B,.csv,mlp,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/model_comparison_results.csv,744,744.000 B,.csv,unknown,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/processed_files_summary.csv,1199,1.171 KiB,.csv,unknown,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/processing_summary_small_files.csv,586,586.000 B,.csv,unknown,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/random_forest_results.csv,291,291.000 B,.csv,unknown,other
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/xgboost_selected_threshold_045.csv,315,315.000 B,.csv,xgboost,preprocessing
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/xgboost_shap_top_15_features.csv,403,403.000 B,.csv,xgboost,preprocessing
datasets/jmmubasshirrahman/ai-ids-research-kaggle/results/xgboost_threshold_results.csv,1137,1.110 KiB,.csv,xgboost,preprocessing
datasets/solarmainframe/ids-intrusion-csv/02-14-2018.csv,358223333,341.628 MiB,.csv,unknown,other
datasets/solarmainframe/ids-intrusion-csv/02-15-2018.csv,375945899,358.530 MiB,.csv,unknown,other
datasets/solarmainframe/ids-intrusion-csv/02-16-2018.csv,333723605,318.264 MiB,.csv,unknown,other
datasets/solarmainframe/ids-intrusion-csv/02-20-2018.csv,4054925350,3.776 GiB,.csv,unknown,other
datasets/solarmainframe/ids-intrusion-csv/02-21-2018.csv,328893673,313.657 MiB,.csv,unknown,other
datasets/solarmainframe/ids-intrusion-csv/02-22-2018.csv,382636202,364.910 MiB,.csv,unknown,other
datasets/solarmainframe/ids-intrusion-csv/02-23-2018.csv,382840456,365.105 MiB,.csv,unknown,other
datasets/solarmainframe/ids-intrusion-csv/02-28-2018.csv,209249758,199.556 MiB,.csv,unknown,other
datasets/solarmainframe/ids-intrusion-csv/03-01-2018.csv,107842858,102.847 MiB,.csv,unknown,other
datasets/solarmainframe/ids-intrusion-csv/03-02-2018.csv,352368373,336.045 MiB,.csv,unknown,other
