publication_scope,condition_id,target_id,comparison_group,hardware_mode,physical_gpu_index,batch_size,status,n,p50_latency_ms,p50_ci95_low_ms,p50_ci95_high_ms,p95_latency_ms,p95_ci95_low_ms,p95_ci95_high_ms,p99_latency_ms_if_n_gte_100,p99_ci95_low_ms_if_n_gte_100,p99_ci95_high_ms_if_n_gte_100,median_throughput_flows_per_second,throughput_ci95_low_flows_per_second,throughput_ci95_high_flows_per_second,gpu_memory_baseline_mib,gpu_memory_loaded_mib,gpu_memory_prepared_input_mib,gpu_memory_peak_process_mib,delta_model_gpu_memory_mib,delta_peak_gpu_memory_mib,torch_peak_allocated_mib,timing_boundary,output_boundary_detail,error_or_backend_detail,complete_e2e_available,ratio_uncertainty_available,publication_claim_boundary
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_001,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1,PASS,200,1.7093660000000002,1.657065,2.194882,2.2911625,2.2654786,2.389201,2.96669069,2.320005969999999,2.970521,585.0197346144234,455.66078788306834,604.1752802809622,102.0,102.0,104.0,122.0,0.0,20.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUPY_DEVICE_INPUT_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_002,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,64,PASS,150,2.347544,2.33273,2.360948,3.54891465,3.5235545,3.5707008,3.5876363,3.5589564,3.624355,27262.535247556352,27085.452911093693,27440.217841029385,102.0,102.0,104.0,122.0,0.0,20.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUPY_DEVICE_INPUT_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_003,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,256,PASS,100,2.571603,2.56181825,2.5861015,2.67306785,2.640862,2.7071931,2.72073715,2.67269243,2.746591,99548.80308675797,99001.78357900729,99955.4885714955,102.0,102.0,104.0,122.0,0.0,20.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUPY_DEVICE_INPUT_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_004,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1024,PASS,50,2.852116,2.83893,2.859074,2.8939304,2.87893885,2.948785,,,,359031.7357032866,358244.0026490465,360695.9741538791,102.0,102.0,104.0,122.0,0.0,20.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUPY_DEVICE_INPUT_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_005,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,8192,PASS,20,4.556527,4.5438345,4.5698360000000005,4.6088334,4.5711581,4.659742,,,,1797860.569530968,1792624.5556664057,1802882.5667286343,102.0,102.0,106.0,126.0,0.0,24.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUPY_DEVICE_INPUT_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_006,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,Frozen LightGBM model has no contract-approved native GPU inference path; GPU training configuration does not make ordinary predict_proba GPU inference.,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_007,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,64,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,Frozen LightGBM model has no contract-approved native GPU inference path; GPU training configuration does not make ordinary predict_proba GPU inference.,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_008,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,256,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,Frozen LightGBM model has no contract-approved native GPU inference path; GPU training configuration does not make ordinary predict_proba GPU inference.,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_009,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1024,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,Frozen LightGBM model has no contract-approved native GPU inference path; GPU training configuration does not make ordinary predict_proba GPU inference.,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_010,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,8192,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,Frozen LightGBM model has no contract-approved native GPU inference path; GPU training configuration does not make ordinary predict_proba GPU inference.,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_011,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1,PASS,200,1.3701154999999998,1.362197,1.3798745375,1.47844135,1.4576986749999998,1.513468,1.7453114899999993,1.4893241599999976,2.161419,729.8654875122697,724.6106531930562,734.1823247742968,102.0,102.0,102.0,106.0,0.0,4.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,HOST_NUMPY_INPUT_NATIVE_CATBOOST_GPU_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_012,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,64,PASS,150,1.4259855,1.40836,1.4430635,1.57102005,1.539549,1.605279,1.6731671199999998,1.5840401215000002,1.82916,44881.27585417264,44352.668472021,45441.32218617475,102.0,102.0,102.0,106.0,0.0,4.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,HOST_NUMPY_INPUT_NATIVE_CATBOOST_GPU_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_013,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,256,PASS,100,1.665963,1.6561969625,1.68544,1.75858135,1.7417542499999998,1.8127958,1.8153576100000004,1.7590727100000003,1.892539,153664.87876422866,151804.09681306273,154635.8747980975,102.0,102.0,102.0,106.0,0.0,4.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,HOST_NUMPY_INPUT_NATIVE_CATBOOST_GPU_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_014,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1024,PASS,50,2.8869205,2.834505,2.9218365000000004,3.1461138,3.030173,3.26606905,,,,354706.1131180686,350144.7285042773,361262.3720896594,102.0,102.0,102.0,106.0,0.0,4.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,HOST_NUMPY_INPUT_NATIVE_CATBOOST_GPU_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
