role,source_repository_path,destination_repository_path,bytes,sha256,copy_mode
GPU_PROTOCOL_ARCHIVAL_SOURCE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_execution_plan.csv,results/stage26_deployment_profiling/stage26_8_gpu_protocol_lock/stage26_g1_gpu_execution_plan.csv,3463,3d19e36b9b6000de853e291468a46b668df4301dac4c9304a3b72dda04469273,BYTE_FOR_BYTE
GPU_PROTOCOL_ARCHIVAL_SOURCE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_environment.json,results/stage26_deployment_profiling/stage26_8_gpu_protocol_lock/stage26_g1_gpu_environment.json,845,dde88a5ebafe82ccca466db967a4797d440bcbfa006429427d64ecce6c7b6e5f,BYTE_FOR_BYTE
GPU_PROTOCOL_ARCHIVAL_SOURCE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_profile_receipt.json,results/stage26_deployment_profiling/stage26_8_gpu_protocol_lock/stage26_g1_gpu_profile_receipt.json,2292,4ed7c3999ef6f6fffd8361ebca04f9a4398565a00953c50d97acae922c8502c2,BYTE_FOR_BYTE
FROZEN_G1_GPU_PROFILE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_condition_summary.csv,results/stage26_deployment_profiling/stage26_9_gpu_inference/stage26_g1_gpu_condition_summary.csv,16278,b355ce66882d1ebcc0f4a1a3cd030b81f2dac25f462761d22bcd0428b3bc2625,BYTE_FOR_BYTE
FROZEN_G1_GPU_PROFILE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_environment.json,results/stage26_deployment_profiling/stage26_9_gpu_inference/stage26_g1_gpu_environment.json,845,dde88a5ebafe82ccca466db967a4797d440bcbfa006429427d64ecce6c7b6e5f,BYTE_FOR_BYTE
FROZEN_G1_GPU_PROFILE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_execution_plan.csv,results/stage26_deployment_profiling/stage26_9_gpu_inference/stage26_g1_gpu_execution_plan.csv,3463,3d19e36b9b6000de853e291468a46b668df4301dac4c9304a3b72dda04469273,BYTE_FOR_BYTE
FROZEN_G1_GPU_PROFILE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_profile_manifest.json,results/stage26_deployment_profiling/stage26_9_gpu_inference/stage26_g1_gpu_profile_manifest.json,1625,7aa8ac38b9cdc38aad43d4380f850c334f5235cac61378289c3a8295457e6048,BYTE_FOR_BYTE
FROZEN_G1_GPU_PROFILE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_profile_receipt.json,results/stage26_deployment_profiling/stage26_9_gpu_inference/stage26_g1_gpu_profile_receipt.json,2292,4ed7c3999ef6f6fffd8361ebca04f9a4398565a00953c50d97acae922c8502c2,BYTE_FOR_BYTE
FROZEN_G1_GPU_PROFILE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_raw_timing.csv,results/stage26_deployment_profiling/stage26_9_gpu_inference/stage26_g1_gpu_raw_timing.csv,372477,c41ffa687b3b779762f0adae2808d5e6489c4402d57fd8029d1c45f601e5565c,BYTE_FOR_BYTE
FROZEN_G1_GPU_PROFILE,results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile/stage26_g1_gpu_worker_results.json,results/stage26_deployment_profiling/stage26_9_gpu_inference/stage26_g1_gpu_worker_results.json,104027,4253b8a9992f413e8c77225f54fd7ace7078b19e6fc459ff7211251b09ce98ac,BYTE_FOR_BYTE
