execution_order,target_id,repetition,hardware_mode,thread_count,affinity,batch_size,environment_cpu_percent,environment_available_ram_gib,environment_attempt_count,process_spawn_to_worker_ready_ns,framework_import_ns,input_preparation_ns,model_deserialization_load_ns,first_prediction_ns,spawn_to_first_output_ns,parent_process_total_ns,output_sha256,status,holdout_accessed,memory_profiled,gpu_used
1,STAGE16_XGBOOST_TUNED,19,CPU_1_PHYSICAL_CORE,1,0,1,0.8,29.60711669921875,1,74487738,1030225532,656690,23174969,2896190,1131442589,1352323620,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
2,STAGE16_LIGHTGBM_TUNED,9,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.528545379638672,1,77069897,1778296341,610701,62375238,2429520,1920782715,2286600031,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
3,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,7,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.51400375366211,1,76503327,1233882684,5623860,97146516,9711719,1422869336,1796990122,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
4,STAGE21_MASKED_VIT_V1,8,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.540042877197266,1,70781067,1251921741,5513870,9204569,4207150,1341629807,1758549101,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
5,STAGE21_MASKED_VIT_V1,7,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.527706146240234,1,74272547,1243435662,6063259,8408070,4715499,1336896307,1720897373,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
6,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,10,CPU_1_PHYSICAL_CORE,1,0,1,0.7,29.512615203857422,1,74015948,1301010702,5498290,23019419,3025420,1406571059,1780027425,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
7,STAGE16_CATBOOST_TUNED,19,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.540550231933594,1,76926768,1351893687,642960,9610400,4015820,1443090814,1746962611,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
8,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,17,CPU_1_PHYSICAL_CORE,1,0,1,3.0,29.54375457763672,1,72010638,1254233904,4921990,94284816,9092420,1434544658,1757767205,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
9,STAGE16_LIGHTGBM_TUNED,3,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.522960662841797,1,78171367,1779340832,634820,64829437,2441400,1925418887,2337596411,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
10,STAGE16_XGBOOST_TUNED,11,CPU_1_PHYSICAL_CORE,1,0,1,2.8,29.522918701171875,1,71944978,1046706011,616400,23615189,2811860,1145695688,1336318011,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
