execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,warmup_runs,timed_runs_planned,timed_runs_observed,status,p50_batch_latency_ms,p95_batch_latency_ms,p99_batch_latency_ms,median_throughput_flows_per_second
1,CPUCOND_061,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,50,200,200,PASS,1.1218805,1.3107035999999999,1.5579616999999997,891.3605384061377
2,CPUCOND_041,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,50,200,200,PASS,7.5736545,9.532039499999998,10.681361889999996,132.03665745731684
3,CPUCOND_019,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,10,50,50,PASS,25.09686,26.426792,,40801.999383258124
4,CPUCOND_079,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,10,50,50,PASS,833.545548,864.03292,,1228.4882778319493
5,CPUCOND_052,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,64,30,150,150,PASS,105.0176195,132.188061,136.9043697,609.4236485845488
6,CPUCOND_042,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,64,30,150,150,PASS,1081.205047,1122.7371835,1138.1144252,59.19321350856008
7,CPUCOND_069,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,10,50,50,PASS,38.918859,42.89060495,,26311.15184444711
8,CPUCOND_021,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,50,200,200,PASS,0.20542,0.23919549999999995,0.2700422999999999,4868.080746724058
9,CPUCOND_020,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,20,20,PASS,193.48129,198.87641695,,42340.01420302493
10,CPUCOND_047,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,30,150,150,PASS,658.524848,874.5717144999999,908.8217726999999,97.18693788054995
