memory_execution_order,source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,memory_repetition,status,baseline_rss_bytes,loaded_rss_bytes,peak_rss_bytes,delta_model_rss_bytes,delta_peak_rss_bytes,ru_maxrss_bytes_descriptive,rss_sample_count,parent_observed_peak_rss_bytes,worker_ram_limit_bytes
1,24,CPUCOND_029,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,3,PASS,179703808,271978496,275427328,92274688,95723520,1210355712,4,275423232,28610476236
2,66,CPUCOND_073,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,2,PASS,366665728,373178368,491507712,6512640,124841984,1210355712,112,491507712,28610476236
3,52,CPUCOND_062,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,5,PASS,178507776,292528128,294330368,114020352,115822592,1210355712,4,298856448,28610476236
4,22,CPUCOND_077,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,5,PASS,366645248,373305344,410353664,6660096,43708416,1210355712,12,412938240,28610476236
5,80,CPUCOND_053,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,256,3,PASS,255516672,259801088,599134208,4284416,343617536,1210355712,175,599134208,28610476236
6,43,CPUCOND_054,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,5,PASS,318627840,322908160,1303252992,4280320,984625152,1303023616,842,1303252992,28610476236
7,29,CPUCOND_051,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,5,PASS,234381312,238632960,249430016,4251648,15048704,1210355712,3,249618432,28610476236
8,16,CPUCOND_037,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,5,PASS,366764032,376496128,422113280,9732096,55349248,1210355712,44,422715392,28610476236
9,61,CPUCOND_078,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,1,PASS,366243840,372826112,496115712,6582272,129871872,1210355712,44,496115712,28610476236
10,24,CPUCOND_029,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,1,PASS,179216384,271441920,275030016,92225536,95813632,1210355712,3,278941696,28610476236
11,71,CPUCOND_040,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,4,PASS,374095872,381501440,2623369216,7405568,2249273344,2623356928,7598,2623369216,28610476236
12,35,CPUCOND_002,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,1,PASS,178872320,215138304,216256512,36265984,37384192,1210355712,3,222961664,28610476236
13,51,CPUCOND_072,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,4,PASS,366436352,373035008,408772608,6598656,42336256,1210355712,19,410042368,28610476236
14,10,CPUCOND_047,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,5,PASS,235839488,240185344,524046336,4345856,288206848,1210355712,136,523190272,28610476236
15,71,CPUCOND_040,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,2,PASS,373166080,380641280,2626486272,7475200,2253320192,2626228224,7393,2626486272,28610476236
16,55,CPUCOND_027,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,1,PASS,178987008,271577088,274370560,92590080,95383552,1210355712,3,274366464,28610476236
17,80,CPUCOND_053,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,256,1,PASS,255700992,260046848,607969280,4345856,352268288,1210355712,150,607969280,28610476236
18,55,CPUCOND_027,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,3,PASS,178667520,271462400,274231296,92794880,95563776,1210355712,4,274227200,28610476236
19,59,CPUCOND_057,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,1,PASS,240001024,244285440,331968512,4284416,91967488,1210355712,23,332034048,28610476236
20,23,CPUCOND_049,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1024,1,PASS,267673600,271949824,4705959936,4276224,4438286336,4708855808,2287,4709011456,28610476236
21,24,CPUCOND_029,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,4,PASS,179507200,271667200,275189760,92160000,95682560,1210355712,4,275189760,28610476236
22,67,CPUCOND_063,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,3,PASS,179007488,293089280,294887424,114081792,115879936,1210355712,6,298442752,28610476236
23,69,CPUCOND_004,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,4,PASS,180420608,216133632,217251840,35713024,36831232,1210355712,4,220532736,28610476236
24,69,CPUCOND_004,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,1,PASS,179183616,214884352,216006656,35700736,36823040,1210355712,4,219303936,28610476236
25,35,CPUCOND_002,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,3,PASS,178601984,215003136,216121344,36401152,37519360,1210355712,3,219623424,28610476236
26,37,CPUCOND_039,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,2,PASS,367304704,376459264,773677056,9154560,406372352,1210355712,909,773677056,28610476236
