source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,planned_repetitions,pass_repetitions,resource_limit_oom_repetitions,timeout_resource_limit_repetitions,median_baseline_rss_bytes,min_baseline_rss_bytes,max_baseline_rss_bytes,median_loaded_rss_bytes,min_loaded_rss_bytes,max_loaded_rss_bytes,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes,median_delta_model_rss_bytes,min_delta_model_rss_bytes,max_delta_model_rss_bytes,median_delta_peak_rss_bytes,min_delta_peak_rss_bytes,max_delta_peak_rss_bytes,median_ru_maxrss_bytes_descriptive,min_ru_maxrss_bytes_descriptive,max_ru_maxrss_bytes_descriptive
1,CPUCOND_061,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,5,5,0,0,178548736.0,178225152.0,178810880.0,292712448.0,292036608.0,292917248.0,294510592.0,293892096.0,294715392.0,114130944.0,113811456.0,114171904.0,115933184.0,115666944.0,115974144.0,1210355712.0,1210355712.0,1210355712.0
2,CPUCOND_041,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,5,5,0,0,233791488.0,233680896.0,234037248.0,238137344.0,238026752.0,238317568.0,254259200.0,254152704.0,254443520.0,4345856.0,4280320.0,4345856.0,20467712.0,20406272.0,20471808.0,1210355712.0,1210355712.0,1210355712.0
3,CPUCOND_019,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,5,0,0,179830784.0,179757056.0,180129792.0,264839168.0,264773632.0,264970240.0,265482240.0,265433088.0,265674752.0,84946944.0,84840448.0,85061632.0,85651456.0,85544960.0,85721088.0,1210355712.0,1210355712.0,1210355712.0
4,CPUCOND_079,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,5,0,0,367947776.0,367280128.0,368320512.0,374087680.0,373428224.0,374398976.0,714956800.0,696811520.0,733581312.0,6082560.0,6074368.0,6148096.0,346996736.0,328863744.0,365879296.0,1210355712.0,1210355712.0,1210355712.0
5,CPUCOND_052,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,64,5,5,0,0,239697920.0,239558656.0,239902720.0,244047872.0,243908608.0,244187136.0,350826496.0,331386880.0,350969856.0,4349952.0,4284416.0,4349952.0,111067136.0,91828224.0,111128576.0,1210355712.0,1210355712.0,1210355712.0
6,CPUCOND_042,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,64,5,5,0,0,236113920.0,235950080.0,236249088.0,240369664.0,240254976.0,240488448.0,525082624.0,523505664.0,525586432.0,4304896.0,4239360.0,4304896.0,288968704.0,287375360.0,289345536.0,1210355712.0,1210355712.0,1210355712.0
7,CPUCOND_069,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,5,0,0,179687424.0,179470336.0,180162560.0,294977536.0,294707200.0,295497728.0,296845312.0,296574976.0,297365504.0,115245056.0,115101696.0,115572736.0,117112832.0,116969472.0,117440512.0,1210355712.0,1210355712.0,1210355712.0
8,CPUCOND_021,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,5,5,0,0,178659328.0,178446336.0,178782208.0,271495168.0,271179776.0,271609856.0,273903616.0,273563648.0,273981440.0,92794880.0,92520448.0,92897280.0,95191040.0,94904320.0,95305728.0,1210355712.0,1210355712.0,1210355712.0
9,CPUCOND_020,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,5,0,0,185176064.0,185012224.0,185692160.0,273784832.0,273395712.0,274169856.0,274485248.0,274120704.0,274878464.0,88408064.0,88383488.0,88612864.0,89133056.0,89108480.0,89313280.0,1210355712.0,1210355712.0,1210355712.0
10,CPUCOND_047,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,5,5,0,0,235978752.0,235839488.0,236113920.0,240324608.0,240185344.0,240394240.0,524435456.0,519073792.0,524795904.0,4345856.0,4280320.0,4345856.0,288456704.0,283095040.0,288718848.0,1210355712.0,1210355712.0,1210355712.0
