condition_index,batch_size,iteration_index,elapsed_ns,elapsed_seconds,flows,flows_per_second,image_output_bytes,padding_mask_output_bytes,total_output_bytes
1,1,1,55341,5.5341e-05,1,18069.785511645976,16384,16384,32768
1,1,2,53487,5.3487e-05,1,18696.131770336717,16384,16384,32768
1,1,3,72862,7.2862e-05,1,13724.575224396805,16384,16384,32768
1,1,4,60618,6.0618e-05,1,16496.750140222375,16384,16384,32768
1,1,5,61437,6.1437e-05,1,16276.836434070674,16384,16384,32768
1,1,6,53831,5.3831e-05,1,18576.65657334993,16384,16384,32768
1,1,7,55683,5.5683e-05,1,17958.80250704883,16384,16384,32768
1,1,8,60793,6.0793e-05,1,16449.26225058806,16384,16384,32768
1,1,9,51041,5.1041e-05,1,19592.09263141396,16384,16384,32768
1,1,10,53714,5.3714e-05,1,18617.1203038314,16384,16384,32768
1,1,11,53341,5.3341e-05,1,18747.30507489548,16384,16384,32768
1,1,12,55228,5.5228e-05,1,18106.757441877307,16384,16384,32768
1,1,13,50493,5.0493e-05,1,19804.725407482227,16384,16384,32768
1,1,14,61250,6.125e-05,1,16326.530612244898,16384,16384,32768
1,1,15,50310,5.031e-05,1,19876.764062810576,16384,16384,32768
1,1,16,50601,5.0601e-05,1,19762.45528744491,16384,16384,32768
1,1,17,68902,6.8902e-05,1,14513.366810832777,16384,16384,32768
1,1,18,49704,4.9704e-05,1,20119.105102205056,16384,16384,32768
1,1,19,88858,8.8858e-05,1,11253.91073398006,16384,16384,32768
1,1,20,62414,6.2414e-05,1,16022.046335758003,16384,16384,32768
1,1,21,70726,7.0726e-05,1,14139.071911319741,16384,16384,32768
1,1,22,49287,4.9287e-05,1,20289.325785704143,16384,16384,32768
1,1,23,68150,6.815e-05,1,14673.514306676449,16384,16384,32768
1,1,24,51412,5.1412e-05,1,19450.711896055396,16384,16384,32768
1,1,25,56068,5.6068e-05,1,17835.485481914817,16384,16384,32768
1,1,26,48738,4.8738e-05,1,20517.871065698222,16384,16384,32768
1,1,27,49626,4.9626e-05,1,20150.727441260628,16384,16384,32768
1,1,28,48036,4.8036e-05,1,20817.72004330086,16384,16384,32768
1,1,29,47968,4.7968e-05,1,20847.23148765844,16384,16384,32768
1,1,30,52601,5.2601e-05,1,19011.0454173875,16384,16384,32768
1,1,31,49369,4.9369e-05,1,20255.626000121534,16384,16384,32768
1,1,32,49714,4.9714e-05,1,20115.058132518003,16384,16384,32768
1,1,33,49224,4.9224e-05,1,20315.293352836015,16384,16384,32768
1,1,34,48910,4.891e-05,1,20445.716622367614,16384,16384,32768
1,1,35,47547,4.7547e-05,1,21031.82114539298,16384,16384,32768
1,1,36,51352,5.1352e-05,1,19473.438230253934,16384,16384,32768
1,1,37,48117,4.8117e-05,1,20782.675561651806,16384,16384,32768
1,1,38,46873,4.6873e-05,1,21334.24359439336,16384,16384,32768
1,1,39,47235,4.7235e-05,1,21170.742034508312,16384,16384,32768
1,1,40,53143,5.3143e-05,1,18817.153717328714,16384,16384,32768
1,1,41,49015,4.9015e-05,1,20401.917780271346,16384,16384,32768
1,1,42,60411,6.0411e-05,1,16553.276721126946,16384,16384,32768
1,1,43,50518,5.0518e-05,1,19794.924581337345,16384,16384,32768
1,1,44,49756,4.9756e-05,1,20098.078623683574,16384,16384,32768
1,1,45,50104,5.0104e-05,1,19958.486348395338,16384,16384,32768
1,1,46,275069,0.000275069,1,3635.4514685406207,16384,16384,32768
1,1,47,78616,7.8616e-05,1,12720.056985855297,16384,16384,32768
1,1,48,62333,6.2333e-05,1,16042.866539393259,16384,16384,32768
1,1,49,467761,0.000467761,1,2137.843898914189,16384,16384,32768
1,1,50,173062,0.000173062,1,5778.275993574557,16384,16384,32768
1,1,51,71566,7.1566e-05,1,13973.115725344438,16384,16384,32768
1,1,52,75948,7.5948e-05,1,13166.903670932743,16384,16384,32768
1,1,53,57775,5.7775e-05,1,17308.524448290784,16384,16384,32768
1,1,54,172942,0.000172942,1,5782.285390477732,16384,16384,32768
1,1,55,144407,0.000144407,1,6924.872062988637,16384,16384,32768
1,1,56,171014,0.000171014,1,5847.474475773913,16384,16384,32768
1,1,57,72170,7.217e-05,1,13856.172925038105,16384,16384,32768
1,1,58,56765,5.6765e-05,1,17616.489033735576,16384,16384,32768
1,1,59,57515,5.7515e-05,1,17386.768669042856,16384,16384,32768
1,1,60,56751,5.6751e-05,1,17620.834875156386,16384,16384,32768
1,1,61,75293,7.5293e-05,1,13281.447146481081,16384,16384,32768
1,1,62,57071,5.7071e-05,1,17522.03395770181,16384,16384,32768
