condition_id,target_id,comparison_group,hardware_mode,thread_count,batch_size,status,n,p50_point_ms,historical_p50_ci_low_ms,historical_p50_ci_high_ms,corrected_p50_ci_low_ms,corrected_p50_ci_high_ms,p95_point_ms,historical_p95_ci_low_ms,historical_p95_ci_high_ms,corrected_p95_ci_low_ms,corrected_p95_ci_high_ms,p99_point_ms_if_n_gte_100,historical_p99_ci_low_ms_if_n_gte_100,historical_p99_ci_high_ms_if_n_gte_100,corrected_p99_ci_low_ms_if_n_gte_100,corrected_p99_ci_high_ms_if_n_gte_100,median_throughput_point,historical_median_throughput_ci_low,historical_median_throughput_ci_high,corrected_median_throughput_ci_low,corrected_median_throughput_ci_high,historical_ci_status,corrected_ci_status
CPUCOND_001,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,PASS,200,0.439665,0.43585,0.44464,0.43558175,0.44464,0.5937109499999996,0.5153765499999999,0.69675,0.51552,0.69675,0.7363955099999945,0.69461106,1.5844,0.6889403999999998,1.5844,2274.459048084583,2248.353081367898,2295.4474892010776,2249.01043540842,2295.78117911425,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_002,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,PASS,150,0.9235949999999999,0.92004,0.92855,0.92011,0.92855,1.0600849999999995,0.9936130499999994,1.13108,0.9934262624999992,1.13108,1.4667548199999951,1.0889184999999997,1.87978,1.0889184999999997,1.87978,69294.4418298883,68922.44078787087,69556.90080533849,68924.66749232674,69556.90080533849,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_003,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,PASS,100,2.42636,2.4079699875,2.4550391375,2.4045845000000003,2.454975,2.7338090499999996,2.62604655,3.108884499999998,2.62527205,3.108884499999998,3.769292400000009,2.7294072100000015,5.52579,2.7294072100000015,5.52579,105508.00019642623,104307.15196655651,106345.00993985604,104278.26140969989,106463.51062536129,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_004,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,PASS,50,7.79601,7.70871,7.8411550000000005,7.71157,7.84032,9.425523049999999,8.10604,10.31061095,8.10604,10.31061095,,,,,,131349.55579561362,130593.00723071478,132836.77047796117,130606.91400351007,132787.48685416847,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_005,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,PASS,20,54.836363500000004,54.4647095,55.8751595,54.4647095,55.8751595,57.170432,56.02027745,57.187969,56.431009,57.187969,,,,,,149389.949639929,146393.36569284342,150409.4639018764,146612.88555501,150409.4639018764,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_006,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,PASS,200,0.420935,0.41674923750000004,0.42513500000000004,0.41659,0.42513500000000004,0.6078939999999997,0.51858135,0.661341,0.5154599999999996,0.661341,1.1139635999999995,0.641098299999999,1.53011,0.6447828999999957,1.53011,2375.664111657932,2352.358646665077,2400.1583547173955,2352.194048329991,2400.4418486321324,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_007,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,PASS,150,0.859065,0.8550804999999999,0.8620950000000001,0.8552161375,0.8621,1.0513815,1.0054104999999998,1.29114,1.0060979999999997,1.213460999999997,1.663978899999996,1.07111089,1.9249,1.07111089,1.9249,74499.60131325109,74237.32745621158,74853.32436816822,74237.32745621158,74834.88373235396,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_008,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,PASS,100,1.37933,1.3582450000000001,1.4088345000000002,1.359514625,1.41629,2.4928595,1.96963987375,2.91353455,1.9502904499999998,2.91353455,2.9363354000000044,2.495755320500002,3.75362,2.4958116900000022,3.75362,185597.43425470346,180914.0696107273,188470.25561053996,180770.4635527453,188302.49805598424,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_009,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,PASS,50,4.3162044999999996,4.16618,4.405455,4.16618,4.40344,5.100408999999998,4.6019149624999995,5.759651549999999,4.59462935,5.759651549999999,,,,,,237245.5746811329,232545.4644550624,245962.91514640598,232545.4644550624,245788.70812110853,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_010,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,PASS,20,28.863163999999998,28.216759500000002,29.732709,28.216759500000002,29.732709,34.198093549999996,30.30583,34.49363,30.30583,34.49363,,,,,,283824.1872577691,275524.76125074766,290324.2329175049,275524.76125074766,290324.2329175049,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
