target_id,hardware_mode,batch_size,condition_id,status,median_throughput_flows_per_second,median_amortized_latency_ms_per_flow,throughput_multiplier_vs_B1,amortized_latency_improvement_vs_B1,claim_boundary,uncertainty_propagated
STAGE16_XGBOOST_TUNED,CPU_1_PHYSICAL_CORE,1,CPUCOND_001,PASS,2274.459048084583,0.439665,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
STAGE16_XGBOOST_TUNED,CPU_1_PHYSICAL_CORE,64,CPUCOND_002,PASS,69294.4418298883,0.014431171874999999,30.466339628424628,30.466340766244944,INFERENCE_COMPONENT_ONLY,False
STAGE16_XGBOOST_TUNED,CPU_1_PHYSICAL_CORE,256,CPUCOND_003,PASS,105508.00019642623,0.00947796875,46.38817317255236,46.38810399116372,INFERENCE_COMPONENT_ONLY,False
STAGE16_XGBOOST_TUNED,CPU_1_PHYSICAL_CORE,1024,CPUCOND_004,PASS,131349.55579561362,0.007613291015625,57.74980029041567,57.74966425132856,INFERENCE_COMPONENT_ONLY,False
STAGE16_XGBOOST_TUNED,CPU_1_PHYSICAL_CORE,8192,CPUCOND_005,PASS,149389.949639929,0.006693892028808594,65.68152975351941,65.68151952672791,INFERENCE_COMPONENT_ONLY,False
STAGE16_XGBOOST_TUNED,CPU_2_PHYSICAL_CORE,1,CPUCOND_006,PASS,2375.664111657932,0.420935,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
STAGE16_XGBOOST_TUNED,CPU_2_PHYSICAL_CORE,64,CPUCOND_007,PASS,74499.60131325109,0.013422890625,31.359484258597142,31.359489677731023,INFERENCE_COMPONENT_ONLY,False
STAGE16_XGBOOST_TUNED,CPU_2_PHYSICAL_CORE,256,CPUCOND_008,PASS,185597.43425470346,0.0053880078125,78.12444248491781,78.12442272697615,INFERENCE_COMPONENT_ONLY,False
STAGE16_XGBOOST_TUNED,CPU_2_PHYSICAL_CORE,1024,CPUCOND_009,PASS,237245.5746811329,0.0042150434570312496,99.86494871767187,99.86492530648167,INFERENCE_COMPONENT_ONLY,False
STAGE16_XGBOOST_TUNED,CPU_2_PHYSICAL_CORE,8192,CPUCOND_010,PASS,283824.1872577691,0.0035233354492187497,119.47151361380521,119.47059996610213,INFERENCE_COMPONENT_ONLY,False
STAGE16_LIGHTGBM_TUNED,CPU_1_PHYSICAL_CORE,1,CPUCOND_011,PASS,1862.924436096473,0.5367905,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
STAGE16_LIGHTGBM_TUNED,CPU_1_PHYSICAL_CORE,64,CPUCOND_012,PASS,14505.928848475549,0.06893734374999999,7.786643713188347,7.786643215419799,INFERENCE_COMPONENT_ONLY,False
STAGE16_LIGHTGBM_TUNED,CPU_1_PHYSICAL_CORE,256,CPUCOND_013,PASS,18861.35610864477,0.0530184765625,10.124595363710188,10.124593062707355,INFERENCE_COMPONENT_ONLY,False
STAGE16_LIGHTGBM_TUNED,CPU_1_PHYSICAL_CORE,1024,CPUCOND_014,PASS,19760.946115261853,0.050604876953125,10.607486665786865,10.607485529452543,INFERENCE_COMPONENT_ONLY,False
STAGE16_LIGHTGBM_TUNED,CPU_1_PHYSICAL_CORE,8192,CPUCOND_015,PASS,21124.498156990958,0.04733843817138672,11.339428345926216,11.339421424436813,INFERENCE_COMPONENT_ONLY,False
STAGE16_LIGHTGBM_TUNED,CPU_2_PHYSICAL_CORE,1,CPUCOND_016,PASS,1680.5014060246212,0.5950605,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
