pair_block_execution_index,batch_size,pair_rep,within_pair_order,V2_status,V3_status,pair_complete,V2_median_throughput_flows_per_second,V3_median_throughput_flows_per_second,throughput_ratio_clean_over_original,V2_p50_latency_ms,V3_p50_latency_ms,p50_latency_ratio_clean_over_original,V2_p95_latency_ms,V3_p95_latency_ms,p95_latency_ratio_clean_over_original,V2_p99_latency_ms,V3_p99_latency_ms,p99_latency_ratio_clean_over_original,V2_fingerprint,V3_fingerprint,fingerprint_equal
1,256,5,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,20572.374450441035,18695.317845457306,0.9087583881235699,12.44394,13.696185,1.1006309095029387,13.5419025,14.569313,1.075868992558468,14.4201949,15.166725010000002,1.0517697656083693,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,True
2,1024,5,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,17966.308512717325,16961.819787898035,0.9440904221304967,57.004505,60.435045,1.0601801559367983,60.09843405,66.99457305,1.114747399146251,,,,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,True
3,1024,2,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,17280.07157587377,17556.490568761117,1.0159964032367366,59.259119999999996,58.34474,0.984569801239033,62.64327995,65.36204605,1.0434007622552657,,,,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,True
4,1,5,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,27705.0571252879,28939.372621536153,1.0445519924635573,0.0360945,0.034555,0.957348072421006,0.054540499999999936,0.048952499999999996,0.8975440269157792,0.06399889999999998,0.0661953,1.034319339863654,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1,True
5,256,4,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,19804.499165796362,18488.638827543444,0.9335575049266839,12.926449999999999,13.850660000000001,1.0714975882782978,14.2119655,14.73387705,1.036723389878761,14.6064136,15.159894990000002,1.0378930383020237,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,True
6,8192,3,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,15089.693972011137,15155.300150156218,1.0043477474272686,542.887101,540.5372055,0.9956714840052905,583.0437695,552.2459985,0.9471776003602419,,,,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,True
7,1,4,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,27307.484286451785,28603.303161090604,1.0474528836507184,0.03662,0.034961000000000006,0.9546968869470237,0.054196999999999974,0.042589999999999975,0.7858368544384374,0.06744268999999996,0.06013360999999997,0.8916253192154703,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1,True
8,256,2,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,19891.79149970244,19297.727336775053,0.9701352106502688,12.869635,13.269835,1.0310964530074085,13.835202,14.77772,1.0681246287549686,14.5285387,15.214024000000007,1.0471819853430964,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,True
9,1024,3,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,17357.034804840176,17308.432021546265,0.9971998222138521,58.997455,59.168544999999995,1.0028999555997795,61.580882949999996,66.16451500000001,1.0744327107768437,,,,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,True
10,64,5,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,20704.976282018673,18362.44375438139,0.8868613759450831,3.0910450000000003,3.4853750000000003,1.127571743536571,3.3805289999999997,5.562916499999999,1.6455757368151551,3.805960899999999,6.290331599999998,1.6527578094667235,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189,True
