worker_execution_index,pair_block_execution_index,batch_size,pair_rep,variant,iteration_index,elapsed_ns,elapsed_seconds,flows,flows_per_second
1,1,256,5,V2_ORIGINAL,1,12406690,0.01240669,256,20634.028898924695
1,1,256,5,V2_ORIGINAL,2,11407830,0.01140783,256,22440.72711462215
1,1,256,5,V2_ORIGINAL,3,12472971,0.012472971,256,20524.380277962646
1,1,256,5,V2_ORIGINAL,4,11449739,0.011449739,256,22358.588261269535
1,1,256,5,V2_ORIGINAL,5,12476379,0.012476379,256,20518.7739166949
1,1,256,5,V2_ORIGINAL,6,11311100,0.0113111,256,22632.63519905226
1,1,256,5,V2_ORIGINAL,7,12721820,0.01272182,256,20122.906942560105
1,1,256,5,V2_ORIGINAL,8,11507670,0.01150767,256,22246.03242880618
1,1,256,5,V2_ORIGINAL,9,12639810,0.01263981,256,20253.468999929588
1,1,256,5,V2_ORIGINAL,10,11413220,0.01141322,256,22430.129271143465
1,1,256,5,V2_ORIGINAL,11,12772970,0.01277297,256,20042.323750858257
1,1,256,5,V2_ORIGINAL,12,11667050,0.01166705,256,21942.136186953856
1,1,256,5,V2_ORIGINAL,13,13129950,0.01312995,256,19497.408596376987
1,1,256,5,V2_ORIGINAL,14,11551850,0.01155185,256,22160.952574695828
1,1,256,5,V2_ORIGINAL,15,13628000,0.013628,256,18784.854710889347
1,1,256,5,V2_ORIGINAL,16,11826000,0.011826,256,21647.217994249957
1,1,256,5,V2_ORIGINAL,17,12896550,0.01289655,256,19850.27003345856
1,1,256,5,V2_ORIGINAL,18,11540660,0.01154066,256,22182.440172399154
1,1,256,5,V2_ORIGINAL,19,13408760,0.01340876,256,19091.996575373112
1,1,256,5,V2_ORIGINAL,20,12233160,0.01223316,256,20926.727027194935
1,1,256,5,V2_ORIGINAL,21,13466280,0.01346628,256,19010.44683461208
1,1,256,5,V2_ORIGINAL,22,12711110,0.01271111,256,20139.86190033758
1,1,256,5,V2_ORIGINAL,23,13074490,0.01307449,256,19580.11364114394
1,1,256,5,V2_ORIGINAL,24,11576130,0.01157613,256,22114.471762151945
1,1,256,5,V2_ORIGINAL,25,12819150,0.01281915,256,19970.122824056198
1,1,256,5,V2_ORIGINAL,26,12187450,0.01218745,256,21005.214380366688
1,1,256,5,V2_ORIGINAL,27,13321490,0.01332149,256,19217.06956203848
1,1,256,5,V2_ORIGINAL,28,11910320,0.01191032,256,21493.964897668575
1,1,256,5,V2_ORIGINAL,29,13106870,0.01310687,256,19531.741750700206
1,1,256,5,V2_ORIGINAL,30,12355780,0.01235578,256,20719.04808923435
1,1,256,5,V2_ORIGINAL,31,14495920,0.01449592,256,17660.14161226055
1,1,256,5,V2_ORIGINAL,32,12045920,0.01204592,256,21252.008978973794
1,1,256,5,V2_ORIGINAL,33,13347530,0.01334753,256,19179.57854374555
1,1,256,5,V2_ORIGINAL,34,12040260,0.01204026,256,21261.999325595956
1,1,256,5,V2_ORIGINAL,35,13205859,0.013205859,256,19385.334948676948
1,1,256,5,V2_ORIGINAL,36,11966451,0.011966451,256,21393.1432134724
1,1,256,5,V2_ORIGINAL,37,13444290,0.01344429,256,19041.54105571957
1,1,256,5,V2_ORIGINAL,38,12378331,0.012378331,256,20681.30186533225
1,1,256,5,V2_ORIGINAL,39,13184240,0.01318424,256,19417.122261123888
1,1,256,5,V2_ORIGINAL,40,12119821,0.012119821,256,21122.42416781568
1,1,256,5,V2_ORIGINAL,41,13145491,0.013145491,256,19474.35816585322
1,1,256,5,V2_ORIGINAL,42,11712300,0.0117123,256,21857.363626273233
1,1,256,5,V2_ORIGINAL,43,13055650,0.01305565,256,19608.368790523644
