worker_execution_index,pair_block_execution_index,batch_size,pair_rep,variant,worker_sha256,historical_config_sha256,execution_config_sha256,environment_gate_passed,worker_status,worker_return_code,failure_class,result_sha256,n,p50_latency_ms,p95_latency_ms,p99_latency_ms,median_throughput_flows_per_second,representation_fingerprint_sha256
1,1,256,5,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,30cdf98d66c72ed84135681825fe93424c0283dadafe7f178732837734d07ad8,True,PASS,0,,c24cec785af08747331887adf17cc24bd86979a708dc33bd58699f862fc58dce,100,12.44394,13.5419025,14.4201949,20572.374450441035,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
2,1,256,5,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,8358840cee2e29bcc9523da24ef3d37aa745ea129410bee97b2a6d0292f37a14,True,PASS,0,,06ee137556271bfadae195cc5f1a58a94819b9f0e0ab282e169ee8e99036482b,100,13.696185,14.569313,15.166725010000002,18695.317845457306,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
3,2,1024,5,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,bf6b7b03d5caefbb7ae959eb36bd6fec6b331591f8fd4456ea9b6d4bff18a9c3,True,PASS,0,,7ec6be9a89377314f47c02e3d6afbde75a77bb63d484b2638aa657dc27bd35a1,50,60.435045,66.99457305,,16961.819787898035,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
4,2,1024,5,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,353b54706fea146058392a07574b61024aa4cc70cca9c69fd2e71ed6f07a4fd0,True,PASS,0,,f1e05a293aca9f58ee3d93be568578d7cadc0587fcee1e63b5a163b9cb00c3be,50,57.004505,60.09843405,,17966.308512717325,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
5,3,1024,2,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,b6bc2cd871acc9d746ab0d020cd56215d96aa4ac75a79208b5daf37084827ae6,True,PASS,0,,44c354593bce206d319ca4e6a965c5bf0a899f3fddbbd59e2b617fab77810adf,50,58.34474,65.36204605,,17556.490568761117,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
6,3,1024,2,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,a2c42d18147d8e4445e3fd5fc79de199ffabb193297b59ae4001252f407ee80a,True,PASS,0,,b3059e72599e22d1423b62d1264bf4dd7b7005b47507214a052e2346e4be6a95,50,59.259119999999996,62.64327995,,17280.07157587377,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
7,4,1,5,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,a2b2f87f033a7977ee19e00bebdf3f81e83f1737c27cbdff52fd7d46db12a464,True,PASS,0,,bc7ea0fd3c23df0214887aeac23bb1dbe393f4262be7e543f2dfc15d31a0b9d1,200,0.0360945,0.054540499999999936,0.06399889999999998,27705.0571252879,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
8,4,1,5,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,627eb1256296e8556b64efe6dab1481bd3b2554e5ea50554558be10b79fc4ba1,True,PASS,0,,76b4802c319e5c33d8284a6424cb87b5cc033cb8942af640e50a68fac2beca61,200,0.034555,0.048952499999999996,0.0661953,28939.372621536153,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
9,5,256,4,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,7bc3d50e3eece813882592b6005379b4660641b0b126ad9daf7d2b30c29e4c04,True,PASS,0,,c4b148b359ccae5d573e67c0456661b9e1bf608923ca8b6f0e4c4a8304761ea8,100,13.850660000000001,14.73387705,15.159894990000002,18488.638827543444,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
10,5,256,4,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,b86eccdf7529a29a83427518d4b753513d8ceca8ed4892953e85462ace056d84,True,PASS,0,,43c703c44fe4c3ff13edebd8cdcef5a00e6d1232ad8ff3f2aeefc6081103226a,100,12.926449999999999,14.2119655,14.6064136,19804.499165796362,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
11,6,8192,3,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,48263d282b923c2d73bdd4385f845fb962a2a341d37e96a43a33daf37d2b8708,True,PASS,0,,f1d35ba9c3a89680a105e67b5e15a5eb2c85cc35ee5125f91825b69c8ef215cb,20,542.887101,583.0437695,,15089.693972011137,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
12,6,8192,3,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,f4a3a6850d2db266edae72a3ca46b8b515bf649ca6821e54771b728125f9d9f4,True,PASS,0,,387bdf1486864ddb4457fce06f94d1aeb6bc5b6721807af6240268632269fd19,20,540.5372055,552.2459985,,15155.300150156218,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
13,7,1,4,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,620fcf100f93f70982950d56736c9b4e4680cf391596b93d22d207e2ebf66230,True,PASS,0,,002216287fac231d869c850665692911aac8866535fcff91b25d778424961c59,200,0.034961000000000006,0.042589999999999975,0.06013360999999997,28603.303161090604,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
