execution_index,condition_id,target_id,comparison_group,batch_size,planned_backend_status,warmup_runs,timed_runs
1,GPUCOND_021,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,1,NATIVE_GPU,50,200
2,GPUCOND_014,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,1024,NATIVE_GPU,10,50
3,GPUCOND_003,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,256,NATIVE_GPU,20,100
4,GPUCOND_034,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,1024,BACKEND_UNAVAILABLE,10,50
5,GPUCOND_001,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,1,NATIVE_GPU,50,200
6,GPUCOND_035,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,8192,BACKEND_UNAVAILABLE,5,20
7,GPUCOND_036,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,1,NATIVE_GPU,50,200
8,GPUCOND_016,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,1,NATIVE_GPU,50,200
9,GPUCOND_023,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,256,NATIVE_GPU,20,100
10,GPUCOND_019,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,1024,NATIVE_GPU,10,50
11,GPUCOND_037,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,64,NATIVE_GPU,30,150
12,GPUCOND_038,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,256,NATIVE_GPU,20,100
13,GPUCOND_024,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,1024,NATIVE_GPU,10,50
14,GPUCOND_017,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,64,NATIVE_GPU,30,150
15,GPUCOND_009,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,1024,BACKEND_UNAVAILABLE,10,50
16,GPUCOND_012,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,64,NATIVE_GPU,30,150
17,GPUCOND_032,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,64,BACKEND_UNAVAILABLE,30,150
18,GPUCOND_022,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,64,NATIVE_GPU,30,150
19,GPUCOND_026,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,1,NATIVE_GPU,50,200
20,GPUCOND_029,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,1024,NATIVE_GPU,10,50
21,GPUCOND_027,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,64,NATIVE_GPU,30,150
22,GPUCOND_020,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,8192,NATIVE_GPU,5,20
23,GPUCOND_031,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,1,BACKEND_UNAVAILABLE,50,200
24,GPUCOND_018,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,256,NATIVE_GPU,20,100
25,GPUCOND_013,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,256,NATIVE_GPU,20,100
26,GPUCOND_033,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,256,BACKEND_UNAVAILABLE,20,100
27,GPUCOND_004,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,1024,NATIVE_GPU,10,50
28,GPUCOND_039,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,1024,NATIVE_GPU,10,50
29,GPUCOND_008,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,256,BACKEND_UNAVAILABLE,20,100
30,GPUCOND_002,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,64,NATIVE_GPU,30,150
31,GPUCOND_007,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,64,BACKEND_UNAVAILABLE,30,150
32,GPUCOND_040,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,8192,NATIVE_GPU,5,20
33,GPUCOND_015,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,8192,NATIVE_GPU,5,20
34,GPUCOND_005,STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,8192,NATIVE_GPU,5,20
35,GPUCOND_006,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,1,BACKEND_UNAVAILABLE,50,200
36,GPUCOND_030,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,8192,NATIVE_GPU,5,20
37,GPUCOND_010,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,8192,BACKEND_UNAVAILABLE,5,20
38,GPUCOND_025,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,8192,NATIVE_GPU,5,20
39,GPUCOND_011,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,1,NATIVE_GPU,50,200
40,GPUCOND_028,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,256,NATIVE_GPU,20,100
