target_id,group,cpu_mode,component,n_observations,p50_ms,p95_ms,status
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,process_spawn_to_worker_ready_ns,20,74.38381749999999,84.86655790000002,PASS
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,framework_import_ns,20,1061.4730989999998,1146.45806195,PASS
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,input_preparation_ns,20,0.6709350000000001,0.77202995,PASS
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,model_deserialization_load_ns,20,24.235598500000002,26.154367450000002,PASS
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,first_prediction_ns,20,2.84553,3.9323945500000024,PASS
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,spawn_to_first_output_ns,20,1164.2041075,1260.2478213000002,PASS
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,parent_process_total_ns,20,1389.330846,1535.2044672000002,PASS
STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,process_spawn_to_worker_ready_ns,20,76.925397,88.374749,PASS
STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,framework_import_ns,20,1796.2052290000001,2033.14497805,PASS
STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,input_preparation_ns,20,0.632125,0.7139795,PASS
STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,model_deserialization_load_ns,20,62.7993625,65.83947900000001,PASS
STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,first_prediction_ns,20,2.4077349999999997,2.7040570000000006,PASS
STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,spawn_to_first_output_ns,20,1933.5607935,2180.91242255,PASS
STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,parent_process_total_ns,20,2349.253961,2783.03498345,PASS
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,process_spawn_to_worker_ready_ns,20,75.425367,84.9001245,PASS
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,framework_import_ns,20,1329.5509625,1426.89435865,PASS
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,input_preparation_ns,20,0.644395,0.8259635,PASS
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,model_deserialization_load_ns,20,10.0247595,11.232772449999999,PASS
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,first_prediction_ns,20,4.1367645,4.544307450000001,PASS
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,spawn_to_first_output_ns,20,1422.1527695,1533.2790075999999,PASS
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,parent_process_total_ns,20,1745.8155,1950.92596215,PASS
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,process_spawn_to_worker_ready_ns,20,76.320772,90.62355995,PASS
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,framework_import_ns,20,1296.0429635,1415.0941389500001,PASS
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,input_preparation_ns,20,5.3868,6.65282095,PASS
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,model_deserialization_load_ns,20,96.191396,102.69365,PASS
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,first_prediction_ns,20,9.7632995,10.942658500000002,PASS
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,spawn_to_first_output_ns,20,1486.5266875,1618.268252,PASS
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,parent_process_total_ns,20,1881.4310675000002,2109.7495669,PASS
