family,learner,gap_roc_auc,gap_roc_auc_ci_2_5,gap_roc_auc_ci_97_5,gap_pr_excess,gap_pr_excess_ci_2_5,gap_pr_excess_ci_97_5,gap_recall_standard,gap_recall_balanced,gap_recall_security,raw_pr_auc_gap_status
BOT,XGBOOST,0.6705359241378284,0.6575703931948834,0.6827409836552556,0.8642123005547002,0.8641370761926573,0.8642744606790634,0.865072202166065,0.9268953068592057,0.9268953068592057,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
BOT,LIGHTGBM,0.4360390986857152,0.4290949377320881,0.44295657759178453,0.9067260071973232,0.906646934772717,0.9067945494230837,0.8497292418772563,0.8889891696750902,0.9101985559566786,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
DDOS,XGBOOST,-0.005273802381484782,-0.0053403751178745405,-0.005201149883449669,0.10633788379408993,0.10573116283023315,0.10698079958024359,0.24100071724491545,0.26492556610139684,0.26492556610139684,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
DDOS,LIGHTGBM,-0.0034812679558449133,-0.0035646896935828593,-0.0033921720727739164,0.14898148807652334,0.14830712972900684,0.1496378286181183,0.6834752485789677,0.6264507988626835,0.2823622401795379,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
INFILTRATION,XGBOOST,-0.011291154306405815,-0.04393482484436864,0.022954169499267395,0.18787643479156033,0.18782792066289208,0.18790142054711856,1.1873617218328115e-05,0.00041557660264148404,0.00041557660264148404,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
INFILTRATION,LIGHTGBM,0.04147912014989874,0.00867431792072892,0.07126143439750406,0.21758661117726227,0.21754956043911342,0.21759869852249417,3.957872406109372e-06,7.519957571607806e-05,7.519957571607806e-05,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
PORT_SCAN,XGBOOST,0.4423315575462151,0.4405236349899346,0.44424041641902734,0.7777674975048665,0.7759928676655219,0.7795265548115644,0.8618506580900567,0.9220944511365605,0.9220944511365605,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
PORT_SCAN,LIGHTGBM,0.23921494317173386,0.23805997054653572,0.24046055423995702,0.7650186456152066,0.7635010551998709,0.7665138058079308,0.8475836431860085,0.8773110723995601,0.8975640627835836,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
WEB_ATTACK,XGBOOST,-0.19905861716305306,-0.2022830673736023,-0.19572702217930174,-0.5278677304089749,-0.5469005991573237,-0.5090630262152099,-0.5142083098690202,-0.7775660747735054,-0.7775660747735054,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
WEB_ATTACK,LIGHTGBM,-0.19491422867481434,-0.19623892429487333,-0.19358629159171895,-0.5380859945390792,-0.5593068208538617,-0.5175408825537934,-0.05274833570557554,-0.5210257178554766,-0.5210257178554766,DESCRIPTIVE_ONLY_DIFFERENT_PREVALENCE_ANCHORS
