family,learner,operating_point,threshold,tp,fp,tn,fn,precision,recall,recall_ci_2_5,recall_ci_97_5,fpr,fpr_ci_2_5,fpr_ci_97_5,f1,support_status
BOT,XGBOOST,STANDARD,0.5,0,68,414254,1966,0.0,0.0,0.0,0.0,0.0001641235560747438,0.00012550624876303938,0.00020515444509342976,0.0,INFERENTIAL_ELIGIBLE_SUPPORT
BOT,XGBOOST,BALANCED,0.03,0,178,414144,1966,0.0,0.0,0.0,0.0,0.0004296175438427117,0.000366864419461192,0.0004899570865172499,0.0,INFERENTIAL_ELIGIBLE_SUPPORT
BOT,XGBOOST,SECURITY,0.03,0,178,414144,1966,0.0,0.0,0.0,0.0,0.0004296175438427117,0.000366864419461192,0.0004899570865172499,0.0,INFERENTIAL_ELIGIBLE_SUPPORT
BOT,LIGHTGBM,STANDARD,0.5,0,64,414258,1966,0.0,0.0,0.0,0.0,0.0001544692292468177,0.00011826550364209479,0.00019550011826550365,0.0,INFERENTIAL_ELIGIBLE_SUPPORT
BOT,LIGHTGBM,BALANCED,0.04,0,112,414210,1966,0.0,0.0,0.0,0.0,0.000270321151181931,0.00022204951704230043,0.0003234199487355245,0.0,INFERENTIAL_ELIGIBLE_SUPPORT
BOT,LIGHTGBM,SECURITY,0.01,0,185,414137,1966,0.0,0.0,0.0,0.0,0.00044651261579158237,0.0003837594914100627,0.0005165064852940466,0.0,INFERENTIAL_ELIGIBLE_SUPPORT
DDOS,XGBOOST,STANDARD,0.5,79898,68,414254,48129,0.9991496385964035,0.6240714849211495,0.6214939036297031,0.6266883157458975,0.0001641235560747438,0.00012550624876303938,0.00020515444509342976,0.7682758554374426,INFERENTIAL_ELIGIBLE_SUPPORT
DDOS,XGBOOST,BALANCED,0.03,84750,178,414144,43277,0.9979041070082894,0.6619697407578089,0.6595636076765058,0.6645865715825569,0.0004296175438427117,0.00036927800116817353,0.0004972581711808686,0.7959428048179192,INFERENTIAL_ELIGIBLE_SUPPORT
DDOS,XGBOOST,SECURITY,0.03,84750,178,414144,43277,0.9979041070082894,0.6619697407578089,0.6595636076765058,0.6645865715825569,0.0004296175438427117,0.00036927800116817353,0.0004972581711808686,0.7959428048179192,INFERENTIAL_ELIGIBLE_SUPPORT
DDOS,LIGHTGBM,STANDARD,0.5,21285,64,414258,106742,0.9970022015082673,0.16625399329828863,0.16424660423191983,0.16812879314519594,0.0001544692292468177,0.00011585192193511327,0.00019308653655852211,0.28498553984575836,INFERENTIAL_ELIGIBLE_SUPPORT
DDOS,LIGHTGBM,BALANCED,0.04,33612,112,414210,94415,0.9966789230221801,0.2625383708124068,0.26032008873128326,0.2649753567606833,0.000270321151181931,0.00022198917749962588,0.0003185927853215615,0.41560175825806334,INFERENTIAL_ELIGIBLE_SUPPORT
DDOS,LIGHTGBM,SECURITY,0.01,80380,185,414137,47647,0.9977037174951903,0.6278363157771407,0.6252897826239777,0.6303906597827021,0.00044651261579158237,0.0003813459097030812,0.0005116793218800836,0.7706911099179259,INFERENTIAL_ELIGIBLE_SUPPORT
INFILTRATION,XGBOOST,STANDARD,0.5,0,92,456660,36,0.0,0.0,0.0,0.0,0.00020142221599467544,0.0001620135215609346,0.0002452096542543875,0.0,DESCRIPTIVE_ONLY_SUPPORT_LT_50
INFILTRATION,XGBOOST,BALANCED,0.01,0,618,456134,36,0.0,0.0,0.0,0.0,0.0013530318422251024,0.0012435632465758223,0.0014625004378743826,0.0,DESCRIPTIVE_ONLY_SUPPORT_LT_50
INFILTRATION,XGBOOST,SECURITY,0.01,0,618,456134,36,0.0,0.0,0.0,0.0,0.0013530318422251024,0.0012435632465758223,0.0014625004378743826,0.0,DESCRIPTIVE_ONLY_SUPPORT_LT_50
INFILTRATION,LIGHTGBM,STANDARD,0.5,0,57,456695,36,0.0,0.0,0.0,0.0,0.00012479419904017934,9.414299225838091e-05,0.000159824149647949,0.0,DESCRIPTIVE_ONLY_SUPPORT_LT_50
INFILTRATION,LIGHTGBM,BALANCED,0.01,0,106,456646,36,0.0,0.0,0.0,0.0,0.0002320734227764739,0.00019042062213192278,0.00028023960486215716,0.0,DESCRIPTIVE_ONLY_SUPPORT_LT_50
INFILTRATION,LIGHTGBM,SECURITY,0.01,0,106,456646,36,0.0,0.0,0.0,0.0,0.0002320734227764739,0.00019042062213192278,0.00028023960486215716,0.0,DESCRIPTIVE_ONLY_SUPPORT_LT_50
PORT_SCAN,XGBOOST,STANDARD,0.5,512,68,414254,158418,0.8827586206896552,0.0032215440760083053,0.002938400553702888,0.003504687598313723,0.0001641235560747438,0.00012550624876303938,0.00020515444509342976,0.006419660209391261,INFERENTIAL_ELIGIBLE_SUPPORT
PORT_SCAN,XGBOOST,BALANCED,0.03,763,178,414144,158167,0.8108395324123273,0.00480085572264519,0.004461083495878689,0.005159504184232052,0.0004296175438427117,0.000366864419461192,0.0004923706682242314,0.009545195814125138,INFERENTIAL_ELIGIBLE_SUPPORT
PORT_SCAN,XGBOOST,SECURITY,0.03,763,178,414144,158167,0.8108395324123273,0.00480085572264519,0.004461083495878689,0.005159504184232052,0.0004296175438427117,0.000366864419461192,0.0004923706682242314,0.009545195814125138,INFERENTIAL_ELIGIBLE_SUPPORT
PORT_SCAN,LIGHTGBM,STANDARD,0.5,341,64,414258,158589,0.8419753086419753,0.002145598691247719,0.0019190838734033852,0.0023846976656389605,0.0001544692292468177,0.00011826550364209479,0.00019308653655852211,0.004280289955125993,INFERENTIAL_ELIGIBLE_SUPPORT
