family,learner,fold_status,support_status,heldout_attack_support,primary_target_rows,prevalence,roc_auc,roc_auc_ci_2_5,roc_auc_ci_97_5,pr_auc,pr_auc_ci_2_5,pr_auc_ci_97_5,pr_excess,pr_excess_ci_2_5,pr_excess_ci_97_5,pr_lift,inferential_family_claim_authorized
BOT,XGBOOST,ELIGIBLE,INFERENTIAL_ELIGIBLE_SUPPORT,1966,416288,0.004722691982473672,0.32238681852330214,0.310181759005875,0.3353523494662471,0.0032557314024596277,0.0031935712780963178,0.003330955764502422,-0.0014669605800140444,-0.001529120704377354,-0.00139173621797125,0.6893804242457342,True
BOT,LIGHTGBM,ELIGIBLE,INFERENTIAL_ELIGIBLE_SUPPORT,1966,416288,0.004722691982473672,0.5590614406711931,0.5521439617651238,0.5660056016248203,0.004879010248700389,0.004810468022939988,0.004958082673306732,0.0001563182662267168,8.777604046631547e-05,0.00023539069083306017,1.0330993989882948,True
DDOS,XGBOOST,ELIGIBLE,INFERENTIAL_ELIGIBLE_SUPPORT,128027,542349,0.23606017527459255,0.9981965450426153,0.9981238925445802,0.9982631177790051,0.9924676314551888,0.9918247156690351,0.9930743524190455,0.7564074561805962,0.7557645403944425,0.757014177144453,4.204299307584261,True
DDOS,LIGHTGBM,ELIGIBLE,INFERENTIAL_ELIGIBLE_SUPPORT,128027,542349,0.23606017527459255,0.9985818073127533,0.9984927114296822,0.9986652290504912,0.9939610126616192,0.9933046721200243,0.9946353710091357,0.7579008373870266,0.7572444968454317,0.7585751957345431,4.2106255809791415,True
INFILTRATION,XGBOOST,ELIGIBLE_DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY_SUPPORT_LT_50,36,456788,7.881117717628309e-05,0.7815653303713563,0.7473200065656831,0.8142090009093191,0.00018106454836966566,0.0001560787928114386,0.00022957867703790307,0.00010225337119338258,7.72676156351555e-05,0.00015076749986161998,2.2974475811300787,False
INFILTRATION,LIGHTGBM,ELIGIBLE_DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY_SUPPORT_LT_50,36,456788,7.881117717628309e-05,0.7536628192104249,0.7238805049628195,0.7864676214395947,0.00015591221379998593,0.00014382486856808884,0.0001929629519488426,7.710103662370284e-05,6.501369139180575e-05,0.0001141517747725595,1.9783007865907771,False
PORT_SCAN,XGBOOST,ELIGIBLE,INFERENTIAL_ELIGIBLE_SUPPORT,158930,573252,0.2772428181672284,0.5505911851149154,0.5486823262421032,0.552399107671196,0.3622206606370481,0.3604616033303502,0.3639952904763927,0.08497784246981971,0.0832187851631218,0.0867524723091643,1.3065105276002584,True
PORT_SCAN,LIGHTGBM,ELIGIBLE,INFERENTIAL_ELIGIBLE_SUPPORT,158930,573252,0.2772428181672284,0.7558855961851745,0.7546399851169513,0.7570405688103726,0.4191064980155717,0.4176113378228475,0.4206240884309075,0.1418636798483433,0.1403685196556191,0.14338127026367908,1.5116946970390894,True
WEB_ATTACK,XGBOOST,ELIGIBLE,INFERENTIAL_ELIGIBLE_SUPPORT,2180,458932,0.004750159064959515,0.9693327932280036,0.9660011982442522,0.9725572434385528,0.7205965776366883,0.7017918734429232,0.7396294463850369,0.7158464185717287,0.6970417143779636,0.7348792873200773,151.6994626458535,True
WEB_ATTACK,LIGHTGBM,ELIGIBLE,INFERENTIAL_ELIGIBLE_SUPPORT,2180,458932,0.004750159064959515,0.990056168035138,0.9887282309520425,0.991380863655197,0.7604998658179247,0.739954753832639,0.7817206921327072,0.7557497067529652,0.7352045947676794,0.7769705330677477,160.0998735869504,True
