component_ordinal,component_id,arm,experiment,unit,evaluation_cell_id,learner,configuration_id,model_seed,compute_backend,parameter_set_id,parameter_sha256,membership_reference,positive_class_weight,fit_action,reused_model_path,reused_model_sha256,new_fit_budget_units,reuse_budget_units
1,C001,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED42,XGBOOST,XGB_11,42,CPU,STAGE22_FULL::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
2,C002,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED42,LIGHTGBM,LGBM_11,42,CPU,STAGE22_FULL::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,REUSE_EXISTING,results/stage22r_training/stage22r_2a_random_natural/random_natural_lightgbm_model.txt,9a92f4b8cd26738a470a7ff6fb72f51422a803e10b36bb32ac4bfc91373e6e50,0,1
3,C003,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED43,XGBOOST,XGB_11,43,CPU,STAGE22_FULL::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
4,C004,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED43,LIGHTGBM,LGBM_11,43,CPU,STAGE22_FULL::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
5,C005,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED44,XGBOOST,XGB_11,44,CPU,STAGE22_FULL::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
6,C006,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED44,LIGHTGBM,LGBM_11,44,CPU,STAGE22_FULL::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
7,C007,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED45,XGBOOST,XGB_11,45,CPU,STAGE22_FULL::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
8,C008,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED45,LIGHTGBM,LGBM_11,45,CPU,STAGE22_FULL::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
9,C009,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED46,XGBOOST,XGB_11,46,CPU,STAGE22_FULL::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
10,C010,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED46,LIGHTGBM,LGBM_11,46,CPU,STAGE22_FULL::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
11,C011,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED42,XGBOOST,XGB_11,42,CPU,STAGE22_FULL::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
12,C012,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED42,LIGHTGBM,LGBM_11,42,CPU,STAGE22_FULL::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,REUSE_EXISTING,results/stage22r_training/stage22r_2c_chronological_natural/chronological_natural_lightgbm_model.txt,7be4c610814e45be2e315996969d2e2f404a3ada14866b21a731e4382fdc18b8,0,1
