component_ordinal,component_id,arm,experiment,unit,evaluation_cell_id,learner,model_seed,compute_backend,membership_reference,fit_action,input_contract_id,input_contract_sha256,input_scientific_identity_sha256,runtime_asset
1,C001,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED42,XGBOOST,42,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
2,C002,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED42,LIGHTGBM,42,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,REUSE_EXISTING,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
3,C003,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED43,XGBOOST,43,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
4,C004,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED43,LIGHTGBM,43,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
5,C005,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED44,XGBOOST,44,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
6,C006,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED44,LIGHTGBM,44,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
7,C007,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED45,XGBOOST,45,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
8,C008,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED45,LIGHTGBM,45,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
9,C009,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED46,XGBOOST,46,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
10,C010,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED46,LIGHTGBM,46,CPU,STAGE22R_FROZEN_RANDOM_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
