claim_id,parent_stage,family_if_applicable,learner_if_applicable,seed,claim_condition,condition_met,analysis_status
ROC_ABOVE_CHANCE,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,42,ROC_AUC > 0.5,True,DESCRIPTIVE_ONLY_SUPPORT_LT_50
PR_ABOVE_CHANCE,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,42,PR_AUC > PR_CHANCE_ANCHOR,True,DESCRIPTIVE_ONLY_SUPPORT_LT_50
STANDARD_DETECTION_PRESENT,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,42,STANDARD_RECALL > 0,False,DESCRIPTIVE_ONLY_SUPPORT_LT_50
BALANCED_DETECTION_PRESENT,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,42,BALANCED_RECALL > 0,False,DESCRIPTIVE_ONLY_SUPPORT_LT_50
SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,42,SECURITY_THRESHOLD_FEASIBLE AND SECURITY_RECALL > 0,False,DESCRIPTIVE_ONLY_SUPPORT_LT_50
ROC_ABOVE_CHANCE,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,LIGHTGBM,42,ROC_AUC > 0.5,True,DESCRIPTIVE_ONLY_SUPPORT_LT_50
PR_ABOVE_CHANCE,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,LIGHTGBM,42,PR_AUC > PR_CHANCE_ANCHOR,True,DESCRIPTIVE_ONLY_SUPPORT_LT_50
STANDARD_DETECTION_PRESENT,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,LIGHTGBM,42,STANDARD_RECALL > 0,False,DESCRIPTIVE_ONLY_SUPPORT_LT_50
BALANCED_DETECTION_PRESENT,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,LIGHTGBM,42,BALANCED_RECALL > 0,False,DESCRIPTIVE_ONLY_SUPPORT_LT_50
SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,LIGHTGBM,42,SECURITY_THRESHOLD_FEASIBLE AND SECURITY_RECALL > 0,False,DESCRIPTIVE_ONLY_SUPPORT_LT_50
ROC_ABOVE_CHANCE,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,42,ROC_AUC > 0.5,True,INFERENTIAL_SUPPORT_ELIGIBLE
PR_ABOVE_CHANCE,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,42,PR_AUC > PR_CHANCE_ANCHOR,True,INFERENTIAL_SUPPORT_ELIGIBLE
