family,learner,metric,analysis_status,metric_role,frozen_seed_count,defined_seed_count,random_gt_chrono_seed_count,random_lt_chrono_seed_count,random_eq_chrono_seed_count,undefined_seed_count,note
BOT,LIGHTGBM,BALANCED_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,BALANCED_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,BALANCED_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,BALANCED_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,BALANCED_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,BALANCED_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,BALANCED_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,PR_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,PR_CHANCE_ANCHOR,INFERENTIAL_SUPPORT_ELIGIBLE,BASE_RATE_CONTEXT,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,PR_LIFT,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,SECURITY_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,SECURITY_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,SECURITY_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,SECURITY_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,SECURITY_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,SECURITY_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,SECURITY_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,STANDARD_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,STANDARD_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,STANDARD_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
