family,learner,metric,analysis_status,metric_role,contrast_definition,n_seeds,n_defined,mean,median,sample_standard_deviation_ddof_1,minimum,maximum,range,IQR_Q75_minus_Q25_linear
BOT,LIGHTGBM,BALANCED_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,LIGHTGBM,BALANCED_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,LIGHTGBM,BALANCED_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,194.8,206.0,26.47073856166465,159.0,220.0,61.0,39.0
BOT,LIGHTGBM,BALANCED_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.00040927769587042106,0.0004368660613529462,6.245763774407637e-05,0.00032578108805083483,0.00046873072322030736,0.00014294963516947254,9.305997433317945e-05
BOT,LIGHTGBM,BALANCED_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,LIGHTGBM,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,LIGHTGBM,BALANCED_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,40103.2,40092.0,26.470738561664653,40078.0,40139.0,61.0,39.0
BOT,LIGHTGBM,BALANCED_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,LIGHTGBM,PR_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.023748295269255024,0.023776484292712473,0.003902984318582563,0.018176997700127828,0.029175647494922477,0.01099864979479465,0.0009275162481938368
BOT,LIGHTGBM,PR_CHANCE_ANCHOR,INFERENTIAL_SUPPORT_ELIGIBLE,BASE_RATE_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0004168218944727263,-0.0004168218944727263,0.0,-0.0004168218944727263,-0.0004168218944727263,0.0,0.0
BOT,LIGHTGBM,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.024165117163727753,0.0241933061871852,0.003902984318582563,0.018593819594600554,0.029592469389395203,0.01099864979479465,0.0009275162481938368
BOT,LIGHTGBM,PR_LIFT,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,5.620999183590612,5.635832472399266,0.9055796502864697,4.321453218165154,6.874593294515124,2.55314007634997,0.19634608135331977
BOT,LIGHTGBM,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.3078741040387206,0.32208965695774794,0.04105360679835388,0.25531579768531387,0.34791190212192247,0.0925961044366086,0.06591927107532636
BOT,LIGHTGBM,SECURITY_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
