component_ordinal,component_id,arm,experiment,unit,evaluation_cell_id,learner,configuration_id,model_seed,compute_backend,fit_action,fit_ordinal_if_new,parameter_sha256,model_evidence_path,model_sha256,stage28_result_evidence_path,ledger_evidence_path,closure_status
1,C001,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED42,XGBOOST,XGB_11,42,CPU,NEW_FIT_AUTHORIZED,1,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a1_random_natural_seed42/random_natural_seed42_xgboost_cpu_model.json,7bdb5fc3b0b464d2fb27785ad6bc7cf54de772c8e983f8fc0d51d638ec8c7907,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a1_random_natural_seed42/stage28_2a1_random_natural_seed42_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a1_random_natural_seed42/stage28_2a1_fit_ledger.json,PASS
2,C002,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED42,LIGHTGBM,LGBM_11,42,CPU,REUSE_EXISTING,,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage22r_training/stage22r_2a_random_natural/random_natural_lightgbm_model.txt,9a92f4b8cd26738a470a7ff6fb72f51422a803e10b36bb32ac4bfc91373e6e50,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a1_random_natural_seed42/stage28_2a1_random_natural_seed42_result.json,,PASS
3,C003,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED43,XGBOOST,XGB_11,43,CPU,NEW_FIT_AUTHORIZED,3,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a3_random_natural_seed43/random_natural_seed43_xgboost_cpu_model.json,7bbd868a8d648eef93fb9cae10ada55ab62853ef33538225e49da2b956b7302c,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a3_random_natural_seed43/stage28_2a3_random_natural_seed43_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a3_random_natural_seed43/stage28_2a3_fit_ledger.json,PASS
4,C004,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED43,LIGHTGBM,LGBM_11,43,CPU,NEW_FIT_AUTHORIZED,4,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a3_random_natural_seed43/random_natural_seed43_lightgbm_cpu_model.txt,77af40e0b85e19e1347380eb9f59caf2c1d91ca5ec202005faaf45fd038d082d,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a3_random_natural_seed43/stage28_2a3_random_natural_seed43_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a3_random_natural_seed43/stage28_2a3_fit_ledger.json,PASS
5,C005,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED44,XGBOOST,XGB_11,44,CPU,NEW_FIT_AUTHORIZED,7,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a5_random_natural_seed44/random_natural_seed44_xgboost_cpu_model.json,1bceda9316470742626c7f87a4f582359b67e81d59e59f868ab71acbf434b3cb,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a5_random_natural_seed44/stage28_2a5_random_natural_seed44_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a5_random_natural_seed44/stage28_2a5_random_natural_seed44_fit_ledger.json,PASS
6,C006,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED44,LIGHTGBM,LGBM_11,44,CPU,NEW_FIT_AUTHORIZED,8,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a5_random_natural_seed44/random_natural_seed44_lightgbm_cpu_model.txt,6fa8ad5f9614c82b2ce33c4ed226e27fc9aeac6ad9eac5279461caab357d0cf2,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a5_random_natural_seed44/stage28_2a5_random_natural_seed44_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a5_random_natural_seed44/stage28_2a5_random_natural_seed44_fit_ledger.json,PASS
7,C007,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED45,XGBOOST,XGB_11,45,CPU,NEW_FIT_AUTHORIZED,11,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a7_random_natural_seed45/random_natural_seed45_xgboost_cpu_model.json,62ed892063709cb63b23a74b59903d30ce3d4ebd25c4c8c8466e1609b176876a,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a7_random_natural_seed45/stage28_2a7_random_natural_seed45_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a7_random_natural_seed45/stage28_2a7_random_natural_seed45_fit_ledger.json,PASS
8,C008,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED45,LIGHTGBM,LGBM_11,45,CPU,NEW_FIT_AUTHORIZED,12,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a7_random_natural_seed45/random_natural_seed45_lightgbm_cpu_model.txt,21adfd19f374ee9bed40e8826eb7d512aa38e4ccd74948ad0693004d87053fde,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a7_random_natural_seed45/stage28_2a7_random_natural_seed45_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a7_random_natural_seed45/stage28_2a7_random_natural_seed45_fit_ledger.json,PASS
9,C009,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED46,XGBOOST,XGB_11,46,CPU,NEW_FIT_AUTHORIZED,15,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a9_random_natural_seed46/random_natural_seed46_xgboost_cpu_model.json,f28b38ef7faff36bc903a5d7bf0b5a7f6db32881323c9da44072deecf9ce31e2,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a9_random_natural_seed46/stage28_2a9_random_natural_seed46_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a9_random_natural_seed46/stage28_2a9_random_natural_seed46_fit_ledger.json,PASS
10,C010,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,RANDOM_NATURAL,28A_STAGE22::RANDOM_NATURAL::SEED46,LIGHTGBM,LGBM_11,46,CPU,NEW_FIT_AUTHORIZED,16,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a9_random_natural_seed46/random_natural_seed46_lightgbm_cpu_model.txt,45b1c0337f8a44a1b5a459e2a25d6d371bd3fe394df32c3a79299c39daabe3a1,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a9_random_natural_seed46/stage28_2a9_random_natural_seed46_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a9_random_natural_seed46/stage28_2a9_random_natural_seed46_fit_ledger.json,PASS
