ledger_path,stage,pre_new_fits_consumed,successful_new_fits_this_ledger,cumulative_new_fits_consumed,new_fits_remaining,component_ids,status
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a1_random_natural_seed42/stage28_2a1_fit_ledger.json,Stage28-2A1,0,1,1,107,C001,FIT_001_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a2_chronological_natural_seed42/stage28_2a2_fit_ledger.json,Stage28-2A2,1,1,2,106,C011,FIT_002_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a3_random_natural_seed43/stage28_2a3_fit_ledger.json,Stage28-2A3,2,2,4,104,C003;C004,FITS_003_AND_004_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a4_chronological_natural_seed43/stage28_2a4_fit_ledger.json,Stage28-2A4,4,2,6,102,C013;C014,FITS_005_AND_006_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a5_random_natural_seed44/stage28_2a5_random_natural_seed44_fit_ledger.json,Stage28-2A5,6,2,8,100,C005;C006,FITS_007_AND_008_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a6_chronological_natural_seed44/stage28_2a6_chronological_natural_seed44_fit_ledger.json,Stage28-2A6,8,2,10,98,C015;C016,FITS_009_AND_010_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a7_random_natural_seed45/stage28_2a7_random_natural_seed45_fit_ledger.json,Stage28-2A7,10,2,12,96,C007;C008,FITS_011_AND_012_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a8_chronological_natural_seed45/stage28_2a8_chronological_natural_seed45_fit_ledger.json,Stage28-2A8,12,2,14,94,C017;C018,FITS_013_AND_014_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a9_random_natural_seed46/stage28_2a9_random_natural_seed46_fit_ledger.json,Stage28-2A9,14,2,16,92,C009;C010,FITS_015_AND_016_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a10_chronological_natural_seed46/stage28_2a10_chronological_natural_seed46_fit_ledger.json,Stage28-2A10,16,2,18,90,C019;C020,FITS_017_AND_018_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a11_bot_xgboost_seed43/stage28_2a11_bot_xgboost_seed43_fit_ledger.json,Stage28-2A11,18,1,19,89,C023,FIT_019_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a12_bot_lightgbm_seed43/stage28_2a12_bot_lightgbm_seed43_fit_ledger.json,Stage28-2A12,19,1,20,88,C024,FIT_020_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a13_bot_xgboost_seed44/stage28_2a13_bot_xgboost_seed44_fit_ledger.json,Stage28-2A13,20,1,21,87,C025,FIT_021_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a14_bot_lightgbm_seed44/stage28_2a14_bot_lightgbm_seed44_fit_ledger.json,Stage28-2A14,21,1,22,86,C026,FIT_022_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a15_bot_xgboost_seed45/stage28_2a15_bot_xgboost_seed45_fit_ledger.json,Stage28-2A15,22,1,23,85,C027,FIT_023_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a16_bot_lightgbm_seed45/stage28_2a16_bot_lightgbm_seed45_fit_ledger.json,Stage28-2A16,23,1,24,84,C028,FIT_024_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a17_bot_xgboost_seed46/stage28_2a17_bot_xgboost_seed46_fit_ledger.json,Stage28-2A17,24,1,25,83,C029,FIT_025_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a18_bot_lightgbm_seed46/stage28_2a18_bot_lightgbm_seed46_fit_ledger.json,Stage28-2A18,25,1,26,82,C030,FIT_026_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a19_ddos_xgboost_seed43/stage28_2a19_ddos_xgboost_seed43_fit_ledger.json,Stage28-2A19,26,1,27,81,C033,FIT_027_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a20_ddos_lightgbm_seed43/stage28_2a20_ddos_lightgbm_seed43_fit_ledger.json,Stage28-2A20,27,1,28,80,C034,FIT_028_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a21_ddos_xgboost_seed44/stage28_2a21_ddos_xgboost_seed44_fit_ledger.json,Stage28-2A21,28,1,29,79,C035,FIT_029_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a22_ddos_lightgbm_seed44/stage28_2a22_ddos_lightgbm_seed44_fit_ledger.json,Stage28-2A22,29,1,30,78,C036,FIT_030_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a23_ddos_xgboost_seed45/stage28_2a23_ddos_xgboost_seed45_fit_ledger.json,Stage28-2A23,30,1,31,77,C037,FIT_031_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a24_ddos_lightgbm_seed45/stage28_2a24_ddos_lightgbm_seed45_fit_ledger.json,Stage28-2A24,31,1,32,76,C038,FIT_032_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a25_ddos_xgboost_seed46/stage28_2a25_ddos_xgboost_seed46_fit_ledger.json,Stage28-2A25,32,1,33,75,C039,FIT_033_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a26_ddos_lightgbm_seed46/stage28_2a26_ddos_lightgbm_seed46_fit_ledger.json,Stage28-2A26,33,1,34,74,C040,FIT_034_SUCCESSFULLY_CONSUMED
