family,learner,metric,analysis_status,metric_role,contrast_definition,n_seeds,n_defined,mean,median,sample_standard_deviation_ddof_1,minimum,maximum,range,IQR_Q75_minus_Q25_linear,frozen_seed_count,defined_seed_count,random_gt_chrono_seed_count,random_lt_chrono_seed_count,random_eq_chrono_seed_count,undefined_seed_count,note
BOT,LIGHTGBM,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0241651171637277,0.0241933061871852,0.0039029843185825,0.0185938195946005,0.0295924693893952,0.0109986497947946,0.0009275162481938,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.3078741040387206,0.3220896569577479,0.0410536067983538,0.2553157976853138,0.3479119021219224,0.0925961044366086,0.0659192710753263,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.015771010580292,0.0153577516466095,0.0037631632336867,0.0118263791722085,0.0205952840465722,0.0087689048743637,0.0059215401906444,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.5116782423897748,0.4934364104019,0.0553716877700453,0.4645965308766591,0.600377410671029,0.1357808797943699,0.0561050953482008,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.4217579104407664,0.4605669116670702,0.0544948639219944,0.3609004350644785,0.4632538448920931,0.1023534098276145,0.0975497356026462,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.1429147435831549,-0.1455741908899426,0.0126319193487379,-0.1581985596710299,-0.1249730408149265,0.0332255188561033,0.0123035890784178,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0909183222563583,-0.0901256919069334,0.0138797587775643,-0.1119163769441231,-0.0729202521805806,0.0389961247635425,0.0023140952787109,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.056475587180829,-0.0134580986823091,0.105050098556392,-0.1866481289103079,0.062541495153366,0.2491896240636739,0.1461098049630156,5,5,2,3,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.4629710920352738,0.4624337053902693,0.0017736431920015,0.4612230232685294,0.4650659626485038,0.0038429393799744,0.0031087192545322,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0159716309840892,-0.0146141048372608,0.0152765910410605,-0.0342115335046513,-0.0011560061549517,0.0330555273496996,0.0274707678848993,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.073562073301477,-0.0738191891257278,0.0136073711223976,-0.0918709272238019,-0.0535341409168248,0.0383367863069771,0.0025200047510941,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0336784761507,-0.0345959634803787,0.0070999585826428,-0.0431624259060853,-0.0232584922439383,0.0199039336621469,0.0021327563989881,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0413053496528076,-0.0379451209510492,0.0132122714379796,-0.0643223695001835,-0.0324619025674272,0.0318604669327563,0.0064048989666242,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0041350652596717,0.0037960742655845,0.0010860961471177,0.0027884743062011,0.0055144617932154,0.0027259874870143,0.0012966014981213,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,LIGHTGBM,BALANCED_RECALL,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,LIGHTGBM,PR_EXCESS,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0019173927002049,0.0015378642259564,0.000587740959011,0.0014565618857792,0.0027263406299321,0.0012697787441529,0.0008607679682261,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,LIGHTGBM,ROC_AUC,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.2270282210974818,0.2240247437690099,0.0184902734709508,0.2033900796697143,0.2531344552270786,0.0497443755573643,0.0153687648899881,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,LIGHTGBM,SECURITY_RECALL,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,LIGHTGBM,STANDARD_RECALL,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,XGBOOST,BALANCED_RECALL,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,XGBOOST,PR_EXCESS,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0001959604743958,0.0002238214666501,6.046990372097773e-05,0.0001231177667986,0.0002533620906863,0.0001302443238877,0.0001017061410345,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,XGBOOST,ROC_AUC,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.043407700446735,0.047043526478139,0.0227271757239688,0.0053768777731746,0.0620441220985127,0.056667244325338,0.0164348901150975,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,XGBOOST,SECURITY_RECALL,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
INFILTRATION,XGBOOST,STANDARD_RECALL,DESCRIPTIVE_ONLY_SUPPORT_36_LT_50,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,LIGHTGBM,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0055181526458189,-0.0041213112691121,0.0048001856478882,-0.0108286667086138,-0.0009501038192915,0.0098785628893223,0.0090480085572264,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,LIGHTGBM,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.3800004403596884,0.3893329734993666,0.0496401704820475,0.3102112360486291,0.4263189455059699,0.1161077094573407,0.0728506568331444,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,LIGHTGBM,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.1909629787009721,0.2067258809377683,0.038406157811731,0.1376261960644498,0.2286783282416802,0.0910521321772304,0.0526192505602126,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,LIGHTGBM,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0090178065815138,-0.0090731768703202,0.0001566967530912,-0.0091172214182344,-0.0087396967218272,0.0003775246964072,2.5168313093815523e-05,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,LIGHTGBM,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0003020197571257,0.0003208959919461,0.0004889637141001,-0.0004467375574152,0.0008116780972755,0.0012584156546907,0.000471905870509,5,5,4,1,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,XGBOOST,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.000821745422513,-0.0001887623482036,0.0010377886180365,-0.0023154848046309,-1.2584156546907328e-05,0.002302900648084,0.0014283017680739,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
