claim_id,evidence_ids,primary_source_artifact,source_config,canonical_code,original_source,equivalence_ids
"CLM29-001","E29-004;E29-005;E29-006;E29-007","docs/RESULTS_SUMMARY.md","configs/stage04/protocol.json;configs/stage05/protocol.json","src/ids_validation/stages/stage04/protocol.py;src/ids_validation/stages/stage05/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells102-107","EQ011;EQ012;EQ013;EQ014;EQ015"
"CLM29-002","E29-009","docs/STATISTICAL_CONFIDENCE.md","configs/stage08/protocol.json","src/ids_validation/stages/stage08/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells116-117","EQ023;EQ024;EQ025"
"CLM29-003","E29-011","docs/CALIBRATION_ASSESSMENT.md","configs/stage09/protocol.json","src/ids_validation/stages/stage09/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cell118","EQ027;EQ028;EQ029"
"CLM29-004","E29-015","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","configs/stage13/protocol.json","src/ids_validation/stages/stage13/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells126-134","EQ040;EQ041;EQ042"
"CLM29-005","E29-016","results/stage18_representation_feasibility_checkpoint/stage18_1_temporal_feasibility_package/stage18_1_temporal_feasibility_closure.json","configs/stage18/protocol.json","src/ids_validation/stages/stage18/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells163-166","EQ058;EQ059"
"CLM29-006","E29-018","docs/STAGE18_MANUSCRIPT_INTEGRATION.md","configs/stage18/protocol.json","src/ids_validation/stages/stage18/protocol.py","notebooks/archive/stage01_to_stage20_original_kaggle_notebook.ipynb:cells170-179","EQ060"
"CLM29-007","E29-019","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","configs/stage21/protocol.json","src/ids_validation/stages/stage21/protocol.py","notebooks/archive/stage21_stage22_research_continues.ipynb","EQ075;EQ076;EQ077"
"CLM29-008","E29-020;E29-037;E29-038","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","configs/stage22/protocol.json;configs/stage28/protocol.json","src/ids_validation/stages/stage22/registry.py;src/ids_validation/stages/stage28/registry.py","notebooks/archive/stage21_stage22_research_continues.ipynb;notebooks/archive/stage28_stability_novelty_control_executed.ipynb","EQ079;EQ080;EQ081;EQ098;EQ109;EQ110"
"CLM29-009","E29-021","docs/STAGE22R_MANUSCRIPT_INTEGRATION.md","configs/stage22/protocol.json","src/ids_validation/stages/stage22/registry.py","notebooks/archive/stage21_stage22_research_continues.ipynb:cells133-136","EQ079;EQ080;EQ081"
"CLM29-010","E29-022;E29-023","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/stage23_7_final_scientific_synthesis.md","configs/stage23/protocol.json","src/ids_validation/stages/stage23/registry.py","notebooks/archive/stage23_research_executed.ipynb","EQ082;EQ083;EQ084;EQ085;EQ086;EQ087"
"CLM29-011","E29-024;E29-025","results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json","configs/stage24/protocol.json","src/ids_validation/stages/stage24/registry.py","notebooks/archive/stage24_cross_dataset_executed.ipynb","EQ088;EQ089;EQ090"
"CLM29-012","E29-027","docs/STAGE24_PUBLICATION_CLOSEOUT.md","configs/stage24/protocol.json","src/ids_validation/stages/stage24/registry.py","notebooks/archive/stage24_cross_dataset_executed.ipynb","EQ093"
"CLM29-013","E29-028;E29-029;E29-030;E29-031","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","configs/stage25/protocol.json","src/ids_validation/stages/stage25/registry.py","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","EQ095;EQ099;EQ100;EQ101;EQ102"
"CLM29-014","E29-032;E29-033","docs/STAGE26_MANUSCRIPT_INTEGRATION.md","configs/stage26/protocol.json","src/ids_validation/stages/stage26/registry.py","notebooks/archive/stage26_deployment_profiling_executed.ipynb","EQ096;EQ103;EQ104;EQ105"
"CLM29-015","E29-034;E29-035;E29-036;E29-039","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","configs/stage27/protocol.json;configs/stage28/protocol.json","src/ids_validation/stages/stage27/registry.py;src/ids_validation/stages/stage28/registry.py","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb;notebooks/archive/stage28_stability_novelty_control_executed.ipynb","EQ097;EQ106;EQ107;EQ108;EQ111"
"CLM29-016","E29-040","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","configs/stage28/protocol.json","src/ids_validation/stages/stage28/registry.py","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","EQ111"
"CLM29-017","","results/stage29_manuscript_synthesis/claims/prohibited_final_claims.md","","","",""
"CLM29-018","","results/stage29_manuscript_synthesis/claims/prohibited_final_claims.md","","","",""
"CLM29-019","E29-020;E29-037;E29-040","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","configs/stage28/protocol.json","src/ids_validation/stages/stage28/registry.py","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","EQ098;EQ109;EQ110;EQ111"
"CLM29-020","E29-022;E29-023;E29-024;E29-025","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/stage23_7_final_scientific_synthesis.md","configs/stage23/protocol.json;configs/stage24/protocol.json","src/ids_validation/stages/stage23/registry.py;src/ids_validation/stages/stage24/registry.py","notebooks/archive/stage23_research_executed.ipynb;notebooks/archive/stage24_cross_dataset_executed.ipynb","EQ082;EQ083;EQ084;EQ085;EQ086;EQ087;EQ088;EQ089;EQ090"
