"number_id","value","units","stage","context","population","metric","source_artifact","evidence_id","allowed_rounding","notes"
"NUM29-001","192593","rows","Stage01","reference train membership","processed IDS2018","row count","docs/RESULTS_SUMMARY.md","E29-001","integer","Frozen membership count"
"NUM29-002","48149","rows","Stage01","reference validation membership","processed IDS2018","row count","docs/RESULTS_SUMMARY.md","E29-001","integer","Frozen membership count"
"NUM29-003","60186","rows","Stage01","reference holdout membership","processed IDS2018","row count","docs/RESULTS_SUMMARY.md","E29-001","integer","Frozen membership count"
"NUM29-004","115200","rows","Stage01","benign reference train rows","processed IDS2018 train","class count","docs/RESULTS_SUMMARY.md","E29-001","integer","Frozen membership count"
"NUM29-005","77393","rows","Stage01","attack reference train rows","processed IDS2018 train","class count","docs/RESULTS_SUMMARY.md","E29-001","integer","Frozen membership count"
"NUM29-006","28800","rows","Stage01","benign reference validation rows","processed IDS2018 validation","class count","docs/RESULTS_SUMMARY.md","E29-001","integer","Frozen membership count"
"NUM29-007","19349","rows","Stage01","attack reference validation rows","processed IDS2018 validation","class count","docs/RESULTS_SUMMARY.md","E29-001","integer","Frozen membership count"
"NUM29-008","36000","rows","Stage01","benign reference holdout rows","processed IDS2018 holdout","class count","docs/RESULTS_SUMMARY.md","E29-001","integer","Frozen membership count"
"NUM29-009","24186","rows","Stage01","attack reference holdout rows","processed IDS2018 holdout","class count","docs/RESULTS_SUMMARY.md","E29-001","integer","Frozen membership count"
"NUM29-010","0.925288775482207","proportion","Stage02","baseline XGBoost validation","reference validation","F1","docs/RESULTS_SUMMARY.md","E29-002","4 decimals","Historical frozen value"
"NUM29-011","0.0081944444444444","proportion","Stage02","baseline XGBoost validation","reference validation","FPR","docs/RESULTS_SUMMARY.md","E29-002","4 decimals","Historical frozen value"
"NUM29-012","0.9269482744442312","proportion","Stage03","tuned XGBoost validation","reference validation","F1","docs/RESULTS_SUMMARY.md","E29-003","4 decimals","Historical frozen value"
"NUM29-013","0.0077777777777777","proportion","Stage03","tuned XGBoost validation","reference validation","FPR","docs/RESULTS_SUMMARY.md","E29-003","4 decimals","Historical frozen value"
"NUM29-014","0.51","probability threshold","Stage04","balanced XGBoost operating point","reference validation","threshold","docs/RESULTS_SUMMARY.md","E29-004","2 decimals","Frozen selected threshold"
"NUM29-015","0.9270781893004115","proportion","Stage04","balanced XGBoost operating point","reference validation","F1","docs/RESULTS_SUMMARY.md","E29-004","4 decimals","Frozen validation result"
"NUM29-016","0.007118055555555555","proportion","Stage04","balanced XGBoost operating point","reference validation","FPR","docs/RESULTS_SUMMARY.md","E29-004","4 decimals","Frozen validation result"
"NUM29-017","0.9285008671218141","proportion","Stage05","balanced XGBoost reference result","reference holdout","F1","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","Main benchmark candidate"
"NUM29-018","0.006083333333333333","proportion","Stage05","balanced XGBoost reference result","reference holdout","FPR","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","Main benchmark candidate"
"NUM29-019","0.9801912125472036","proportion","Stage05","balanced XGBoost reference result","reference holdout","ROC-AUC","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","Main benchmark candidate"
