"figure_candidate","stage","source_artifact","evidence_status","recommended_action","reason"
"fig16_1_classical_vs_transformer_holdout_tradeoff","Stage16","figures/stage16_classical_transformer/fig16_1_classical_vs_transformer_holdout_tradeoff.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_attack_category_detection_rates","Stage11","figures/attack_category/figure_attack_category_detection_rates.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_attack_category_missed_counts","Stage11","figures/attack_category/figure_attack_category_missed_counts.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_attack_category_paired_differences","Stage11","figures/attack_category/figure_attack_category_paired_differences.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_auc_difference_intervals","Stage08","figures/statistical_confidence/figure_auc_difference_intervals.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_bootstrap_operating_point_intervals","Stage08","figures/statistical_confidence/figure_bootstrap_operating_point_intervals.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_calibration_bin_sensitivity","Stage09","figures/calibration/figure_calibration_bin_sensitivity.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_calibration_metric_intervals","Stage09","figures/calibration/figure_calibration_metric_intervals.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_calibration_reliability_equal_frequency","Stage09","figures/calibration/figure_calibration_reliability_equal_frequency.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_calibration_reliability_equal_width","Stage09","figures/calibration/figure_calibration_reliability_equal_width.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_cost_ratio_selected_thresholds","Stage10","figures/operational_cost/figure_cost_ratio_selected_thresholds.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
