"figure_candidate","stage","scientific_question","source_artifact","native_metric","manuscript_value","redundancy","readability","evidence_status","main_or_supplement","recommended_action","reason"
"F26_CAPACITY_SCALING","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_CAPACITY_SCALING.png","latency;throughput;memory;artifact size","SUPPORTING","6 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"F26_COLD_START","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_COLD_START.png","latency;throughput;memory;artifact size","SUPPORTING","6 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"F26_COMPONENT_BOUNDARY","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_COMPONENT_BOUNDARY.png","latency;throughput;memory;artifact size","SUPPORTING","6 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"F26_CPU1_GPU_P95_SPEEDUP","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_CPU1_GPU_P95_SPEEDUP.png","latency;throughput;memory;artifact size","CENTRAL","8 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","MAIN","MAIN","High-information exhibit for a primary claim; paired panels remain separate until manuscript assembly."
"F26_GPU_DELTA_PEAK_MEMORY","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_GPU_DELTA_PEAK_MEMORY.png","latency;throughput;memory;artifact size","SUPPORTING","8 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"F26_MEMORY_PACKAGE","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_MEMORY_PACKAGE.png","latency;throughput;memory;artifact size","SUPPORTING","6 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"F26_PARETO","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_PARETO.png","latency;throughput;memory;artifact size","SUPPORTING","6 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"F26_REPRESENTATION_SENSITIVITY","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_REPRESENTATION_SENSITIVITY.png","latency;throughput;memory;artifact size","SUPPORTING","6 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"F26_WARM_LATENCY","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_WARM_LATENCY.png","latency;throughput;memory;artifact size","SUPPORTING","6 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"F26_WARM_THROUGHPUT","Stage26","Hardware-specific deployment profiling","figures/stage26_deployment_profiling/F26_WARM_THROUGHPUT.png","latency;throughput;memory;artifact size","SUPPORTING","6 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","HARDWARE_SPECIFIC","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig16_1_classical_vs_transformer_holdout_tradeoff","Stage16","Historical benchmark or supporting diagnostic","figures/stage16_classical_transformer/fig16_1_classical_vs_transformer_holdout_tradeoff.png","native frozen stage metric","LOW_OR_REDUNDANT","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"fig18_1_graph_ranking_vs_frozen_operating_point","Stage18","Representation and ranking/threshold validity","figures/stage18_graph/fig18_1_graph_ranking_vs_frozen_operating_point.png","native frozen stage metric","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","DESCRIPTIVE_OR_PARTIAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig19_1_mtemporal_pooled_and_daily_heterogeneity","Stage19","Historical benchmark or supporting diagnostic","figures/stage19_temporal/fig19_1_mtemporal_pooled_and_daily_heterogeneity.png","native frozen stage metric","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","DESCRIPTIVE_OR_PARTIAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig21_1_cnn_vit_ranking_comparison","Stage21","Descriptive packet-image architecture comparison","figures/stage21_architecture/fig21_1_cnn_vit_ranking_comparison.png","native frozen stage metric","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","DESCRIPTIVE_OR_PARTIAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig21_2_paired_bootstrap_auc_deltas","Stage21","Descriptive packet-image architecture comparison","figures/stage21_architecture/fig21_2_paired_bootstrap_auc_deltas.png","native frozen stage metric","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","DESCRIPTIVE_OR_PARTIAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig21_3_friday_frozen_operating_points","Stage21","Descriptive packet-image architecture comparison","figures/stage21_architecture/fig21_3_friday_frozen_operating_points.png","native frozen stage metric","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","DESCRIPTIVE_OR_PARTIAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig21_4_ig_completeness_quality","Stage21","Descriptive packet-image architecture comparison","figures/stage21_architecture/fig21_4_ig_completeness_quality.png","native frozen stage metric","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","DESCRIPTIVE_OR_PARTIAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig22r_1_validation_to_final_pr_auc","Stage22","Temporal ranking and threshold transfer","figures/stage22r_temporal_validation/fig22r_1_validation_to_final_pr_auc.png","PR-AUC;ROC-AUC;threshold metrics","CENTRAL","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","MAIN","COMBINE_LATER","High-information exhibit for a primary claim; paired panels remain separate until manuscript assembly."
"fig22r_2_validation_to_final_roc_auc","Stage22","Temporal ranking and threshold transfer","figures/stage22r_temporal_validation/fig22r_2_validation_to_final_roc_auc.png","PR-AUC;ROC-AUC;threshold metrics","CENTRAL","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","MAIN","COMBINE_LATER","High-information exhibit for a primary claim; paired panels remain separate until manuscript assembly."
"fig22r_3_final_frozen_operating_points","Stage22","Temporal ranking and threshold transfer","figures/stage22r_temporal_validation/fig22r_3_final_frozen_operating_points.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig22r_4_k79_final_holdout_cleaning","Stage22","Temporal ranking and threshold transfer","figures/stage22r_temporal_validation/fig22r_4_k79_final_holdout_cleaning.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig24_1_normalized_pr_auc_directionality","Stage24","Bidirectional cross-dataset transfer","figures/stage24_cross_dataset/fig24_1_normalized_pr_auc_directionality.svg","PR-AUC;ROC-AUC;threshold metrics","CENTRAL","2 file instance(s); formats/duplicates: png;svg","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","MAIN","COMBINE_LATER","High-information exhibit for a primary claim; paired panels remain separate until manuscript assembly."
"fig24_2_roc_auc_directionality","Stage24","Bidirectional cross-dataset transfer","figures/stage24_cross_dataset/fig24_2_roc_auc_directionality.svg","PR-AUC;ROC-AUC;threshold metrics","CENTRAL","2 file instance(s); formats/duplicates: png;svg","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","MAIN","COMBINE_LATER","High-information exhibit for a primary claim; paired panels remain separate until manuscript assembly."
"fig24_3_paired_effects_forest","Stage24","Bidirectional cross-dataset transfer","figures/stage24_cross_dataset/fig24_3_paired_effects_forest.svg","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","2 file instance(s); formats/duplicates: png;svg","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"fig24_4_secondary_threshold_transfer","Stage24","Bidirectional cross-dataset transfer","figures/stage24_cross_dataset/fig24_4_secondary_threshold_transfer.svg","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","2 file instance(s); formats/duplicates: png;svg","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_23_a_subset_split_interaction","Stage23","Shortcut-feature sensitivity and controls","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/figures/figure_23_a_subset_split_interaction.png","PR-AUC;ROC-AUC;threshold metrics","CENTRAL","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SENSITIVITY","MAIN","MAIN","High-information exhibit for a primary claim; paired panels remain separate until manuscript assembly."
"figure_23_b_removal_penalties_and_interaction","Stage23","Shortcut-feature sensitivity and controls","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/figures/figure_23_b_removal_penalties_and_interaction.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SENSITIVITY","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_23_c_single_feature_stump_degradation","Stage23","Shortcut-feature sensitivity and controls","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/figures/figure_23_c_single_feature_stump_degradation.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SENSITIVITY","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_23_d_shap_proxy_absorption","Stage23","Shortcut-feature sensitivity and controls","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/figures/figure_23_d_shap_proxy_absorption.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SENSITIVITY","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_23_s1_placebo_interactions","Stage23","Shortcut-feature sensitivity and controls","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/figures/figure_23_s1_placebo_interactions.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SENSITIVITY","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_23_s2_attack_family_delta_f1","Stage23","Shortcut-feature sensitivity and controls","results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/figures/figure_23_s2_attack_family_delta_f1.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","2 file instance(s); formats/duplicates: pdf;png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SENSITIVITY","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_attack_category_detection_rates","Stage11","Historical benchmark or supporting diagnostic","figures/attack_category/figure_attack_category_detection_rates.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_attack_category_missed_counts","Stage11","Historical benchmark or supporting diagnostic","figures/attack_category/figure_attack_category_missed_counts.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_attack_category_paired_differences","Stage11","Historical benchmark or supporting diagnostic","figures/attack_category/figure_attack_category_paired_differences.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_attack_category_support","Stage11","Historical benchmark or supporting diagnostic","figures/attack_category/figure_attack_category_support.png","native frozen stage metric","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_auc_difference_intervals","Stage08","Historical benchmark or supporting diagnostic","figures/statistical_confidence/figure_auc_difference_intervals.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_bootstrap_operating_point_intervals","Stage08","Historical benchmark or supporting diagnostic","figures/statistical_confidence/figure_bootstrap_operating_point_intervals.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
