Comparison,First Operating Point,Second Operating Point,Difference Convention,Metric,Point Estimate,Bootstrap Mean,Bootstrap Median,Bootstrap Standard Error,CI Lower,CI Upper,CI Width,Successful Replicates,Proportion Above Zero,Proportion Below Zero,CI Interpretation
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,Accuracy,0.0001329212773735211,0.00013400126275213574,0.0001329212773735211,0.00026220717081820087,-0.0003821486724486789,0.0006313760675240587,0.0010135247399727376,2000,0.682,0.3035,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,Precision,4.969321195269494e-05,4.3550427423132865e-05,4.881126235195543e-05,0.0004841292581067768,-0.0009109754006759922,0.0009866501769454409,0.0018976255776214331,2000,0.5435,0.455,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,Recall,0.0002894236335070355,0.00029765153394525825,0.0002894236335070355,0.000483515477555257,-0.0006201935003721237,0.001241420656578193,0.0018616141569503168,2000,0.718,0.26,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,F1-score,0.000185061470508896,0.00018701796862937077,0.00018488589554466195,0.0003500540967948468,-0.0004952955263602676,0.0008619090916325816,0.0013572046179928493,2000,0.695,0.3035,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,F2-score,0.0002508652701924685,0.0002567719882548575,0.00025017309191521786,0.0004150902377784695,-0.0005249685194540747,0.0010766512274077544,0.0016016197468618292,2000,0.727,0.2715,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,FPR,-2.7777777777778477e-05,-2.4055555555555558e-05,-2.777777777777761e-05,0.0002902247762785571,-0.0005840277777777774,0.0005555555555555548,0.0011395833333333323,2000,0.446,0.516,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,FNR,-0.00028942363350697997,-0.0002976515339452573,-0.00028942363350697997,0.00048351547755525593,-0.0012414206565781983,0.0006201935003721237,0.001861614156950322,2000,0.26,0.718,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,Specificity,2.777777777773771e-05,2.4055555555556385e-05,2.777777777773771e-05,0.0002902247762785579,-0.0005555555555555314,0.000584027777777817,0.0011395833333333483,2000,0.516,0.446,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,ROC-AUC,-1.6040041529885585e-05,-1.9922520604207462e-05,-1.814755092477416e-05,0.00011896028761057719,-0.00024764577705660147,0.00021001995817131192,0.0004576657352279134,2000,0.433,0.567,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,PR-AUC,-4.7628826119749945e-05,-5.168701968624367e-05,-5.1763140866911694e-05,0.00011551874634331336,-0.00028140425739711915,0.00017457929182801118,0.0004559835492251303,2000,0.3205,0.6795,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,TP,7.0,7.199,7.0,11.694305340151434,-15.0,30.024999999999864,45.024999999999864,2000,0.718,0.26,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,TN,1.0,0.866,1.0,10.448091946028056,-20.0,21.024999999999864,41.024999999999864,2000,0.516,0.446,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,FP,-1.0,-0.866,-1.0,10.448091946028056,-21.024999999999956,20.0,41.024999999999956,2000,0.446,0.516,CI includes zero
Balanced: XGBoost 0.51 minus LightGBM 0.50,xgboost_balanced,lightgbm_balanced,First minus second,FN,-7.0,-7.199,-7.0,11.694305340151434,-30.024999999999956,15.0,45.024999999999956,2000,0.26,0.718,CI includes zero
