Comparison,First Operating Point,Second Operating Point,Difference Convention,Metric,Point Estimate,Bootstrap Mean,Bootstrap Median,Bootstrap Standard Error,CI Lower,CI Upper,CI Width,Successful Replicates,Proportion Above Zero,Proportion Below Zero,CI Interpretation
XGBoost 0.51 minus 0.50,xgboost_balanced,xgboost_standard,First minus second,Precision,0.0005489792327896259,0.0005493454209661062,0.0005483738135332317,0.00016296757011923085,0.0002686394359159239,0.0008762099666215356,0.0006075705307056117,2000,1.0,0.0,Entire CI above zero
XGBoost 0.51 minus 0.50,xgboost_balanced,xgboost_standard,First minus second,Recall,-0.0005375010336557962,-0.0005343380468039371,-0.0005375010336557962,0.00015003745330853326,-0.0008682709005208872,-0.0002480774001488717,0.0006201935003720155,2000,0.0,1.0,Entire CI below zero
XGBoost 0.51 minus 0.50,xgboost_balanced,xgboost_standard,First minus second,F1-score,-6.115841682285961e-05,-5.923700656532677e-05,-5.576818734442934e-05,0.00011083789161042049,-0.00028278043796665925,0.00015504033178126677,0.000437820769747926,2000,0.2985,0.7015,CI includes zero
XGBoost 0.51 minus 0.50,xgboost_balanced,xgboost_standard,First minus second,F2-score,-0.00036075803650292837,-0.00035805791118468267,-0.00035311509922997253,0.00012857421890534598,-0.0006280664543176105,-0.00012048936394567262,0.0005075770903719378,2000,0.0015,0.9985,Entire CI below zero
XGBoost 0.51 minus 0.50,xgboost_balanced,xgboost_standard,First minus second,FPR,-0.0003333333333333339,-0.00033352777777777775,-0.00033333333333333305,9.786753132340417e-05,-0.000527777777777778,-0.00016666666666666653,0.00036111111111111153,2000,0.0,1.0,Entire CI below zero
XGBoost 0.51 minus 0.50,xgboost_balanced,xgboost_standard,First minus second,FNR,0.0005375010336558239,0.000534338046803936,0.0005375010336558239,0.00015003745330853256,0.00024807740014884394,0.0008682709005209402,0.0006201935003720963,2000,1.0,0.0,Entire CI above zero
XGBoost 0.51 minus 0.50,xgboost_balanced,xgboost_standard,First minus second,FP,-12.0,-12.007,-12.0,3.5232311276425503,-19.0,-6.0,13.0,2000,0.0,1.0,Entire CI below zero
XGBoost 0.51 minus 0.50,xgboost_balanced,xgboost_standard,First minus second,FN,13.0,12.9235,13.0,3.628805845720182,6.0,21.0,15.0,2000,1.0,0.0,Entire CI above zero
LightGBM 0.26 minus 0.50,lightgbm_security,lightgbm_balanced,First minus second,Precision,-0.06069374046967935,-0.060706695641573896,-0.06068740932779465,0.0014689119625559415,-0.06360569035405528,-0.0578675232743802,0.0057381670796750744,2000,0.0,1.0,Entire CI below zero
LightGBM 0.26 minus 0.50,lightgbm_security,lightgbm_balanced,First minus second,Recall,0.03270487058628957,0.032717667245513934,0.03270487058628957,0.0011119779953027995,0.030596212685024438,0.03489725461010509,0.0043010419250806495,2000,1.0,0.0,Entire CI above zero
LightGBM 0.26 minus 0.50,lightgbm_security,lightgbm_balanced,First minus second,F1-score,-0.010543700366122954,-0.010540988624868828,-0.010528649377608723,0.000946973374679321,-0.012431713900177051,-0.00875367885677631,0.003678035043400741,2000,0.0,1.0,Entire CI below zero
LightGBM 0.26 minus 0.50,lightgbm_security,lightgbm_balanced,First minus second,F2-score,0.016151916868190397,0.01616117024979073,0.01614768726893373,0.0009709729445442585,0.014297090405656136,0.01804493438453466,0.003747843978878524,2000,1.0,0.0,Entire CI above zero
LightGBM 0.26 minus 0.50,lightgbm_security,lightgbm_balanced,First minus second,FPR,0.04044444444444445,0.040453388888888886,0.04044444444444444,0.0010321583311062137,0.03847152777777778,0.042527777777777775,0.004056249999999997,2000,1.0,0.0,Entire CI above zero
LightGBM 0.26 minus 0.50,lightgbm_security,lightgbm_balanced,First minus second,FNR,-0.03270487058628958,-0.032717667245513934,-0.03270487058628958,0.0011119779953028,-0.03489725461010504,-0.030596212685024396,0.0043010419250806425,2000,0.0,1.0,Entire CI below zero
LightGBM 0.26 minus 0.50,lightgbm_security,lightgbm_balanced,First minus second,FP,1456.0,1456.322,1456.0,37.1576999198237,1384.9750000000001,1531.0,146.02499999999986,2000,1.0,0.0,Entire CI above zero
LightGBM 0.26 minus 0.50,lightgbm_security,lightgbm_balanced,First minus second,FN,-791.0,-791.3095,-791.0,26.89429979439352,-844.025,-740.0,104.02499999999998,2000,0.0,1.0,Entire CI below zero
