Model,Evaluation Split,Threshold,Accuracy,Precision,Recall,F1-score,F2-score,FPR,FNR,TP,TN,FP,FN
XGBoost Tuned,Validation,0.13,0.8574009844441214,0.7528868360277137,0.9603597085120678,0.8440608675902793,0.910195244766206,0.21177083333333332,0.039640291487932196,18582,22701,6099,767
XGBoost Tuned,Validation,0.14,0.8688446281335023,0.7721540131963585,0.9556049408238152,0.8541402009469916,0.912257504292396,0.18944444444444444,0.04439505917618482,18490,23344,5456,859
XGBoost Tuned,Validation,0.15,0.8790836777503167,0.7912414416742023,0.9496614812134994,0.8632434463966927,0.9130979238513601,0.16833333333333333,0.05033851878650059,18375,23952,4848,974
XGBoost Tuned,Validation,0.16,0.8883258219277659,0.8096905754056211,0.9439764328905886,0.8716920800820865,0.913670288332633,0.1490625,0.05602356710941134,18265,24507,4293,1084
XGBoost Tuned,Validation,0.17,0.8958856881762861,0.8262333879482978,0.9382397023101969,0.878681542073038,0.9134731503099589,0.13256944444444443,0.06176029768980309,18154,24982,3818,1195
XGBoost Tuned,Validation,0.18,0.9026147998920019,0.8414066138798323,0.9336399813943873,0.8851270241799162,0.9136103412700018,0.11822916666666666,0.06636001860561269,18065,25395,3405,1284
XGBoost Tuned,Validation,0.19,0.9082639307150719,0.8559984741560176,0.9277998862990335,0.8904541058009474,0.9124918672739102,0.10486111111111111,0.07220011370096646,17952,25780,3020,1397
XGBoost Tuned,Validation,0.47,0.9441109888055826,0.9834571627583004,0.8756524885006977,0.9264291768050961,0.8952802671626648,0.009895833333333333,0.12434751149930229,16943,28515,285,2406
XGBoost Tuned,Validation,0.48,0.9444225217553843,0.9848211689444606,0.8751873481833686,0.9267732049036778,0.8951168715839773,0.0090625,0.12481265181663136,16934,28539,261,2415
XGBoost Tuned,Validation,0.49,0.9445055972086648,0.9856152815794071,0.8746705256085586,0.9268346111719605,0.8948153161250754,0.008576388888888889,0.12532947439144143,16924,28553,247,2425
XGBoost Tuned,Validation,0.5,0.9446509792519056,0.9869250525332711,0.8738436094888625,0.9269482744442312,0.8943381855111713,0.0077777777777777776,0.12615639051113753,16908,28576,224,2441
XGBoost Tuned,Validation,0.51,0.9447963612951463,0.9880123969358517,0.8732234223990903,0.9270781893004115,0.8939966348138036,0.007118055555555555,0.1267765776009096,16896,28595,205,2453
XGBoost Tuned,Validation,0.52,0.9446094415252653,0.9884633403607402,0.8723448240219133,0.9267810569663693,0.8933334744686257,0.006840277777777778,0.12765517597808673,16879,28603,197,2470
XGBoost Tuned,Validation,0.53,0.9445263660719849,0.9889761932684414,0.8716729546746602,0.9266269263522238,0.8928533615669666,0.006527777777777778,0.1283270453253398,16866,28612,188,2483
XGBoost Tuned,Validation,0.54,0.9445055972086648,0.9896071868944866,0.8710527675848881,0.9265530511269928,0.8924354263081534,0.006145833333333333,0.12894723241511188,16854,28623,177,2495
